id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,d56c1a58,FAIL,0,NO,0,NO,0,2011-03-07 12:29:29 -0500,Initial commit.,3,354
1,e37031b0,FAIL,0,NO,0,NO,0,2011-03-07 12:35:25 -0500,Update sample README to indicate we need hameno's fork for now.,3,354
2,841be16c,FAIL,0,NO,0,NO,0,2011-03-07 20:34:21 -0500,Add image to readme.,3,354
3,b07f78cd,FAIL,0,NO,0,NO,0,2011-03-08 14:44:18 -0500,Use new detection method which looks to see if the native ActionBar class is present. This should provide the most accurate answer as to whether or not the native ActionBar is supported. With this change comes the renaming of the classes from being Honeycomb* and PreHoneycomb* to Native* and GreenDroid*.,3,364
4,3a5e7f3e,FAIL,0,NO,0,NO,0,2011-03-09 21:29:35 -0500,Complete rewrite!,5,266
5,c5dd8898,FAIL,0,NO,0,NO,0,2011-03-09 23:01:40 -0500,Add javadoc documentation to classes.,5,273
6,b633e44d,FAIL,0,NO,0,NO,0,2011-03-09 23:16:31 -0500,Move references to GreenDroid and Android-ActionBar libraries to where I specify they should be in the READMEs.,5,273
7,20c62d15,FAIL,0,NO,0,NO,0,2011-03-09 23:29:17 -0500,Update README to reflect 2.0 changes.,5,273
8,f8bee090,FAIL,0,NO,0,NO,0,2011-03-09 23:33:32 -0500,Add change log.,5,273
9,bdd9cdef,FAIL,1,NO,0,NO,0,2011-03-09 23:37:32 -0500,Add README in samples about third-party library dependencies.,5,273
10,8e1b848d,FAIL,0,NO,0,NO,0,2011-03-09 23:52:02 -0500,Update sample apps to include buttons with icons on both native and third-party action bars.,5,280
11,5d2646aa,FAIL,0,NO,0,NO,0,2011-03-09 23:58:45 -0500,Add links to direct .apk downloads.,5,280
12,447ae60a,FAIL,0,NO,0,NO,0,2011-03-09 23:59:18 -0500,Date change log for 2.0.0.,5,280
13,5efdbc23,FAIL,0,NO,0,NO,0,2011-03-10 14:39:17 -0500,Push back API levels. Not sure why I was only targeting 2.1+.,5,280
