id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,0969e49,FAIL,0,NO,0,NO,0,2010-10-24 20:34:52 -0400,Initial commit.,9,484
1,680c0c7,FAIL,0,NO,0,NO,0,2010-10-25 08:54:40 -0400,Add version to params.,9,485
2,c3121d6,FAIL,0,NO,0,NO,0,2011-04-09 10:32:17 -0400,Migration support.,10,559
3,a6afb68,FAIL,0,NO,0,NO,0,2011-04-09 12:21:05 -0400,Fix saving null values.,10,566
4,4cc0a8e,FAIL,0,NO,0,NO,0,2011-04-09 12:25:36 -0400,Use NaturalOrder comparator instead of Alphanum.,10,576
5,a07fcd2,FAIL,0,NO,0,NO,0,2011-04-09 12:41:56 -0400,Add doc to getId().,10,576
6,e950bba,FAIL,0,NO,0,NO,0,2011-04-09 12:42:17 -0400,Remove unused member.,10,574
7,3d550b6,FAIL,0,NO,0,NO,0,2011-04-09 12:42:32 -0400,Execute migrations.,10,575
8,9c38fd7,FAIL,0,NO,0,NO,0,2011-04-13 10:38:59 -0400,Calendar.class support.,10,582
9,b5e278e,FAIL,0,NO,0,NO,0,2011-04-21 16:09:39 -0400,Add support for Calendar. Fix NPE in Application.getEntitiy().,10,584
10,c329e54,FAIL,0,NO,0,NO,0,2011-04-27 19:18:09 -0400,Fix delete all method.,10,584
11,b555a60,FAIL,0,NO,0,NO,0,2011-04-27 19:56:10 -0400,NPE fix.,10,582
12,2fc7a1e,FAIL,0,NO,0,NO,0,2011-05-06 15:27:01 -0400,Don't hold on to passed context. Use application context.,10,582
13,ec31b0a,FAIL,0,NO,0,NO,0,2011-05-16 10:40:37 -0400,Code clean up.,9,581
14,62ab734,FAIL,0,NO,0,NO,0,2011-05-16 11:18:22 -0400,Add trial version exception.,10,591
15,7360c0f,FAIL,0,NO,0,NO,0,2011-05-16 11:18:33 -0400,Speed/code optimizations.,10,588
16,c75c6e3,FAIL,0,NO,0,NO,0,2011-05-16 11:33:50 -0400,Throw exception if Application doesn't extend com.activeandroid.Application.,10,592
17,1d3d027,FAIL,0,NO,0,NO,0,2011-05-16 11:41:02 -0400,Remove Application qualifier.,10,592
18,b9d64dd,FAIL,0,NO,0,NO,0,2011-06-08 18:06:40 -0400,Turn logging off.,10,592
19,c62faee,FAIL,0,NO,0,NO,0,2011-06-08 19:40:27 -0400,Don't initialize class when getting class names.,10,592
20,201dd49,FAIL,0,NO,0,NO,0,2011-06-13 14:41:29 -0400,Add type parser framework.,12,644
21,8257c87,FAIL,0,NO,0,NO,0,2011-06-15 11:19:14 -0400,Added type serializers. Speed optimizations.,14,746
22,5a9dff8,FAIL,0,NO,0,NO,0,2011-06-15 23:16:04 -0400,Speed optimizations.,14,777
23,f4d67b0,FAIL,0,NO,0,NO,0,2011-06-22 10:50:58 -0400,Change trial notification.,14,806
24,394f8ef,FAIL,0,NO,0,NO,0,2011-07-12 08:55:03 -0700,Update Params.,14,806
