id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,ee7c796,FAIL,0,NO,0,NO,0,2011-11-29 10:18:26 +0000,Initial Import,3,267
1,6bd26be,FAIL,0,NO,0,NO,0,2011-11-29 10:41:20 +0000,README,3,267
2,a2cbb5f,FAIL,0,NO,0,NO,0,2011-11-29 10:43:44 +0000,Fix README formatting,3,267
3,d23790a,FAIL,0,NO,0,NO,0,2011-11-29 11:09:13 +0000,New Sample,5,346
4,1d8143f,FAIL,0,NO,0,NO,0,2011-11-29 11:48:41 +0000,More README Formatting fixes,5,346
5,f10c7e8,FAIL,0,NO,0,NO,0,2011-11-29 13:31:50 +0000,Fix Samples,5,350
6,8891cf8,FAIL,0,NO,0,NO,0,2011-11-29 19:27:12 +0000,Remove Unnecessary AdapterView Inner Classes,5,336
7,74d934f,FAIL,0,NO,0,NO,0,2011-11-29 20:02:37 +0000,Document some of the Public Methods,5,336
8,e14fa0a,FAIL,0,NO,0,NO,0,2011-11-29 20:03:49 +0000,Make createAdapterView final in the supplied derived classes,5,336
9,347b298,FAIL,0,NO,0,NO,0,2011-12-01 10:29:15 +0100,Added support for ExpandableListView,6,350
10,f205704,FAIL,0,NO,0,NO,0,2011-12-02 15:05:56 +0100,added customization of labels and progress elements.,6,364
11,0ba44f8,FAIL,15,NO,0,NO,0,2011-12-02 15:08:01 +0100,created maven pom files,6,364
12,e4b3434,FAIL,4,NO,0,NO,0,2011-12-02 15:18:07 +0100,better naming for sub-projects: renamed library project to pulltorefresh-library and sample project to pulltorefresh-sample,6,364
13,6d0a006,FAIL,3,NO,0,NO,0,2011-12-08 00:10:14 +0100,removed useless id,6,364
14,d1fac37,FAIL,5,NO,0,NO,0,2011-12-08 00:11:08 +0100,added excludes to eclipse plugin config because project didn't build in Eclipse,6,364
15,a3387e0,FAIL,4,NO,0,NO,0,2011-12-08 00:14:00 +0100,added PullToRefreshExpandableListActivity sample,7,428
16,1cfc941,FAIL,4,NO,0,NO,0,2011-12-10 02:56:27 -0800,Merge pull request #1 from stefanodacchille/master,7,428
17,ab820e3,FAIL,3,NO,0,NO,0,2011-12-10 11:13:11 +0000,Move Library and Sample back to original Folders,7,428
18,fdb67b2,FAIL,3,NO,0,NO,0,2011-12-10 11:23:23 +0000,Update Readme,7,428
19,4289c39,FAIL,6,NO,0,NO,0,2011-12-12 14:07:06 +0100,fixed broken maven build after module renaming,7,428
20,61d1392,FAIL,5,NO,0,NO,0,2011-12-12 12:25:02 -0800,Merge pull request #4 from stefanodacchille/master,7,428
21,c117641,FAIL,6,NO,0,NO,0,2011-12-12 21:11:00 +0000,Can now change Backgrounds and Text Colour using XML,7,439
22,716d40f,FAIL,5,NO,0,NO,0,2011-12-12 21:12:16 +0000,Fix README formatting,7,439
23,43ddedb,FAIL,6,NO,0,NO,0,2011-12-13 16:34:24 +0800,"Fixed the header text display ""Loading"" not ""Pull to refresh..."" when onRefreshComplete called",7,440
24,618623c,FAIL,5,NO,0,NO,0,2011-12-13 01:44:24 -0800,Merge pull request #5 from lishali12345/master,7,440
25,b776699,FAIL,5,NO,0,NO,0,2011-12-14 10:31:28 +0000,Clarify some things in README,7,440
26,565daff,FAIL,6,NO,0,NO,0,2011-12-14 10:34:38 +0000,"Have a Graphic in the README, like all the cool-kids",7,440
27,8c1c086,FAIL,6,NO,0,NO,0,2011-12-19 10:45:45 +0000,Re-use Interpolator and Make Rotate Animation Quicker,7,441
28,5b2fbb8,FAIL,5,NO,0,NO,0,2011-12-23 13:09:09 +0000,Pull-Up-Refresh,7,516
29,3f05ec4,FAIL,5,NO,0,NO,0,2011-12-23 13:50:40 +0000,Update README,7,516
30,2aa43a0,FAIL,5,NO,0,NO,0,2011-12-23 14:51:09 +0000,Add End of List Listener,7,539
31,c405abc,FAIL,6,NO,0,NO,0,2011-12-23 15:13:37 +0000,Make all Public methods final,7,539
32,8021ff5,FAIL,6,NO,0,NO,0,2011-12-23 15:17:57 +0000,Update Readme,7,539
33,a309d47,FAIL,6,NO,0,NO,0,2011-12-30 14:18:58 +0000,Can now Pull Up AND Pull Down on the same view!,8,595
34,736e6f3,FAIL,6,NO,0,NO,0,2011-12-30 14:20:55 +0000,Update Readme,8,595
35,e6f9846,FAIL,5,NO,0,NO,0,2011-12-30 14:27:22 +0000,Add setDisableScrollingWhileRefreshing Mutator,8,598
36,67ff3ab,FAIL,6,NO,0,NO,0,2012-01-02 20:39:27 +0000,Fix OnTouchListener not being called.,8,598
37,da80833,FAIL,6,NO,0,NO,0,2012-01-04 13:32:45 +0000,Fix Sample for ICS,8,598
38,7de8864,FAIL,6,NO,0,NO,0,2012-01-04 14:13:12 +0000,Fix Last Commit,8,598
39,baf32db,FAIL,5,NO,0,NO,0,2012-01-04 14:16:13 +0000,Use batched MotionEvents too,8,601
40,26d3f55,FAIL,6,NO,0,NO,0,2012-01-05 15:54:56 +0000,Merge dev,9,671
41,285f2a9,FAIL,5,NO,0,NO,0,2012-01-05 16:58:45 +0000,Improve some Code Style and Optimise certain things,9,667
42,f528d00,FAIL,6,NO,0,NO,0,2012-01-09 11:35:00 +0000,Move AbsListView centric code to new sub class,10,692
43,1025851,FAIL,6,NO,0,NO,0,2012-01-09 12:50:04 +0000,PullToRefreshWebView!,12,758
44,1f7a7e1,FAIL,6,NO,0,NO,0,2012-01-09 12:51:49 +0000,Change Sample to not use deprecated method,12,758
45,f751135,FAIL,5,NO,0,NO,0,2012-01-12 22:21:59 +0100,Retrieve friction value from ViewConfiguration,12,763
46,64be8c4,FAIL,6,NO,0,NO,0,2012-01-12 22:51:58 +0100,Retrieve touchslop from ViewConfiguration Correctly analyze touch events using touchslop,12,819
47,a8383d3,FAIL,6,NO,0,NO,0,2012-01-15 02:05:39 -0800,Merge pull request #16 from rno/rno_dev,12,819
48,b5b272b,FAIL,6,NO,0,NO,0,2012-01-15 10:51:37 +0000,Remove Multitouch Code. Remove ViewConfiguration getScrollFriction and general Code Style Fixes,12,798
49,6d204b5,FAIL,6,NO,0,NO,0,2012-01-15 15:38:32 +0000,Allow OnLastItemVisibleListener to fire if the Initial batch of items can't fill the AdapterView,12,797
50,86a3dc2,FAIL,5,NO,0,NO,0,2012-01-15 16:51:07 +0000,More Code Style Fixes,12,788
51,554f27a,FAIL,6,NO,0,NO,0,2012-01-19 13:40:32 +0100,pass the long clickable setting to the underlying control,12,791
52,cc00794,FAIL,6,NO,0,NO,0,2012-01-19 13:55:13 +0100,allow lists to generate a context menu,12,808
53,c683411,FAIL,5,NO,0,NO,0,2012-01-19 14:00:19 +0100,only allow the bottom pull if the last item is fully displayed,12,788
54,50fd6ef,FAIL,6,NO,0,NO,0,2012-01-19 14:02:15 +0100,crash fix in case the element to test is not in the list cache,12,790
55,d105fa0,FAIL,6,NO,0,NO,0,2012-01-19 14:16:38 +0100,allow lists to generate a context menu (bis),12,809
56,8674088,FAIL,7,NO,0,NO,0,2012-01-19 14:31:12 +0100,allow outside code to tell the widget the refreshing is on,12,792
57,b9c3f33,FAIL,6,NO,0,NO,0,2012-01-19 14:36:32 +0100,simple method to query if the widget is pulling from the top or not,12,790
58,a8370d4,FAIL,6,NO,0,NO,0,2012-01-19 14:37:38 +0100,fix a typo,12,788
59,d7724be,FAIL,6,NO,0,NO,0,2012-01-19 14:55:45 +0100,Add string translations in different languages,12,788
60,b44e770,FAIL,6,NO,0,NO,0,2012-01-20 00:44:44 -0800,Merge pull request #20 from levelup/long_clickable,12,791
61,403311d,FAIL,5,NO,0,NO,0,2012-01-20 00:45:13 -0800,Merge pull request #23 from levelup/pull_crash_fix,12,793
62,cacb4eb,FAIL,5,NO,0,NO,0,2012-01-20 00:45:33 -0800,Merge pull request #24 from levelup/outside_refresh,12,797
63,4e7f107,FAIL,6,NO,0,NO,0,2012-01-20 00:45:54 -0800,Merge pull request #26 from levelup/typo,12,797
64,0637404,FAIL,5,NO,0,NO,0,2012-01-20 00:46:09 -0800,Merge pull request #25 from levelup/query_mode,12,799
65,a840c0f,FAIL,6,NO,0,NO,0,2012-01-20 00:46:18 -0800,Merge pull request #27 from levelup/language_strings,12,799
66,967ff68,FAIL,6,NO,0,NO,0,2012-01-20 00:47:53 -0800,Merge pull request #21 from levelup/contextmenu,12,820
67,0949fbd,FAIL,6,NO,0,NO,0,2012-01-20 08:49:58 +0000,Update Readme to include Steve Lhomme,12,820
68,6365b2c,FAIL,5,NO,0,NO,0,2012-01-22 20:53:33 +0000,Add Default Method for setRefreshing,12,822
69,c79020d,FAIL,6,NO,0,NO,0,2012-01-22 21:19:17 +0000,Remove un-needed code and optimise bits,12,795
70,30c6794,FAIL,5,NO,0,NO,0,2012-01-22 21:29:47 +0000,Update Public method Javadoc,12,795
