id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,4e8311a6,FAIL,0,NO,0,NO,0,2010-12-21 15:32:27 +0000,Let's get this project started,1,4
1,008700b6,FAIL,0,NO,0,NO,0,2010-12-22 15:21:16 +0000,Add Player interface,2,9
2,6ec2d4bc,FAIL,0,NO,0,NO,0,2010-12-24 01:29:59 +0000,Start the Plugin interfaces,4,24
3,e112e33a,FAIL,0,NO,0,NO,0,2010-12-24 10:31:01 +0000,Added Java plugin loader + a plugin manager,6,80
4,777ef544,FAIL,0,NO,0,NO,0,2010-12-24 11:20:20 +0000,Basics of PluginDescriptionFile,8,121
5,3f46b287,FAIL,0,NO,0,NO,0,2010-12-24 12:55:46 +0000,"Pass the Server instance to pluginloaders, changed register method on pluginmanager",8,138
6,231c0371,FAIL,0,NO,0,NO,0,2010-12-24 13:06:44 +0000,Few additions to Plugin for retrieving the Server and PluginLoader responsible for the plugin,8,148
7,2f775c5d,FAIL,0,NO,0,NO,0,2010-12-24 16:41:51 +0000,"Refactored Plugin into an interface, make Javaplugin and relevant code to attempt to actually load plugins",10,219
8,8be2f225,FAIL,0,NO,0,NO,0,2010-12-24 16:48:58 +0000,Moved a bunch of methods out of PluginLoader to PluginManager,10,220
9,3fdb3665,FAIL,0,NO,0,NO,0,2010-12-24 17:25:07 +0000,Fix exception => throwable in catch while loading plugins,10,220
10,b8c8beab,FAIL,0,NO,0,NO,0,2010-12-24 18:16:00 +0000,Fixed a few bugs getting sample plugin to load,11,232
11,d98b4186,FAIL,0,NO,0,NO,0,2010-12-24 19:05:14 +0000,"Fixed plugin description loading No longer hardcoding sample plugin, now uses plugins dir",11,250
12,32a7d588,FAIL,0,NO,0,NO,0,2010-12-25 15:41:56 +0000,"Extract interface from PluginManager, move to SimplePluginManager",12,259
13,0ea5acd7,FAIL,0,NO,0,NO,0,2010-12-25 20:28:11 +0000,What an event!,17,303
14,98e500fd,FAIL,0,NO,0,NO,0,2010-12-26 00:21:00 +0000,All code to call events and delegate back to plugins,19,357
15,61dd4192,FAIL,0,NO,0,NO,0,2010-12-26 00:38:11 +0000,Register events,19,372
16,84f76c3d,FAIL,0,NO,0,NO,0,2010-12-26 02:20:05 +0000,"First two hooks working, updated sample",19,389
17,06d9676c,FAIL,0,NO,0,NO,0,2010-12-26 23:21:21 +0000,"Moved PlayerQuit to use normal PlayerEvent, dropped Reason param",18,374
18,14474951,FAIL,0,NO,0,NO,0,2010-12-26 23:22:15 +0000,"Added chunk, world and block interfaces",22,418
19,2e88ac9e,FAIL,0,NO,0,NO,0,2010-12-27 02:11:52 +0000,Added Location,23,471
20,37f3b8fe,FAIL,0,NO,0,NO,0,2010-12-28 10:48:03 +0800,"Eventing redone, revision 1",24,571
21,d6937757,FAIL,0,NO,0,NO,0,2010-12-28 11:03:10 +0800,"Removed eventFactory, it's useless",24,547
22,87b8e082,FAIL,0,NO,0,NO,0,2010-12-28 15:39:36 +0000,"Removed server argument on events, renamed player events and commented out the rest for now",24,507
23,b5339d83,FAIL,0,NO,0,NO,0,2010-12-28 15:41:11 +0000,Fixed rename,24,507
24,40e6a233,FAIL,0,NO,0,NO,0,2010-12-28 15:51:45 +0000,Fixed sample plugin,24,507
25,d94db03a,FAIL,0,NO,0,NO,0,2010-12-28 16:41:37 +0000,Added onPlayerChat and onPlayerCommand,25,530
26,78a2cccf,FAIL,0,NO,0,NO,0,2010-12-28 16:59:25 +0000,Added onPlayerMove and onPlayerTeleport,26,586
27,1ce00ae0,FAIL,0,NO,0,NO,0,2010-12-28 17:39:23 +0000,Added onPlayerLogin,27,618
28,caf0d3e2,FAIL,0,NO,0,NO,0,2010-12-28 21:02:39 +0000,"Make a start on block events, fixed nullcheck in PluginManager",27,624
29,f9058e51,FAIL,0,NO,0,NO,0,2010-12-28 21:52:08 +0000,"Tweak to PlayerChatEvent, allow plugins to set the player that the chat/command executes as",27,626
30,0a9d5929,FAIL,0,NO,0,NO,0,2010-12-28 22:54:39 +0000,Additional constructor for PlayerLoginEvent,27,630
31,3f784977,FAIL,0,NO,0,NO,0,2010-12-29 00:10:22 +0000,Fixed another nullcheck in pluginmanager,27,630
32,b9801a50,FAIL,0,NO,0,NO,0,2010-12-29 01:15:16 +0000,Swapped yaw/pitch in Location constructor to match Minecraft,27,630
33,36b1e38d,FAIL,0,NO,0,NO,0,2010-12-29 03:19:12 +0000,Location implements Cloneable,27,633
34,47207a0d,FAIL,0,NO,0,NO,0,2010-12-29 22:11:33 +0000,"Added Entity interfaces, changed Player to implement these",31,832
35,08e1d41b,FAIL,0,NO,0,NO,0,2010-12-29 23:07:15 +0000,"Changed ItemStack to be a class, added body",31,857
36,2180eb69,FAIL,0,NO,0,NO,0,2010-12-29 23:18:09 +0000,EntityHuman is a LivingEntity,31,857
37,592df41b,FAIL,0,NO,0,NO,0,2010-12-30 03:50:08 +0000,Rename EntityHuman -> HumanEntity,31,857
38,31d03b2a,FAIL,0,NO,0,NO,0,2010-12-30 04:29:53 +0000,Moved getName from Player to HumanEntity,31,857
39,df119a36,FAIL,0,NO,0,NO,0,2010-12-30 04:52:26 +0000,"Added sendMessage() to player, added /pos to sample plugin",31,882
40,6ddb16a8,FAIL,0,NO,0,NO,0,2010-12-30 18:54:04 +0000,Broken plugins no longer crash the server,31,892
41,0b29a78c,FAIL,0,NO,0,NO,0,2010-12-30 20:33:48 +0000,Added debugging tools to sampleplugin,31,905
42,6f6c4d7c,FAIL,0,NO,0,NO,0,2010-12-30 21:59:53 +0000,Added the single most important event ever to be conceived,34,932
43,728122be,FAIL,0,NO,0,NO,0,2010-12-30 22:07:37 +0000,BlockPhysics can be canceled,34,937
44,a65fae29,FAIL,0,NO,0,NO,0,2010-12-30 17:16:06 -0500,Added block events,39,963
45,e96b6e47,FAIL,0,NO,0,NO,0,2010-12-30 17:16:50 -0500,Changed event enumeration,39,963
46,72eecd6e,FAIL,0,NO,0,NO,0,2010-12-30 17:40:14 -0500,Merge remote branch 'upstream/master',39,976
47,7b3331b1,FAIL,0,NO,0,NO,0,2010-12-30 17:49:52 -0500,"Changed fromTo to be Block, Face",39,975
48,e53d1e2b,FAIL,0,NO,0,NO,0,2010-12-30 18:22:22 -0500,"Added BlockFlowEvent, fixed up BlockFromToEvent, cleaned up BlockListener",40,1013
49,4816a5b6,FAIL,0,NO,0,NO,0,2010-12-31 07:53:56 -0500,Implemented BLOCK_FLOW,40,1020
50,e97ded9d,FAIL,0,NO,0,NO,0,2010-12-31 09:07:12 -0500,Changed it so we store both the block and the face for speed,40,1022
51,034b482a,FAIL,0,NO,0,NO,0,2010-12-31 09:07:39 -0500,Fixed bug with BlockFlow.equals Added second constructor for collections,40,1022
52,e827a453,FAIL,0,NO,0,NO,0,2010-12-31 09:09:02 -0500,Implemented BlockRightClickedEvent,40,1037
53,1c9930fa,FAIL,0,NO,0,NO,0,2010-12-31 09:09:22 -0500,"Stated ""not implemented yet""",40,1037
54,9c82017a,FAIL,0,NO,0,NO,0,2010-12-31 09:10:31 -0500,Added self face,40,1038
55,1d1b09b7,FAIL,0,NO,0,NO,0,2010-12-31 21:45:55 +0000,Updated sample plugin to test physics,41,1039
56,9f2a9d46,FAIL,0,NO,0,NO,0,2010-12-31 21:58:47 +0000,Merge branch 'master' of github.com:Dinnerbone/Bukkit,41,1064
57,9e4f3707,FAIL,0,NO,0,NO,0,2010-12-31 20:38:17 -0500,Added private static final UID,41,1067
58,d0204bb2,FAIL,0,NO,0,NO,0,2010-12-31 20:40:44 -0500,Added Cancellable interface,42,1082
59,d9ed08be,FAIL,0,NO,0,NO,0,2010-12-31 21:17:16 -0500,Reimplemented BlockFlow to use multiple BlockFromToEvents,41,1045
60,d34cfe06,FAIL,0,NO,0,NO,0,2010-12-31 22:42:45 -0500,Actually put the correct functionality in isCancelled and setCancelled,41,1048
61,80285cf8,FAIL,0,NO,0,NO,0,2010-12-31 22:44:11 -0500,Added BlockCanBuild Event. Fixed Event enumeration,42,1063
62,90340f6f,FAIL,0,NO,0,NO,0,2011-01-01 01:20:44 -0500,Implemented BLOCK_CANBUILD,42,1064
63,0bdadf12,FAIL,0,NO,0,NO,0,2011-01-01 01:25:22 -0500,"Implemented BLOCK_CANBUILD, had wrong Listener method name",42,1064
64,227ba658,FAIL,0,NO,0,NO,0,2011-01-01 01:26:38 -0500,Merge remote branch 'upstream/master',42,1064
65,5dfc7661,FAIL,0,NO,0,NO,0,2011-01-01 01:40:02 -0500,Sample to let you place cactus anywhere,42,1070
66,caad7624,FAIL,0,NO,0,NO,0,2011-01-01 01:55:04 -0500,Added onBlockCanBuild to loader,42,1075
67,c246509c,FAIL,0,NO,0,NO,0,2011-01-01 06:59:21 +0000,Moved itemstack.type to material,41,878
68,3e8a7407,FAIL,0,NO,0,NO,0,2011-01-01 06:59:52 +0000,Merge branch 'master' of github.com:Dinnerbone/Bukkit,42,889
69,0e4539cb,FAIL,0,NO,0,NO,0,2011-01-01 07:01:53 +0000,Fixed material,43,1079
70,4a5053f8,FAIL,0,NO,0,NO,0,2011-01-01 07:06:43 +0000,Fixed sample plugin,43,1080
71,c4e37dcf,FAIL,0,NO,0,NO,0,2011-01-01 07:24:50 +0000,Fixed sample plugin,43,1081
72,1f295df2,FAIL,0,NO,0,NO,0,2011-01-01 03:12:39 -0500,Changed BlockCanBuild event to pass the material,43,1086
73,995ef8f5,FAIL,0,NO,0,NO,0,2011-01-01 03:21:49 -0500,Changed BlockCanBuildEvent to store the int and not the material,43,1086
74,f46d9ada,SUCCESS,15,SUCCESS,4,SUCCESS,7,2011-01-01 11:23:14 +0100,Transition to Maven,43,1086
75,24007020,FAIL,0,NO,0,NO,0,2011-01-01 06:51:34 -0500,Removed cancellable import,43,1085
76,14234ab8,FAIL,0,NO,0,NO,0,2011-01-01 06:52:28 -0500,Removed @Override for cancellable interface,43,1083
77,f1d0d1fc,FAIL,0,NO,0,NO,0,2011-01-01 06:53:26 -0500,Removed ItemStack import,43,1082
78,61bea9e7,FAIL,0,NO,0,NO,0,2011-01-01 06:53:56 -0500,Standardized indentation to 4 spaces,43,1082
79,8d0fd2a9,SUCCESS,6,SUCCESS,5,SUCCESS,4,2011-01-01 06:55:14 -0500,Merge remote branch 'upstream/master' into HEAD,43,1086
80,29dbc7ec,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-01 07:53:09 -0500,Removed @Override from the cancellable methods,43,1082
81,a7f4603b,SUCCESS,7,SUCCESS,5,SUCCESS,6,2011-01-01 07:54:30 -0500,removed unnecessary imports,43,1080
82,de177404,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-01 08:01:07 -0500,Changed all tabs to 4 spaces,43,1080
83,888d06a0,SUCCESS,6,SUCCESS,5,SUCCESS,6,2011-01-01 19:35:03 +0000,Java 1.5! (Also ninjaencoding),43,1080
84,8d9cb73c,SUCCESS,10,SUCCESS,4,SUCCESS,5,2011-01-01 19:46:55 +0000,POM version crap,43,1080
85,7845f58d,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-01 17:08:32 -0500,Use parametrized reflection to remove warnings,43,1080
86,e01ea2b4,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 00:26:04 -0600,Added generics to PluginManager,43,1080
87,732f8e8f,SUCCESS,7,SUCCESS,4,SUCCESS,5,2011-01-02 00:29:34 -0600,Opps! Wrong class.,43,1080
88,09633833,SUCCESS,6,SUCCESS,5,SUCCESS,5,2011-01-02 00:38:51 -0600,Fixed generics warning.,43,1082
89,d2656750,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 02:16:29 -0500,Merge remote branch 'upstream/master',43,1082
90,c3fd375f,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 01:50:45 -0600,Added custom event support.,44,1103
91,c3ad3124,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-02 16:23:56 +0800,Added Vector class.,45,1254
92,a662901c,SUCCESS,9,SUCCESS,4,SUCCESS,5,2011-01-02 16:26:50 +0800,Added ArrowEntity and World.spawnArrow().,46,1258
93,6bb54f57,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-02 16:41:26 +0800,"Made X, Y, and Z components in Vector protected.",46,1258
94,6255d179,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-02 10:57:42 +0100,We're GPL.,46,1258
95,a6004c5f,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 05:52:42 -0500,Merge remote branch 'upstream/master',46,1258
96,df4d4aa2,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 15:10:51 +0000,Updated event priorities,46,1259
97,831f75b4,SUCCESS,8,SUCCESS,5,SUCCESS,4,2011-01-02 18:08:26 +0000,Updated Event list,46,1283
98,7168e9cf,SUCCESS,8,SUCCESS,4,SUCCESS,6,2011-01-03 00:20:09 +0000,Added getPlayer(String name) to Server,46,1284
99,de91a2eb,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-02 10:42:13 -0800,"Improved Vector and Location with some utility methods, optimized Vector.isInSphere().",46,1299
100,3a55c5e7,SUCCESS,8,SUCCESS,6,SUCCESS,4,2011-01-03 01:56:17 +0100,Added ant build file.,46,1283
101,6d798810,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-02 17:03:46 -0800,Merge branch 'master' of https://github.com/FrozenCow/Bukkit into FrozenCow-master,46,1299
102,c52e7539,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-03 02:06:22 +0000,Implemented PluginEnabled and PluginDisabled,49,1329
103,97dd74c4,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-03 02:20:11 +0000,"Added enablePlugin and disablePlugin, triggers events",49,1360
104,eea32be4,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 02:21:48 +0000,Plugins no longer defaulted to enabled,49,1360
105,ab2191c4,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-02 21:38:48 -0500,removed unnecessary import,49,1359
106,36a7be36,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 02:41:18 +0000,Fixed logic issue toggling plugins,49,1359
107,61d42cb7,SUCCESS,7,SUCCESS,4,SUCCESS,5,2011-01-02 18:31:04 -0800,Block.getLightLevel(),49,1360
108,32e183d8,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-02 18:00:57 -0800,"Added world.spawnTree(), world.spawnBigTree().",49,1362
109,7dd517f6,SUCCESS,7,SUCCESS,5,SUCCESS,6,2011-01-03 02:59:16 +0000,Javadoc the world!,49,1362
110,4fe20f56,SUCCESS,7,SUCCESS,5,SUCCESS,5,2011-01-03 03:00:54 +0000,Light level is a byte,49,1362
111,2018236d,SUCCESS,8,SUCCESS,4,SUCCESS,6,2011-01-03 09:43:02 +0800,Cleaned ant build file for Bukkit.,49,1362
112,a1b9babb,SUCCESS,7,SUCCESS,5,SUCCESS,6,2011-01-03 14:10:49 +0800,Renamed ArrowEntity->Arrow to be consistent.,49,1362
113,0a418f8f,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 14:03:17 +0800,"Added minecart classes, vehicle class, and the ability to spawn minecarts. StorageMinecart needs a getInventory(), but that is waiting on the addition of inventory code.",53,1379
114,30f7da4d,SUCCESS,8,SUCCESS,4,SUCCESS,6,2011-01-03 16:52:44 +0800,Implemented vehicle hooks (some changes will still be made).,63,1517
115,97981711,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 17:26:34 +0800,Change vehicle hook changes.,63,1522
116,f951e2f6,SUCCESS,8,SUCCESS,5,SUCCESS,6,2011-01-03 17:55:42 +0800,Made Vector.equals() fuzzy.,63,1525
117,ec3a2bb7,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 18:10:17 +0800,"Added more math to Vector, renamed some methods.",63,1535
118,3e6604fb,FAIL,8,NO,0,NO,0,2011-01-03 11:01:36 +0800,all the fillr stuff,70,1826
119,9f772612,FAIL,7,NO,0,NO,0,2011-01-03 12:06:36 +0800,fillr -> plugin,70,1833
120,8e4943ee,FAIL,7,NO,0,NO,0,2011-01-03 12:13:38 +0800,yml for fillr,70,1833
121,2ae060bc,FAIL,8,NO,0,NO,0,2011-01-03 12:16:00 +0800,json stuff,82,3014
122,783eba23,FAIL,9,NO,0,NO,0,2011-01-03 12:19:46 +0800,updated TODO,82,3014
123,f4d28fef,FAIL,8,NO,0,NO,0,2011-01-03 12:20:02 +0800,updated TODO,82,3014
124,b37fe763,FAIL,8,NO,0,NO,0,2011-01-03 12:26:35 +0800,better visibility/javadoc,82,3012
125,91a43077,FAIL,8,NO,0,NO,0,2011-01-03 16:23:24 +0800,hot damn. get <name> added,82,3012
126,77268dc8,FAIL,8,NO,0,NO,0,2011-01-03 16:25:10 +0800,hot damn. get <name> added,83,3041
127,4a590fb8,FAIL,8,NO,0,NO,0,2011-01-03 17:44:30 +0800,Added LivingEntity.throwEgg() and LivingEntity.throwSnowball().,85,3047
128,597f6ee5,SUCCESS,8,SUCCESS,5,SUCCESS,5,2011-01-03 15:29:33 +0000,"Fixed Fillr.java, added /get command ingame",85,3060
129,955c2cde,SUCCESS,8,SUCCESS,4,SUCCESS,5,2011-01-03 15:31:54 +0000,Formatting,85,3055
130,4540538e,SUCCESS,9,SUCCESS,4,SUCCESS,5,2011-01-03 15:35:30 +0000,More formatting,85,3092
131,bc585f58,SUCCESS,9,SUCCESS,4,SUCCESS,5,2011-01-03 16:11:36 +0800,Entity damage hooks,89,3164
132,73755a94,SUCCESS,8,SUCCESS,4,SUCCESS,6,2011-01-03 17:40:26 +0800,Move health stuff from LivingEntity to Entity.,89,3167
133,153aa4d1,SUCCESS,8,SUCCESS,5,SUCCESS,4,2011-01-03 19:24:05 +0800,Overhaul entity damage structure...,90,3186
134,19e48762,SUCCESS,9,SUCCESS,4,SUCCESS,5,2011-01-03 16:23:08 +0000,Moved simplejson as dependency,78,1968
