id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,c55709f3,FAIL,0,NO,0,NO,0,2013-06-27 14:44:08 -0700,Put CoreNLP on GitHub,1254,249131
1,5b52d9d7,FAIL,0,NO,0,NO,0,2013-06-27 14:44:08 -0700,Put CoreNLP on GitHub,1254,249131
2,485e1043,FAIL,0,NO,0,NO,0,2013-06-28 09:11:51 -0700,Small javadoc improvements.,1254,249131
3,69b928de,FAIL,0,NO,0,NO,0,2013-06-28 09:11:51 -0700,Small javadoc improvements.,1254,249131
4,24c53e76,FAIL,0,NO,0,NO,0,2013-06-28 09:11:52 -0700,Fix partmod for when modified NP has functional tags; extend pattern to cover NML and NX cases that also occasionally occur. Add test of former.,1254,249131
5,ce0a7b38,FAIL,0,NO,0,NO,0,2013-06-28 09:11:52 -0700,Fix partmod for when modified NP has functional tags; extend pattern to cover NML and NX cases that also occasionally occur. Add test of former.,1254,249131
6,33637fbf,FAIL,0,NO,0,NO,0,2013-06-29 10:44:17 -0700,Removed old featurizers,1250,248845
7,df35f388,FAIL,0,NO,0,NO,0,2013-06-29 10:44:17 -0700,Removed old featurizers,1250,248845
8,9e25dfc9,FAIL,0,NO,0,NO,0,2013-06-29 10:44:29 -0700,Merge branch 'master' into feature-api,1254,249131
9,7d77ed24,FAIL,0,NO,0,NO,0,2013-06-29 10:44:29 -0700,Merge branch 'master' into feature-api,1254,249131
10,9d20a8ac,FAIL,0,NO,0,NO,0,2013-06-30 14:35:55 -0700,Interleave full regularization passes into the sequence of lazy regularization steps,1240,246021
11,2e1fb0c9,FAIL,0,NO,0,NO,0,2013-06-30 14:35:55 -0700,Interleave full regularization passes into the sequence of lazy regularization steps,1240,246021
12,89518eab,FAIL,0,NO,0,NO,0,2013-06-30 14:36:01 -0700,Merged master,1240,246614
13,80d74188,FAIL,0,NO,0,NO,0,2013-06-30 14:36:01 -0700,Merged master,1240,246614
14,6da36bb6,FAIL,0,NO,0,NO,0,2013-06-30 14:36:15 -0700,Merged with master,1254,249131
15,fad973d4,FAIL,0,NO,0,NO,0,2013-06-30 14:36:15 -0700,Merged with master,1254,249131
16,05db6d5e,FAIL,0,NO,0,NO,0,2013-07-02 02:04:18 -0700,Fix a bug in the Arabic tagger where it wouldn't use the correct tree reader,1254,249142
17,bbd2661b,FAIL,0,NO,0,NO,0,2013-07-02 02:04:18 -0700,Fix a bug in the Arabic tagger where it wouldn't use the correct tree reader,1254,249142
18,d0d49311,FAIL,0,NO,0,NO,0,2013-07-02 02:17:33 -0700,Update lexparser readme,1254,249142
19,bc9ef9ec,FAIL,0,NO,0,NO,0,2013-07-02 02:17:33 -0700,Update lexparser readme,1254,249142
20,df80404b,FAIL,0,NO,0,NO,0,2013-07-02 12:27:59 -0700,Note in the README that the ejml model is in core and has the LGPL license,1254,249142
