id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,87a4428,FAIL,0,NO,0,NO,0,2018-01-18 18:46:27 +0800,公告,0,0
1,7b5c356,FAIL,40,NO,0,NO,0,2018-01-25 17:01:29 +0800,v0.0,148,4425
2,7ec3fb6,FAIL,28,NO,0,NO,0,2018-01-25 17:01:29 +0800,v0.0,148,4402
3,4a43947,FAIL,0,NO,0,NO,0,2018-02-02 17:50:46 +0800,Delete README.md,0,0
4,baee63f,FAIL,29,NO,0,NO,0,2018-02-02 17:53:00 +0800,fix doc,148,4402
5,7a7967c,FAIL,27,NO,0,NO,0,2018-02-02 17:57:27 +0800,Merge https://github.com/alibaba/DataX,148,4402
6,c6c0931,FAIL,28,NO,0,NO,0,2018-02-02 18:22:09 +0800,Update README.md,148,4402
7,fbe6c72,FAIL,30,NO,0,NO,0,2018-02-05 21:43:21 +0800,Update userGuid.md,148,4402
8,4608abe,FAIL,29,NO,0,NO,0,2018-02-05 21:45:15 +0800,Update userGuid.md,148,4402
9,a768739,FAIL,29,NO,0,NO,0,2018-03-26 15:23:25 +0800,修改hbaseConfig相关描述,148,4402
10,3d159ed,FAIL,31,NO,0,NO,0,2018-03-27 15:10:10 +0800,Merge branch 'hbasedoc' into 'master',148,4402
11,26a6035,FAIL,30,NO,0,NO,0,2018-05-14 10:22:19 +0800,Update README.md,148,4402
12,53aea51,FAIL,30,NO,0,NO,0,2018-05-15 17:12:05 +0800,add .gitignore,148,4402
13,9a119ad,FAIL,30,NO,0,NO,0,2018-05-23 11:27:44 +0800,change the logic of getting orc column count in DFSUtil.java,148,4402
14,84cfeb5,FAIL,29,NO,0,NO,0,2018-05-23 11:48:34 +0800,rm some idea files,148,4402
15,068b1db,FAIL,30,NO,0,NO,0,2018-05-23 13:57:37 +0800,Merge pull request #93 from windpiger/orc-columncount,148,4402
16,e47dc1d,FAIL,31,NO,0,NO,0,2018-06-07 16:30:06 +0800,add datax plugin dev wiki,148,4402
17,e0d6d66,FAIL,30,NO,0,NO,0,2018-06-07 16:30:17 +0800,Merge branch 'master' of https://github.com/alibaba/DataX,148,4402
18,f1f6cf3,FAIL,30,NO,0,NO,0,2018-06-07 16:32:33 +0800,add rdbmsreader and rdbmswriter wiki link,148,4402
19,1e5ef8b,FAIL,29,NO,0,NO,0,2018-06-07 17:17:31 +0800,fix dataxPluginDev.md,148,4402
20,3944752,FAIL,63,NO,0,NO,0,2018-07-27 11:40:07 +0800,官方的maven库tablestore-streamclient没有1.0.0-SNAPSHOT，只有1.0.0版本,148,4402
21,94a94f2,FAIL,29,NO,0,NO,0,2018-07-31 11:45:04 +0800,Update README.md,148,4402
22,b901b62,FAIL,29,NO,0,NO,0,2018-11-07 20:18:07 +0800,add hbase11xsqlreader,152,4564
23,d4d1ea6,FAIL,31,NO,0,NO,0,2018-11-07 20:27:49 +0800,Merge pull request #213 from lw309637554/add-hbase11xsqlreader,152,4564
24,24cdfc3,FAIL,29,NO,0,NO,0,2018-12-03 17:25:13 +0800,增加odpsReader官方示例中的必须参数,152,4564
25,a57425d,FAIL,31,NO,0,NO,0,2018-12-13 15:33:44 +0800,Write AnalyticDB by adbclient,153,4573
26,8b538d0,FAIL,30,NO,0,NO,0,2018-12-17 11:04:17 +0800,Ensure table name to lower,153,4573
27,9232808,FAIL,28,NO,0,NO,0,2018-12-26 10:18:48 +0800,update adswriter.md,153,4573
28,27cd1cf,FAIL,30,NO,0,NO,0,2019-01-29 17:10:28 +0800,Merge pull request #245 from wuchase/master,153,4573
29,272f48b,FAIL,28,NO,0,NO,0,2019-02-25 17:18:24 +0800,Update README.md,153,4573
