id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,8d101c4,FAIL,0,NO,0,NO,0,2012-11-24 01:44:16 +0100,Started the project. Time to learn!,1,11
1,ba06e77,FAIL,0,NO,0,NO,0,2012-11-24 01:49:26 +0100,Made it into a more serious project.,17,132
2,64cc791,FAIL,0,NO,0,NO,0,2012-11-24 02:05:21 +0100,Made the code A LOT more readable.,17,135
3,bc0c812,FAIL,0,NO,0,NO,0,2012-11-24 14:33:51 +0100,Implemented the Factory pattern.,42,325
4,dcc66cf,FAIL,0,NO,0,NO,0,2012-11-25 00:35:54 +0100,Ignore .class files.,42,325
5,8b1cf86,FAIL,0,NO,0,NO,0,2012-11-24 15:54:34 -0800,Merge pull request #1 from commonquail/master,42,325
6,e1c6252,FAIL,0,NO,0,NO,0,2012-11-25 00:53:53 +0100,Cleaned the directory for .class-file clutter.,42,325
7,7f0fab0,FAIL,0,NO,0,NO,0,2012-11-25 01:36:59 +0100,Added readme.,42,325
8,071737b,FAIL,0,NO,0,NO,0,2012-11-25 01:46:55 +0100,Merge remote-tracking branch 'upstream/master',42,325
9,61e6217,FAIL,0,NO,0,NO,0,2012-11-25 01:49:54 +0100,Accidentally a word.,42,325
10,c77a22d,FAIL,0,NO,0,NO,0,2012-11-24 16:52:56 -0800,Merge pull request #2 from commonquail/master,42,325
11,b17cfd7,FAIL,0,NO,0,NO,0,2012-11-25 01:58:09 +0100,Condition changed to actually count to the number given as a parameter.,42,325
12,8a53efd,FAIL,0,NO,0,NO,0,2012-11-25 15:07:39 +0100,"<= is a lot of responsibility on one line, better separate it into < and ==.",42,327
13,417395b,FAIL,0,NO,0,NO,0,2012-11-25 06:23:10 -0800,Merge pull request #4 from commonquail/master,42,327
14,4435366,FAIL,0,NO,0,NO,0,2012-11-25 15:46:12 +0100,Fixed what Mikkel broke.,42,328
15,c23a9fd,FAIL,0,NO,0,NO,0,2012-11-25 16:25:40 +0100,Separate interfaces and implementations.,0,0
16,d8bfc0a,FAIL,0,NO,0,NO,0,2012-11-25 16:38:48 +0100,Merge remote-tracking branch 'upstream/master',42,350
17,370b33f,FAIL,0,NO,0,NO,0,2012-11-25 07:48:31 -0800,Merge pull request #5 from commonquail/master,42,350
18,30baae9,FAIL,0,NO,0,NO,0,2012-11-25 19:22:07 +0100,"Fixed the StringReturners, as their methods did not conform to the interface.",42,350
19,c92ead8,FAIL,0,NO,0,NO,0,2013-03-12 12:29:05 +0900,changed the loop increment value to final value,42,350
20,abac598,FAIL,0,NO,0,NO,0,2013-03-12 15:08:12 +0900,Move sources,42,350
21,be96d38,FAIL,0,NO,0,NO,0,2013-03-12 02:37:15 -0700,Merge pull request #6 from torazuka/feature/pr1,42,350
22,5e14a9c,SUCCESS,15,SUCCESS,5,SUCCESS,7,2013-03-19 20:09:51 +0900,Add maven project,42,350
23,82bca46,SUCCESS,5,SUCCESS,6,SUCCESS,8,2013-03-19 20:10:54 +0900,Add test,43,398
24,bb5148e,SUCCESS,7,SUCCESS,6,SUCCESS,6,2013-03-19 20:11:38 +0900,Merge branch 'master' into add_maven2_project_and_test,43,398
25,238abbc,SUCCESS,8,SUCCESS,6,SUCCESS,6,2013-03-19 20:22:21 +0900,Add maven-jar-plugin,43,398
26,c1512a9,SUCCESS,8,SUCCESS,6,SUCCESS,6,2013-03-19 05:09:08 -0700,Merge pull request #37 from mattn/add_maven2_project_and_test,43,398
27,50c5f46,SUCCESS,9,SUCCESS,6,SUCCESS,7,2013-03-19 18:57:43 +0400,Added compiler configuration to build project with jdk 1.7; NewLineStringReturner now uses platform-independent line separator;,43,399
28,0d35144,SUCCESS,7,SUCCESS,7,SUCCESS,6,2013-03-19 15:58:36 +0100,Update README.md,43,398
29,06d971c,SUCCESS,7,SUCCESS,6,SUCCESS,6,2013-03-19 10:18:42 -0700,Merge pull request #40 from deadok22/master,43,399
30,f111694,SUCCESS,8,SUCCESS,6,SUCCESS,6,2013-03-21 11:49:31 +0100,Fix magic number usage,43,400
31,fe2167f,SUCCESS,7,SUCCESS,5,SUCCESS,7,2013-03-22 02:40:19 -0700,Merge pull request #46 from julianwachholz/master,43,400
32,65bbb7b,SUCCESS,7,SUCCESS,6,SUCCESS,6,2013-04-09 21:06:40 -0400,Removed a few magic numbers; our code has to be adaptable and explicit.,46,413
33,9413e68,SUCCESS,6,SUCCESS,7,SUCCESS,6,2013-04-10 09:23:35 -0700,Merge pull request #55 from hgentry/master,46,413
34,9216cc6,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-04-12 13:59:55 +0400,Fix redundant newline.,46,413
35,d86974e,SUCCESS,7,SUCCESS,7,SUCCESS,6,2013-04-12 14:07:15 +0400,Fix code duplication for checking one n umber is multiple of another.,47,423
36,aa58495,SUCCESS,7,SUCCESS,6,SUCCESS,8,2013-05-07 20:55:54 +0400,Update LoopInitializer.java,46,413
37,bd81ecd,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-05-07 20:56:31 +0400,Update LoopStep.java,46,413
38,5a545cb,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-05-08 12:27:38 -0700,Merge pull request #62 from avl93/master,46,413
39,c83b5d4,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-07-18 23:58:40 -0700,Merge pull request #58 from Dmitry-Me/master,47,423
40,c57b908,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-08-02 19:22:49 +0400,Factor out comparison implementation.,49,444
41,63a0fca,SUCCESS,7,SUCCESS,6,SUCCESS,8,2013-08-02 19:24:10 +0400,Remove redundant tab characters.,49,444
42,cd45a38,SUCCESS,6,SUCCESS,7,SUCCESS,6,2013-08-07 02:10:01 -0700,Merge pull request #68 from Dmitry-Me/master,49,444
43,8ffc288,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-08-08 00:00:52 -0400,Made the variable names more descriptive.,49,446
44,fb41fa6,SUCCESS,7,SUCCESS,7,SUCCESS,6,2013-08-08 00:06:58 -0400,"Factored out integer division, in case we ever want to use other algorithms for it.",50,450
45,baf6550,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-08-08 00:55:22 -0400,"Made the integer division class more explicit in what it's doing. Also, added a division-by-zero exception, to catch it before it happens, and added exception-handling code to the procedures that use the code that potentially throws division by zero.",50,466
46,740dc89,SUCCESS,7,SUCCESS,6,SUCCESS,7,2013-08-08 02:50:29 -0700,Merge pull request #75 from joezeng/master,50,466
47,222073a,FAIL,6,NO,0,NO,0,2013-08-13 03:26:50 -0400,Update IntegerDivider.java,50,470
48,0597152,FAIL,7,NO,0,NO,0,2013-08-13 16:05:21 +0400,Loop ending should be coupled to the loop tighter for clarity.,51,477
49,2530021,FAIL,6,NO,0,NO,0,2013-08-13 05:27:05 -0700,Merge pull request #80 from Dmitry-Me/refactorloop,51,477
50,5631058,FAIL,5,NO,0,NO,0,2013-08-13 06:07:03 -0700,Merge pull request #79 from joezeng/patch-1,51,481
51,3705017,FAIL,5,NO,0,NO,0,2013-08-13 17:52:23 +0400,Make conversions and doubles comparisons explicit.,55,509
52,017e08c,FAIL,5,NO,0,NO,0,2013-08-13 07:54:18 -0700,Merge pull request #81 from Dmitry-Me/doublescomparison,55,509
53,6c5963c,FAIL,6,NO,0,NO,0,2013-08-14 09:57:02 +0400,Previous change broke compilation.,55,509
54,506c0f8,FAIL,6,NO,0,NO,0,2013-08-13 23:50:19 -0700,Merge pull request #83 from Dmitry-Me/compilationbroken,55,509
