id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b65199d8,SUCCESS,16,SUCCESS,3,SUCCESS,7,2014-10-09 14:37:10 +0800,Initial commit,2,16
1,e22b7f30,SUCCESS,3,SUCCESS,5,SUCCESS,5,2014-10-09 15:04:27 +0800,初始化,2,16
2,4ab27f87,SUCCESS,5,SUCCESS,4,SUCCESS,6,2014-10-09 15:07:25 +0800,初始提交,2,16
3,5f5b8d19,SUCCESS,5,SUCCESS,4,SUCCESS,5,2014-10-09 16:54:45 +0800,Create README.md,2,16
4,3a5c614f,SUCCESS,5,SUCCESS,5,SUCCESS,5,2014-10-09 23:16:58 +0800,加速词典加载速度,2,16
5,51e00d25,SUCCESS,5,SUCCESS,5,SUCCESS,5,2014-10-09 23:19:53 +0800,Merge branch 'master' of https://github.com/hankcs/HanLP,2,16
6,ab5a7aa7,SUCCESS,5,SUCCESS,5,SUCCESS,5,2014-10-09 23:20:56 +0800,注释,2,16
7,4f373c4f,SUCCESS,5,SUCCESS,4,SUCCESS,5,2014-10-12 18:18:42 +0800,字典载入全部加速！,2,16
8,27da4b63,SUCCESS,5,SUCCESS,5,SUCCESS,6,2014-10-12 20:33:29 +0800,字典载入全部加速！,2,16
9,d9ef91fb,SUCCESS,5,SUCCESS,4,SUCCESS,5,2014-10-26 11:12:33 +0800,大幅优化,1,13
10,b69c5075,SUCCESS,5,SUCCESS,5,SUCCESS,6,2014-10-26 11:13:05 +0800,大幅优化,1,13
11,85163de0,SUCCESS,5,SUCCESS,5,SUCCESS,5,2014-10-28 11:29:40 +0800,移除对日志库的依赖，返璞归真,1,13
12,bc11cae4,SUCCESS,5,SUCCESS,5,SUCCESS,6,2014-10-28 22:29:06 +0800,大幅优化,1,13
13,384064f5,SUCCESS,6,SUCCESS,5,SUCCESS,5,2014-11-01 11:49:00 +0800,大幅优化,4,38
