error,count
,581
Could not initialize class com.zaxxer.hikari.ProxyFactory,47
$java.sql.Connection$$EnhancerByMockitoWithCGLIB$$ab318bb3 cannot be cast to com.zaxxer.hikari.IHikariConnectionProxy,1
$java.sql.Connection$$EnhancerByMockitoWithCGLIB$$ba1c3cff cannot be cast to com.zaxxer.hikari.IHikariConnectionProxy,1
Could not initialize class com.zaxxer.hikari.proxy.ProxyFactory,12
Could not initialize class com.zaxxer.hikari.proxy.JavassistProxyFactoryFactory,27
Unable to start system bundle.,2
Stream handler unavailable due to: null,4
Error resolving artifact org.ops4j.pax.exam:pax-exam-inject:jar:3.4.0: Could not transfer artifact org.ops4j.pax.exam:pax-exam-inject:jar:3.4.0 from/to central (http://repo1.maven.org/maven2/): Error transferring file: Server returned HTTP response code: 501 for URL: http://repo1.maven.org/maven2/org/ops4j/pax/exam/pax-exam-inject/3.4.0/pax-exam-inject-3.4.0.jar,2128
one of either dataSource or dataSourceClassName must be specified,3
Could not initialize class com.zaxxer.hikari.HikariConfig,46
Timeout of 30000ms encountered waiting for connection.,9
com.zaxxer.hikari.HikariConfig,5
java.lang.NullPointerException,7
connectionTimeout cannot be less than 1000ms,4
"Error resolving artifact org.ops4j.pax.exam:pax-exam-inject:jar:4.4.0: Could not transfer artifact org.ops4j.pax.exam:pax-exam-inject:jar:4.4.0 from/to central (http://repo1.maven.org/maven2/): Failed to transfer file: http://repo1.maven.org/maven2/org/ops4j/pax/exam/pax-exam-inject/4.4.0/pax-exam-inject-4.4.0.jar. Return code is: 501 , ReasonPhrase:HTTPS Required.",188
"Error resolving artifact org.ops4j.pax.exam:pax-exam-inject:jar:3.4.0: Could not transfer artifact org.ops4j.pax.exam:pax-exam-inject:jar:3.4.0 from/to central (http://repo1.maven.org/maven2/): Failed to transfer file: http://repo1.maven.org/maven2/org/ops4j/pax/exam/pax-exam-inject/3.4.0/pax-exam-inject-3.4.0.jar. Return code is: 501 , ReasonPhrase:HTTPS Required.",180
Exception during pool initialization,14
com.zaxxer.hikari.pool.PoolInitializationException: Exception during pool initialization,1
Could not initialize class com.zaxxer.hikari.util.LongAdder,112
java.lang.SecurityException: Unsafe,2
