id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,35382884,FAIL,0,NO,0,NO,0,2013-10-07 22:43:03 -0700,Initial commit,0,0
1,fdbdc025,SUCCESS,16,SUCCESS,6,FAIL,9,2013-10-08 14:44:10 +0900,initial commit,17,1172
2,1efa1e63,SUCCESS,7,SUCCESS,7,FAIL,7,2013-10-08 14:46:24 +0900,Merge branch 'master' of https://github.com/brettwooldridge/HikariCP,17,1172
3,052446ca,SUCCESS,6,SUCCESS,7,FAIL,8,2013-10-08 15:00:25 +0900,Use Thread.currentThread().getStackTrace() instead of creating a Throwable.,17,1172
4,bb5360d4,SUCCESS,9,SUCCESS,8,FAIL,7,2013-10-09 07:58:52 +0900,Add dependency for test,17,1172
5,44f986a9,SUCCESS,7,SUCCESS,7,FAIL,8,2013-10-09 07:59:21 +0900,Fix statement tracking,17,1178
6,21fe1b44,SUCCESS,8,SUCCESS,7,FAIL,7,2013-10-09 07:59:37 +0900,Fix up the mock datasource,17,1171
7,95905042,SUCCESS,8,SUCCESS,6,FAIL,8,2013-10-09 07:59:48 +0900,Start of a benchmark,18,1252
8,47268a52,SUCCESS,11,SUCCESS,9,SUCCESS,8,2013-10-09 18:06:38 +0900,Benchmark and tuning.,18,1313
9,a3196b1a,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-09 18:07:10 +0900,Benchmark and tuning.,25,2119
10,ef786b55,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-09 22:36:45 +0900,Update README.md,25,2119
11,65c27de3,SUCCESS,9,SUCCESS,8,FAIL,9,2013-10-09 23:20:23 +0900,Restore wrapped ResultSets,25,2119
12,7b123e7e,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-09 23:20:42 +0900,Enhance benchmark,25,2169
13,403ca5f9,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-10 19:14:25 +0900,Add one more warm up run.,25,2173
14,8ad1161a,SUCCESS,8,SUCCESS,8,FAIL,9,2013-10-10 19:14:57 +0900,Add ignores.,25,2173
15,776c3f49,SUCCESS,9,SUCCESS,8,FAIL,9,2013-10-10 19:15:21 +0900,Add ignores.,25,2173
16,6a46daa7,FAIL,9,NO,0,NO,0,2013-10-10 23:42:31 +0900,Change named of some getter/setters,25,2180
17,04199ba9,FAIL,8,NO,0,NO,0,2013-10-10 23:43:01 +0900,Fixed the average execution time calculation.,25,2179
18,92bea1dd,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-10 23:43:36 +0900,"Add idle time-out handling, max lifetime handling, and connection leak detection.",25,2224
19,be3289b7,SUCCESS,8,SUCCESS,8,FAIL,9,2013-10-11 15:39:21 +0900,Update README.md,25,2224
20,81c36478,SUCCESS,9,SUCCESS,8,FAIL,9,2013-10-11 17:07:05 +0900,Update README.md,25,2224
21,60999852,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-11 18:49:10 +0900,Update README.md,25,2224
22,b81c8ba8,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-11 19:20:25 +0900,Start of work to allow loading from a Properties file.,25,2234
23,50c445c6,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-12 22:45:39 +0900,Update README.md,25,2234
24,f4d92279,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-12 23:07:06 +0900,Update README.md,25,2234
25,81079906,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-12 23:19:51 +0900,Update README.md,25,2234
26,47fec58d,SUCCESS,8,SUCCESS,9,FAIL,8,2013-10-12 23:22:42 +0900,Update README.md,25,2234
27,428ddd6c,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-13 14:14:28 +0900,Update README.md,25,2234
28,0a71070f,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-14 17:52:57 +0900,Update README.md,25,2234
29,3c264938,SUCCESS,9,SUCCESS,10,FAIL,8,2013-10-14 18:03:57 +0900,Use nanoTime() it is more accurate on some platforms.,25,2234
30,f50c6523,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-14 18:04:13 +0900,Delete unused class.,24,2113
31,4dd5d75b,SUCCESS,9,SUCCESS,9,FAIL,8,2013-10-14 18:04:37 +0900,Default jdbc4 isValid() connection validation method to true.,24,2114
32,03a44b7a,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-14 18:05:44 +0900,During getConnection() only try to fill the pool when it is empty.,24,2114
33,72d3d38a,SUCCESS,8,SUCCESS,8,FAIL,9,2013-10-14 18:06:51 +0900,Add code to trap SQLExceptions and call a checkException() method.,24,2152
34,8d8774f1,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-15 08:54:31 +0900,Mock the isValid() method.,24,2153
35,90024ce3,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-15 08:55:05 +0900,Fix license header.,24,2153
36,5a94e862,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-15 08:55:29 +0900,Starting work on new class loader,25,2189
37,1cb3c87f,SUCCESS,7,SUCCESS,8,FAIL,9,2013-10-15 13:49:04 +0900,More byte-code weaving experiments.,24,2003
38,7f76e3b8,SUCCESS,8,SUCCESS,8,FAIL,9,2013-10-15 13:53:58 +0900,Clear the tracking statements before we do anything that might throw an exception.,24,2153
39,1ab5c8fd,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-15 13:54:24 +0900,Uncomment benchmarks.,24,2158
40,c9656566,SUCCESS,8,SUCCESS,8,FAIL,9,2013-10-15 16:56:25 +0900,Switch from HashSet to ArrayList for tracking statements.,24,2156
41,96578be6,SUCCESS,9,SUCCESS,8,FAIL,8,2013-10-15 16:56:43 +0900,Remove cglib,23,2016
42,2eb52b06,SUCCESS,8,SUCCESS,8,FAIL,7,2013-10-15 16:57:43 +0900,Switch from add() method to put() method.,23,2015
43,cd2c7693,SUCCESS,8,SUCCESS,8,FAIL,8,2013-10-15 16:58:22 +0900,Remove java proxy factory ... only support javassist.,22,1894
