id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,5d11119,FAIL,0,NO,0,NO,0,2013-02-19 22:41:56 +0100,Initial commit,9,284
1,1b5f3a6,FAIL,0,NO,0,NO,0,2013-02-19 22:49:55 +0100,Added example .apk,9,284
2,cc522d2,FAIL,0,NO,0,NO,0,2013-02-19 23:09:18 +0100,Added app icon,9,284
3,e21637d,FAIL,0,NO,0,NO,0,2013-02-20 00:14:32 +0100,Reusing Handler instance,9,286
4,2b8e79d,FAIL,0,NO,0,NO,0,2013-02-20 00:16:29 +0100,Added Play Store link to README,9,286
5,c0eaa35,FAIL,0,NO,0,NO,0,2013-02-20 00:19:26 +0100,Reuse of endAnimationRunnable,9,286
6,9c15e16,FAIL,0,NO,0,NO,0,2013-02-20 21:33:33 +0100,Added lint ignore,9,286
7,c23eee7,FAIL,0,NO,0,NO,0,2013-02-20 21:36:38 +0100,Fixed divider height when removing divider drawable,9,289
8,ee8011e,FAIL,0,NO,0,NO,0,2013-02-20 21:36:59 +0100,Added Google Cards example,10,354
9,54db43c,FAIL,0,NO,0,NO,0,2013-02-20 21:38:46 +0100,Proper scrollbarStyle in Google Card example,10,354
10,25fabdd,FAIL,0,NO,0,NO,0,2013-02-20 22:49:14 +0100,Bump to version 1.1,10,354
11,e6a9067,FAIL,0,NO,0,NO,0,2013-02-20 22:51:05 +0100,Update .apk to 1.1,10,354
12,636ae56,FAIL,0,NO,0,NO,0,2013-02-21 22:09:28 +0100,Use of PropertyAnimations,10,365
13,f76ea0e,FAIL,0,NO,0,NO,0,2013-02-21 22:11:04 +0100,Removed unused files,10,365
14,6c60e3b,FAIL,0,NO,0,NO,0,2013-02-21 22:12:57 +0100,Use of PropertyAnimations,10,362
15,cbba3ed,FAIL,0,NO,0,NO,0,2013-02-21 22:27:19 +0100,Added license,10,362
16,2f773df,FAIL,0,NO,0,NO,0,2013-02-21 22:29:35 +0100,Use of NineOldAndroids library to keep support from API lvl 1,10,359
17,efe6051,FAIL,0,NO,0,NO,0,2013-02-21 22:33:17 +0100,Fixed minSdkVersion in Manifest,10,359
18,27d64dc,FAIL,0,NO,0,NO,0,2013-02-21 22:33:53 +0100,Updated README,10,359
19,a3f08f2,FAIL,0,NO,0,NO,0,2013-02-21 23:14:52 +0100,Removed setAlpha() method that requires API 11.,10,373
20,53e543c,FAIL,0,NO,0,NO,0,2013-02-21 23:39:12 +0100,Created option to choose between PropertyValues or animation resources,12,404
21,8d49fc7,FAIL,0,NO,0,NO,0,2013-02-21 23:49:21 +0100,Fixed ready made adapters,12,404
22,605c866,FAIL,0,NO,0,NO,0,2013-02-21 23:59:26 +0100,minSdkVersion = 4,12,404
23,3ac77ac,FAIL,0,NO,0,NO,0,2013-02-22 20:57:10 +0100,Fixed negative delay,12,407
24,5f46b4d,FAIL,0,NO,0,NO,0,2013-02-22 20:59:24 +0100,Bump to version 1.2,12,407
25,3f7b459,FAIL,0,NO,0,NO,0,2013-02-22 21:01:43 +0100,Removed logs,12,405
26,69e1fc2,FAIL,0,NO,0,NO,0,2013-02-22 21:02:38 +0100,Update .apk to 1.2,12,405
27,07ab0fa,FAIL,0,NO,0,NO,0,2013-02-22 21:11:15 +0100,Updated README,12,405
28,30ac4a9,FAIL,0,NO,0,NO,0,2013-02-22 21:25:19 +0100,Package refactoring,9,357
29,dc02a5c,FAIL,0,NO,0,NO,0,2013-02-22 21:32:21 +0100,Updated README,12,413
30,6faea0e,FAIL,0,NO,0,NO,0,2013-02-22 21:33:30 +0100,Updated README,12,413
31,f1115e4,FAIL,0,NO,0,NO,0,2013-02-22 21:33:59 +0100,Updated README,12,413
32,3a19ecc,FAIL,0,NO,0,NO,0,2013-02-22 21:34:38 +0100,Updated README,12,413
33,80ef609,FAIL,0,NO,0,NO,0,2013-02-22 22:09:46 +0100,Fixed <3.0 animations,12,421
34,e157fdc,FAIL,0,NO,0,NO,0,2013-02-22 22:11:05 +0100,"Removed NineOldAndroids library dependency, added as jar",12,421
35,35de054,FAIL,0,NO,0,NO,0,2013-02-22 22:14:42 +0100,Fixed hiding of views before animation start,12,412
36,b6cd645,FAIL,0,NO,0,NO,0,2013-02-22 22:29:48 +0100,Javadoc,12,416
37,b607d18,FAIL,0,NO,0,NO,0,2013-02-22 22:31:44 +0100,Updated README,12,416
38,ef2ad0b,FAIL,0,NO,0,NO,0,2013-02-22 22:32:58 +0100,Bump version to 1.3,12,416
39,a105f0c,FAIL,0,NO,0,NO,0,2013-02-22 22:34:10 +0100,Updated .apk to 1.3,12,416
40,3ccb467,FAIL,0,NO,0,NO,0,2013-02-22 23:10:10 +0100,Removed unused code,12,412
41,2e467d1,FAIL,0,NO,0,NO,0,2013-02-23 00:10:15 +0100,AnimationAdapter now follows Decorator pattern,13,461
42,2025c2a,FAIL,0,NO,0,NO,0,2013-02-23 00:21:18 +0100,Added SwingBottomRightInActivity,14,502
43,d3a45e7,FAIL,0,NO,0,NO,0,2013-02-23 00:43:25 +0100,Fixed delay when stacking multiple AnimationAdapters on top of eachother,14,517
44,3b3dbdb,FAIL,0,NO,0,NO,0,2013-02-23 01:03:57 +0100,Removed Context from AnimationAdapter,14,512
45,aa541c4,FAIL,0,NO,0,NO,0,2013-02-23 01:04:49 +0100,Added short example to SwingBottomRightInActivity,14,515
46,a91f98f,FAIL,0,NO,0,NO,0,2013-02-23 01:12:58 +0100,Updated README,14,515
47,b6f7ee5,FAIL,0,NO,0,NO,0,2013-02-23 01:16:55 +0100,Removed Context from AnimationAdapters,14,515
48,302a8a0,FAIL,0,NO,0,NO,0,2013-02-23 01:17:54 +0100,Bump to version 1.4,14,515
49,d25c34e,FAIL,0,NO,0,NO,0,2013-02-23 01:18:31 +0100,Update .apk to 1.4,14,515
50,ab1ff22,FAIL,0,NO,0,NO,0,2013-02-23 20:47:01 +0100,Added option to set animation duration,14,552
51,d26cc0f,FAIL,0,NO,0,NO,0,2013-02-24 13:09:04 +0100,Pass listview through to all BaseAdapterDecorators,14,560
52,ced90ae,FAIL,0,NO,0,NO,0,2013-02-24 13:09:45 +0100,Added SwipeDismissAdapter,15,734
53,abe902d,FAIL,0,NO,0,NO,0,2013-02-24 13:10:22 +0100,Add SwipeDismiss example,17,690
54,de4f7a5,FAIL,0,NO,0,NO,0,2013-02-24 13:43:37 +0100,SwipeDismissListViewTouchListener in its own file,18,693
55,e7c9a59,FAIL,0,NO,0,NO,0,2013-02-24 13:59:49 +0100,Sort Activities into packages,18,707
56,c80d974,FAIL,0,NO,0,NO,0,2013-02-24 15:12:26 +0100,Added item manipulations examples,20,734
57,eb6d5d8,FAIL,0,NO,0,NO,0,2013-02-24 15:17:30 +0100,Package rename,20,734
58,9e6a982,FAIL,0,NO,0,NO,0,2013-02-24 15:18:10 +0100,Bump version to 1.5,20,734
59,1fdcf83,FAIL,0,NO,0,NO,0,2013-02-24 15:23:56 +0100,Bump .apk to 1.5,20,734
60,b1ea6f6,FAIL,0,NO,0,NO,0,2013-02-24 15:29:24 +0100,Updated README,20,734
61,8a4d087,FAIL,0,NO,0,NO,0,2013-02-24 15:33:46 +0100,Updated README,20,734
62,455e74e,FAIL,0,NO,0,NO,0,2013-02-24 17:49:00 +0100,Fixed SwingBottimInActivity crash,20,734
63,a328acd,FAIL,0,NO,0,NO,0,2013-02-24 17:49:38 +0100,Bump version to 1.5.1,20,734
64,f10c9a8,FAIL,0,NO,0,NO,0,2013-02-24 17:50:05 +0100,Bump .apk to 1.5.1,20,734
65,3db684c,FAIL,0,NO,0,NO,0,2013-02-27 20:09:12 +0100,Not using view.setTag() anymore. Fixes #1,20,733
66,2c9a156,FAIL,0,NO,0,NO,0,2013-02-27 22:54:51 +0100,Using ViewHolder pattern,20,741
67,0c92bee,FAIL,0,NO,0,NO,0,2013-02-27 22:59:41 +0100,Reuse of images,20,740
68,54df5b2,FAIL,0,NO,0,NO,0,2013-02-27 23:19:28 +0100,Added caching of bitmaps,20,773
69,07546d2,FAIL,0,NO,0,NO,0,2013-02-27 23:39:22 +0100,Set bitmap to imageview,20,771
70,26afb6a,FAIL,0,NO,0,NO,0,2013-02-27 23:55:10 +0100,Added ScaleInAnimationAdapter,21,792
71,9ff2c71,FAIL,0,NO,0,NO,0,2013-02-27 23:55:42 +0100,Added scale to GoogleCardsActivity,21,785
72,73cc3e4,FAIL,0,NO,0,NO,0,2013-02-28 00:02:04 +0100,Added parameters to ScaleInAnimationAdapter,21,796
73,f0691ad,FAIL,0,NO,0,NO,0,2013-02-28 00:08:11 +0100,Added scale in example,22,812
74,101d796,FAIL,0,NO,0,NO,0,2013-02-28 00:09:11 +0100,Bumped version to 1.6,22,812
75,45967c0,FAIL,0,NO,0,NO,0,2013-02-28 00:10:00 +0100,Bump .apk to 1.6,22,812
76,5ff3035,FAIL,0,NO,0,NO,0,2013-02-28 00:16:12 +0100,Updated README,22,812
77,5e36a12,FAIL,0,NO,0,NO,0,2013-03-02 11:55:18 +0100,AnimationAdapters now don't hide the dividers anymore.,22,804
78,7b9fa55,FAIL,0,NO,0,NO,0,2013-03-02 11:57:25 +0100,Removed dividers in examples,22,809
79,66273ba,FAIL,0,NO,0,NO,0,2013-03-02 12:00:01 +0100,SwipeToDismiss example now works on whole row width.,22,809
80,1fd7c78,FAIL,0,NO,0,NO,0,2013-03-02 12:26:54 +0100,"Fixed height problems when using list items with different heights in combination with swipe to dismiss, thanks to Tony Owen. Fixes #2",22,809
81,1d0cbb3,FAIL,0,NO,0,NO,0,2013-03-02 12:34:52 +0100,Added swipe to dismiss to Google cards example,22,815
82,0038b59,FAIL,0,NO,0,NO,0,2013-03-02 12:37:38 +0100,Bumped to version 1.7,22,815
83,68ac7a2,FAIL,0,NO,0,NO,0,2013-03-02 12:38:28 +0100,Bump .apk to 1.7,22,815
84,9ac4a3d,FAIL,0,NO,0,NO,0,2013-03-02 12:40:14 +0100,Updated README,22,815
85,6aca9d9,FAIL,0,NO,0,NO,0,2013-03-04 10:48:35 +0100,Removed unused javadoc,22,815
