id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,d2646fee,FAIL,0,NO,0,NO,0,2014-12-04 10:46:54 +0800,Initial commit,0,0
1,913cbec3,FAIL,20,NO,0,NO,0,2014-12-04 10:52:41 +0800,迁移,366,19901
2,b3ae8890,FAIL,5,NO,0,NO,0,2014-12-04 10:53:47 +0800,修改配置,366,19901
3,658b2a87,FAIL,4,NO,0,NO,0,2014-12-04 18:47:51 +0800,"druidparser增加一个changeSql方法；有拆分字段的表的 insert语句不带columnlist的不允许，给出提示信息partition table, insert must provide ColumnList",366,19903
4,e308fab2,FAIL,5,NO,0,NO,0,2014-12-04 22:02:33 +0800,"insert must provide columnlist,insert语句必须提供字段列表",366,19903
5,da560928,FAIL,5,NO,0,NO,0,2014-12-04 22:25:29 +0800,试试有没有提交权限,366,19901
6,65d2d8c5,FAIL,5,NO,0,NO,0,2014-12-04 22:44:41 +0800,Merge branch 'master' of https://github.com/MyCATApache/Mycat-Server.git,366,19903
7,ba14db51,FAIL,5,NO,0,NO,0,2014-12-04 22:46:33 +0800,测试提交权限,366,19903
8,ff02946f,FAIL,5,NO,0,NO,0,2014-12-04 22:49:40 +0800,test commit permision,366,19903
9,a2e56c87,FAIL,5,NO,0,NO,0,2014-12-04 22:54:13 +0800,test commit,366,19903
10,1a02e471,FAIL,5,NO,0,NO,0,2014-12-04 22:57:09 +0800,Merge branch 'master' of https://github.com/MyCATApache/Mycat-Server,366,19903
11,4a9c7673,FAIL,5,NO,0,NO,0,2014-12-05 13:43:05 +0800,Merge branch 'master' of https://github.com/MyCATApache/Mycat-Server,366,19903
12,81131242,FAIL,5,NO,0,NO,0,2014-12-05 13:46:41 +0800,insert into .... on duplicateKey时partion key can't be updated,366,19903
13,ba6344f2,FAIL,5,NO,0,NO,0,2014-12-05 14:24:05 +0800,testssh,366,19903
14,29f9bf57,FAIL,5,NO,0,NO,0,2014-12-05 14:24:36 +0800,testssh,366,19903
15,2cd31b2f,FAIL,5,NO,0,NO,0,2014-12-05 14:39:37 +0800,test commit ---add comment,365,19889
16,29dc2a99,FAIL,5,NO,0,NO,0,2014-12-05 14:40:28 +0800,Merge branch 'master' of https://github.com/MyCATApache/Mycat-Server,365,19889
17,75814fc8,FAIL,5,NO,0,NO,0,2014-12-05 17:24:20 +0800,insert must provide ColumnList引发单元测试不通过,365,19889
18,829f5455,FAIL,6,NO,0,NO,0,2014-12-05 23:11:55 +0800,fixed a bug in RouteService.route,366,19903
19,c1929568,FAIL,6,NO,0,NO,0,2014-12-06 01:04:03 +0800,translated the README.md to english for markdown format,366,19903
20,5ddb8c60,FAIL,6,NO,0,NO,0,2014-12-06 10:45:51 +0800,Merge pull request #1 from thatcat/master,366,19903
21,273fc8e9,FAIL,5,NO,0,NO,0,2014-12-06 22:17:49 +0800,"add the website, document and download links to README.md and README_Chinese.md",366,19903
22,74aafa02,FAIL,6,NO,0,NO,0,2014-12-06 22:33:54 +0800,"ShardingCommentException继承了RuntimeException，此处不能抛RuntimeException类型的异常，否则，前端得到的信息为[Err] 2013 - Lost connection to MySQL server during query，而不是comment in sql must meet :/*!mcat:type=value*/: ""+stmt",365,19889
23,093f48fd,FAIL,5,NO,0,NO,0,2014-12-06 23:50:46 +0800,Merge pull request #2 from thatcat/master,365,19889
24,2bb0757c,FAIL,6,NO,0,NO,0,2014-12-07 21:41:33 +0800,优化了排序算法,367,20357
25,544c653b,FAIL,6,NO,0,NO,0,2014-12-07 23:17:11 +0800,调整测试用例的位置,367,20365
26,0ed43dc7,FAIL,5,NO,0,NO,0,2014-12-07 23:23:12 +0800,调整性能测试用例的位置,367,20358
27,c6944776,FAIL,5,NO,0,NO,0,2014-12-08 22:43:06 +0800,引入Moni大数据处理框架,367,19973
28,d2c7381b,FAIL,7,NO,0,NO,0,2014-12-08 23:07:26 +0800,添加CollectionWarpper remove,367,19974
29,0df543d3,FAIL,5,NO,0,NO,0,2014-12-09 10:40:24 +0800,修复资源释放时空指针异常,367,20358
30,973183f2,FAIL,5,NO,0,NO,0,2014-12-09 11:14:25 +0800,更新RangRowDataPacketSorter,367,19974
31,40e7c1ff,FAIL,5,NO,0,NO,0,2014-12-09 15:40:58 +0800,之前一些代码被遗漏,367,19964
32,6b8f4c89,FAIL,6,NO,0,NO,0,2014-12-09 16:07:54 +0800,人工智能解决分片的DEMO框架,374,20189
33,6eea23f0,FAIL,6,NO,0,NO,0,2014-12-09 16:25:48 +0800,时间修改为volatile防止线程看不到变化,374,20189
34,7dc29027,FAIL,5,NO,0,NO,0,2014-12-09 16:28:13 +0800,漏传了类,375,20274
35,1b0e9be8,FAIL,6,NO,0,NO,0,2014-12-09 16:41:36 +0800,修复并发写队列异常,375,20274
36,9d2d652e,FAIL,6,NO,0,NO,0,2014-12-09 17:24:20 +0800,修复多字段排序的bug,375,20274
37,9c9c35b7,FAIL,6,NO,0,NO,0,2014-12-09 17:24:20 +0800,修复多字段排序的bug,375,20274
38,79f32786,FAIL,6,NO,0,NO,0,2014-12-09 17:26:26 +0800,Merge branch 'master' of https://github.com/MyCATApache/Mycat-Server.git,375,20274
39,e8703236,FAIL,5,NO,0,NO,0,2014-12-10 14:31:50 +0800,改进测试程序，支持21亿以上数据,375,20270
