id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,39b8cbc,FAIL,0,NO,0,NO,0,2012-06-29 22:14:23 -0700,Initial commit,0,0
1,91bb63b,FAIL,0,NO,0,NO,0,2012-06-29 22:25:45 -0700,Initial push to GitHub!,10,2496
2,3c4743f,FAIL,0,NO,0,NO,0,2012-06-29 22:31:21 -0700,Update master,10,2496
3,731709a,FAIL,0,NO,0,NO,0,2012-07-01 00:10:18 -0700,First attempt at integrating the compatibility version of ActionBarSherlock into the above view.,147,19865
4,b3b33e4,FAIL,0,NO,0,NO,0,2012-07-01 00:13:10 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,147,19865
5,5adcebe,FAIL,0,NO,0,NO,0,2012-07-01 00:30:23 -0700,Added a test menu to the actionbar. Toggle on 'Up' pressed. The ActionBar background is still messed up.,147,19870
6,7ce9f11,FAIL,0,NO,0,NO,0,2012-07-01 01:16:50 -0700,Removing ActionBarCompat stuff.,143,19457
7,d5732a5,FAIL,0,NO,0,NO,0,2012-07-01 02:08:12 -0700,Reading stuff from xml to configure the SlidingMenu.,143,19472
8,91c1570,FAIL,0,NO,0,NO,0,2012-07-01 02:17:04 -0700,Fixing up everything.,143,19468
9,e6089a1,FAIL,0,NO,0,NO,0,2012-07-02 22:02:08 -0700,Update master,143,19468
10,4cc34d8,FAIL,0,NO,0,NO,0,2012-07-02 22:02:37 -0700,Update master,143,19468
11,9ab8b09,FAIL,0,NO,0,NO,0,2012-07-02 22:02:57 -0700,Update master,143,19468
12,42add76,FAIL,0,NO,0,NO,0,2012-07-02 22:05:55 -0700,Update master,143,19468
13,ff27a20,FAIL,0,NO,0,NO,0,2012-07-02 22:10:13 -0700,Update master,143,19468
14,68b8a9d,FAIL,0,NO,0,NO,0,2012-07-02 22:17:07 -0700,Update master,143,19468
15,7df7460,FAIL,0,NO,0,NO,0,2012-07-02 22:26:22 -0700,Update master,143,19468
16,372db1b,FAIL,0,NO,0,NO,0,2012-07-02 22:27:32 -0700,Update master,143,19468
17,24ba59f,FAIL,0,NO,0,NO,0,2012-07-02 22:28:04 -0700,Update master,143,19468
18,2593649,FAIL,0,NO,0,NO,0,2012-07-02 22:29:35 -0700,Update master,143,19468
19,3a8293f,FAIL,0,NO,0,NO,0,2012-07-02 22:29:53 -0700,Update master,143,19468
20,d400678,FAIL,0,NO,0,NO,0,2012-07-02 22:30:18 -0700,Update master,143,19468
21,ecc4223,FAIL,0,NO,0,NO,0,2012-07-02 22:31:06 -0700,Update master,143,19468
22,725460e,FAIL,0,NO,0,NO,0,2012-07-02 22:32:47 -0700,Update master,143,19468
23,5ffecc2,FAIL,0,NO,0,NO,0,2012-07-02 22:34:04 -0700,Update master,143,19468
24,a965956,FAIL,0,NO,0,NO,0,2012-07-02 22:36:18 -0700,Update master,143,19468
25,790f29d,FAIL,0,NO,0,NO,0,2012-07-02 22:37:49 -0700,Update master,143,19468
26,55aad43,FAIL,0,NO,0,NO,0,2012-07-02 22:41:06 -0700,Update master,143,19468
27,66f0b01,FAIL,0,NO,0,NO,0,2012-07-03 08:34:55 -0700,Moving packages around to make more sense.wq,145,19475
28,a2e4f6f,FAIL,0,NO,0,NO,0,2012-07-03 08:35:13 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,145,19475
29,4eb91dc,FAIL,0,NO,0,NO,0,2012-07-04 10:13:24 -0700,SlidingFragmentActivity works. Getting a null pointer with SlidingListActivity. Don't know what's up there...,148,19792
30,2499000,FAIL,0,NO,0,NO,0,2012-07-04 10:14:50 -0700,Updated .gitignoe. We don't want metadata. ARGH,148,19792
31,b2311b8,FAIL,0,NO,0,NO,0,2012-07-04 10:30:35 -0700,Little bug fix when inserting the xml defined viewAbove into a SlidingMenu.,148,19789
32,f8fe3f7,FAIL,0,NO,0,NO,0,2012-07-04 11:34:00 -0700,now with tabs.,148,19804
33,3c424c4,FAIL,0,NO,0,NO,0,2012-07-04 11:36:34 -0700,Updated gitignore,148,19804
34,9e66cf0,FAIL,0,NO,0,NO,0,2012-07-04 11:42:31 -0700,Actually doing something on tab selection.,148,19814
35,0f00680,FAIL,0,NO,0,NO,0,2012-07-05 10:47:40 -0700,Cleaning up behind the scenes things. More refactoring to come.,148,19801
36,5a07829,FAIL,0,NO,0,NO,0,2012-07-05 13:06:59 -0700,Update master,148,19801
37,3dc0234,FAIL,0,NO,0,NO,0,2012-07-08 22:55:00 -0700,Added fullscreen touch mode. Now you can set if the entire screen is a valid touch to slide the menu open.,148,19839
38,782bdc3,FAIL,0,NO,0,NO,0,2012-07-08 22:55:14 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,148,19839
39,941fd12,FAIL,0,NO,0,NO,0,2012-07-09 08:54:58 -0700,Now you can enable and disable the SlidingMenu,148,19842
40,eee62fe,FAIL,0,NO,0,NO,0,2012-07-09 08:58:23 -0700,Now you can enable and disable the SlidingMenu,148,19843
41,739ca38,FAIL,0,NO,0,NO,0,2012-07-09 22:13:47 -0700,Update master,148,19843
42,de94ade,FAIL,0,NO,0,NO,0,2012-07-09 22:18:58 -0700,Update master,148,19843
43,6fc993e,FAIL,0,NO,0,NO,0,2012-07-09 23:04:24 -0700,Update master,148,19843
44,03dce04,FAIL,0,NO,0,NO,0,2012-07-09 23:05:18 -0700,Forgot to push these before,148,19841
45,fd9e499,FAIL,0,NO,0,NO,0,2012-07-09 23:05:32 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,148,19841
46,1701264,FAIL,0,NO,0,NO,0,2012-07-09 23:08:08 -0700,Update master,148,19841
47,716c3b1,FAIL,0,NO,0,NO,0,2012-07-11 23:06:00 -0700,Removed the need for an Adapter. Made the behind view a subclass of the above view. That is not working 100% correctly yet.,149,19839
48,37b341f,FAIL,0,NO,0,NO,0,2012-07-12 00:28:33 -0700,Having issues with laying out the 'window' in the CustomAboveView,149,19839
49,d30de3f,FAIL,0,NO,0,NO,0,2012-07-12 00:35:48 -0700,xml defined touch modes,149,19843
50,b77a203,FAIL,0,NO,0,NO,0,2012-07-12 00:40:42 -0700,fixing naming convention,149,19844
51,6249663,FAIL,0,NO,0,NO,0,2012-07-12 01:34:40 -0700,Now working with CustomViewBehind2. Methods calls not as initially planned. Must go back and fix.,149,19846
52,274b81a,FAIL,0,NO,0,NO,0,2012-07-12 01:48:31 -0700,Finally sorted everything out with behind inheriting from above,149,19848
53,225cd69,FAIL,0,NO,0,NO,0,2012-07-12 08:41:22 -0700,Update master,148,19841
54,696edca,FAIL,0,NO,0,NO,0,2012-07-13 01:08:03 -0700,Tricking ActionBarSherlock. No longer need my custom installDecor method exposed.,150,19988
55,0201803,FAIL,0,NO,0,NO,0,2012-07-13 01:55:12 -0700,Fixing up the Activities. Preference activity not done yet.,154,19875
56,610bdee,FAIL,0,NO,0,NO,0,2012-07-13 01:56:02 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,154,19875
57,e23d39e,FAIL,0,NO,0,NO,0,2012-07-13 01:59:08 -0700,Making CustomViewBehind2 CustomViewBehind and getting rid of the original,154,19138
58,859f12a,FAIL,0,NO,0,NO,0,2012-07-13 01:59:47 -0700,Removing CustomViewBehind2,153,19095
59,897b74b,FAIL,0,NO,0,NO,0,2012-07-14 17:55:37 -0700,Working on disabling the above view when the behind view is showing. All that's left is to open the above view on a click,153,19089
60,5265549,FAIL,0,NO,0,NO,0,2012-07-14 18:12:14 -0700,Little bug fix for TOUCHMODE_FULLSCREEN,153,19089
61,7832d7f,FAIL,0,NO,0,NO,0,2012-07-15 11:28:13 -0700,Untested SlidingMapActivity,154,19131
62,0d6964d,FAIL,0,NO,0,NO,0,2012-07-15 11:52:32 -0700,Close the menu on a touch of the above view now implemented,154,19137
63,0078346,FAIL,0,NO,0,NO,0,2012-07-16 20:33:20 -0700,Remove tablet specific layout for now.,154,19137
64,76e5348,FAIL,0,NO,0,NO,0,2012-07-16 20:49:33 -0700,Removing unnecessary resources.,154,19137
65,a7029ef,FAIL,0,NO,0,NO,0,2012-07-16 20:55:45 -0700,Removing the adapter. No need for it anymore,153,19056
66,7d923ca,FAIL,0,NO,0,NO,0,2012-07-16 20:59:21 -0700,Pushing v13 android support package,153,19056
67,41c129e,FAIL,0,NO,0,NO,0,2012-07-16 21:00:00 -0700,Need this too,153,19056
68,cdcc14b,FAIL,0,NO,0,NO,0,2012-07-16 21:10:10 -0700,Fixing files for ActionBarSherlock,97,15756
69,ffe954a,FAIL,0,NO,0,NO,0,2012-07-17 07:46:14 -0700,It now makes a default list in SlidingListActivity,97,15760
70,854b01f,FAIL,0,NO,0,NO,0,2012-07-17 11:17:58 -0700,SlidingListActivity fix suggested by iNdieboyjeff,97,15761
71,41a2afa,FAIL,0,NO,0,NO,0,2012-07-17 13:07:24 -0700,Forgot import ListView,97,15762
72,982b5c0,FAIL,0,NO,0,NO,0,2012-07-17 21:23:06 -0700,Bug fixes for SlidingActivity and getting rid of setContentView methods,98,15745
73,e834577,FAIL,0,NO,0,NO,0,2012-07-17 22:17:27 -0700,Updated gitignore?,98,15745
74,3b56d06,FAIL,0,NO,0,NO,0,2012-07-17 22:20:44 -0700,Removing binary and gen files,98,15745
75,700f323,FAIL,0,NO,0,NO,0,2012-07-18 12:18:24 -0700,Make sure setBehindContentView is called in onCreate,98,15744
76,0d246de,FAIL,0,NO,0,NO,0,2012-07-18 14:51:08 -0700,PinnedHeaderListView from Android Contacts app,103,16510
77,52bcb09,FAIL,0,NO,0,NO,0,2012-07-19 16:28:32 -0700,Drop shadows. Woo.,98,15743
78,41c5996,FAIL,0,NO,0,NO,0,2012-07-20 08:41:08 -0700,Update README.md,98,15743
79,c8901a3,FAIL,0,NO,0,NO,0,2012-07-20 09:16:51 -0700,New drop shadow example,98,15756
80,7886f39,FAIL,0,NO,0,NO,0,2012-07-20 09:17:02 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,98,15756
81,60028d2,FAIL,0,NO,0,NO,0,2012-07-22 02:18:58 -0700,Moving away from ABS dependency,96,15606
82,14e5d33,FAIL,0,NO,0,NO,0,2012-07-22 02:42:16 -0700,Can now enable and disable the sliding ActionBar,96,15635
83,8088844,FAIL,0,NO,0,NO,0,2012-07-22 03:30:13 -0700,Little bug fixes. BehindView still extends too far,96,15638
84,c7945d6,FAIL,0,NO,0,NO,0,2012-07-22 12:11:54 -0700,Taking out fading for now. Too many bugs.,96,15644
85,4e67f36,FAIL,0,NO,0,NO,0,2012-07-22 12:16:37 -0700,Updating all activities.,96,15672
86,69d34f5,FAIL,0,NO,0,NO,0,2012-07-22 12:26:54 -0700,Fixing SlidingListActivity,96,15675
87,8b3e1ca,FAIL,0,NO,0,NO,0,2012-07-24 15:40:35 -0700,No longer need the patched ABS. SlidingMenu is standalone. Booyah.,15,1582
88,91f54a2,FAIL,0,NO,0,NO,0,2012-07-24 16:00:54 -0700,Build version check,15,1584
89,57872f1,FAIL,0,NO,0,NO,0,2012-07-24 16:46:37 -0700,Top margin hack for Sliding ActionBar,15,1627
90,d2d612b,FAIL,0,NO,0,NO,0,2012-07-24 18:05:40 -0700,Moving all Activities away from Sherlock,15,1621
91,bd0b518,FAIL,0,NO,0,NO,0,2012-07-24 18:21:07 -0700,rolling back a couple,15,1626
92,5cf463d,FAIL,0,NO,0,NO,0,2012-07-24 18:21:41 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,15,1621
93,1cd62ec,FAIL,0,NO,0,NO,0,2012-07-24 18:27:06 -0700,Stupid commenting out error...,15,1622
94,1853a11,FAIL,0,NO,0,NO,0,2012-07-24 18:44:57 -0700,Updated examples that don't use Sherlock.,15,1623
95,a17ec94,FAIL,0,NO,0,NO,0,2012-07-24 20:04:04 -0700,Update README.md,15,1623
96,57eb02d,FAIL,0,NO,0,NO,0,2012-07-24 20:28:39 -0700,Updated ExampleActivity2,15,1623
97,e0a3cb2,FAIL,0,NO,0,NO,0,2012-07-24 20:28:51 -0700,Merge branch 'master' of https://github.com/jfeinstein10/SlidingMenu,15,1623
98,bdda515,FAIL,0,NO,0,NO,0,2012-07-25 11:59:33 +0200,Update README.md,15,1623
99,d62e49b,FAIL,0,NO,0,NO,0,2012-07-25 07:42:42 -0700,Merge pull request #23 from chrisjenx/patch-1,15,1623
100,62ae5d4,FAIL,0,NO,0,NO,0,2012-07-25 14:52:05 -0400,Added Log DEBUG flag check in CustomViewAbove onMeasure and onLayout.,15,1623
101,72e2c9c,FAIL,0,NO,0,NO,0,2012-07-25 11:58:04 -0700,Merge pull request #24 from iPaulPro/master,15,1623
102,e44c1d3,FAIL,0,NO,0,NO,0,2012-07-25 16:47:12 -0700,No more above view with transparent background issue,15,1621
103,2d19a64,FAIL,0,NO,0,NO,0,2012-07-25 16:48:12 -0700,Merge,15,1621
104,86f9e87,FAIL,0,NO,0,NO,0,2012-07-25 16:50:00 -0700,Example changes,15,1621
105,678c9e4,FAIL,0,NO,0,NO,0,2012-07-26 00:42:56 -0700,Fixed the ABS setSlidingActionBarEnabled(false) bug on pre-ICS devices,15,1624
106,45516d7,FAIL,0,NO,0,NO,0,2012-07-26 10:25:40 -0700,Update README.md,15,1624
