id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,38ef42e,FAIL,23,NO,0,NO,0,2011-08-04 13:17:21 -0400,Initial commit.,5,382
1,b339037,FAIL,4,NO,0,NO,0,2011-08-04 13:23:16 -0400,Add warning about TitlePageIndicator's adapter requirements.,5,382
2,aac2df0,FAIL,6,NO,0,NO,0,2011-08-04 13:26:42 -0400,Fix name in read me file. Stupid nano...,5,382
3,b926614,FAIL,5,NO,0,NO,0,2011-08-04 13:29:04 -0400,Fix id reference.,5,382
4,3e67601,FAIL,7,NO,0,NO,0,2011-08-04 13:34:48 -0400,Add section about including.,5,382
5,4de8b92,FAIL,6,NO,0,NO,0,2011-08-04 15:26:35 -0400,Start adding more samples.,12,535
6,17e8d54,FAIL,6,NO,0,NO,0,2011-08-04 15:36:33 -0400,Make sure bold is pulled from the correct attribute.,12,535
7,64e95fe,FAIL,6,NO,0,NO,0,2011-08-04 15:47:42 -0400,Add themed samples.,14,563
8,cdf94c2,FAIL,6,NO,0,NO,0,2011-08-04 16:37:18 -0400,Add screens.,14,563
9,aef32c5,FAIL,7,NO,0,NO,0,2011-08-04 16:38:12 -0400,Extra '['.,14,563
10,f4c2d85,FAIL,5,NO,0,NO,0,2011-08-05 00:10:03 -0400,Add proper centering so we can eliminate the wrapper layout.,14,569
11,3938978,FAIL,6,NO,0,NO,0,2011-08-05 01:08:42 -0400,Styling overhaul. Allow styles to be specified as theme attributes.,16,595
12,c7d443d,FAIL,6,NO,0,NO,0,2011-08-05 01:16:19 -0400,Reorganize samples.,16,595
13,91ba7aa,FAIL,6,NO,0,NO,0,2011-08-05 01:21:24 -0400,Smaller default circle indicators.,16,595
14,5e8ea2a,FAIL,6,NO,0,NO,0,2011-08-05 01:36:03 -0400,Move defaults into their own resource file so they can be reference in the code and in the default style.,16,599
15,b1678ee,FAIL,6,NO,0,NO,0,2011-08-05 08:54:05 -0400,Error if ViewPager is assigned to a CirclePageIndicator without an adapter.,16,601
16,3d573a1,FAIL,6,NO,0,NO,0,2011-08-05 09:30:59 -0400,Fix orientation bug with fragment re-instantiation.,16,610
17,e056f4c,FAIL,6,NO,0,NO,0,2011-08-05 09:47:08 -0400,Add (currently non-working) state saving.,16,675
18,8f3039e,FAIL,6,NO,0,NO,0,2011-08-05 10:32:45 -0400,Fix circle indicator state saving.,16,675
19,85f44bd,FAIL,7,NO,0,NO,0,2011-08-05 10:34:24 -0400,Rename flow width to page width.,16,675
20,8cb36f5,FAIL,6,NO,0,NO,0,2011-08-05 10:57:03 -0400,Fix title indicator state saving.,16,676
21,840acb6,FAIL,6,NO,0,NO,0,2011-08-05 11:07:18 -0400,Style tweaks.,16,667
22,4f72618,FAIL,6,NO,0,NO,0,2011-08-05 11:10:27 -0400,Add snap attribute to circle indicator which will force the indicator to always exist in the current page only.,16,670
23,911a02c,FAIL,6,NO,0,NO,0,2011-08-05 11:23:13 -0400,Add getters and setters to all configurable attributes.,16,734
24,b5753b8,FAIL,6,NO,0,NO,0,2011-08-05 11:46:41 -0400,Allow specifying the current page directly on the indicator. This allows for proper configuration of a default page. Samples included.,18,781
25,a0fe8b2,FAIL,6,NO,0,NO,0,2011-08-05 12:23:59 -0400,Add snap sample.,19,796
26,f5cba35,FAIL,6,NO,0,NO,0,2011-08-05 12:37:34 -0400,Snap page needs its own index because of how the index is reported in onPageScrolled.,19,801
27,7831ca1,FAIL,6,NO,0,NO,0,2011-08-05 15:14:56 -0400,Add underline style which does not yet work.,20,860
28,c4f9b36,FAIL,7,NO,0,NO,0,2011-08-05 15:17:33 -0400,Add shorthand for binding and setting initial page.,20,869
29,d45dc8b,FAIL,6,NO,0,NO,0,2011-08-05 16:25:39 -0400,Fix underline drawing and calculation.,20,875
30,1404c90,FAIL,7,NO,0,NO,0,2011-08-05 16:55:46 -0400,Support left/right clicking on the circle view to control paging. Closes #2.,20,893
31,dd07976,FAIL,7,NO,0,NO,0,2011-08-05 17:00:15 -0400,Support left/right clicking on title views for paging. Closes #1.,20,913
32,d561e23,FAIL,6,NO,0,NO,0,2011-08-06 00:13:04 -0400,Tweak to how click-paging is handled. We now only rely on the scrolled listener for positional updates. Closes #7.,20,911
33,3c2ccad,FAIL,7,NO,0,NO,0,2011-08-06 02:27:17 -0400,Style tweaks and some minor method call caching.,20,915
34,925770a,FAIL,7,NO,0,NO,0,2011-08-06 02:36:24 -0400,Only count indicator height if it is enabled.,20,916
35,99b4f90,FAIL,6,NO,0,NO,0,2011-08-06 02:43:05 -0400,Add configurable padding between title text and indicator.,20,919
36,9cff69f,FAIL,7,NO,0,NO,0,2011-08-06 20:21:41 -0400,Tiny optimization.,20,919
37,124e9ab,FAIL,7,NO,0,NO,0,2011-08-06 20:44:33 -0400,Add getter and setter for footer indicator padding.,20,924
38,7b0f370,FAIL,7,NO,0,NO,0,2011-08-06 21:38:02 -0400,Use floats for calculation since we are dealing with different densities.,20,923
39,2ba98d5,FAIL,6,NO,0,NO,0,2011-08-07 00:14:19 -0400,FIX CLIPPING! Closes #4.,20,927
40,7f24cef,FAIL,6,NO,0,NO,0,2011-08-07 01:03:41 -0400,Add descriptions to attributes.,20,927
41,0eed3e5,FAIL,7,NO,0,NO,0,2011-08-07 01:29:19 -0400,Use internal touch event rather than being our own touch listener.,20,916
42,d690e86,FAIL,6,NO,0,NO,0,2011-08-07 01:33:05 -0400,Inherit directly from View since we did nothing with TextView.,20,915
43,0507cc0,FAIL,6,NO,0,NO,0,2011-08-07 01:38:50 -0400,Change footer indicator padding to just be footer padding.,20,915
44,9f6976a,FAIL,6,NO,0,NO,0,2011-08-07 01:45:06 -0400,Fix checkstyle errors.,20,915
45,08a759d,FAIL,6,NO,0,NO,0,2011-08-07 01:50:51 -0400,Add theming section to read me.,20,915
46,8a1558e,FAIL,7,NO,0,NO,0,2011-08-07 02:07:49 -0400,Fix bug of not setting the paint when we change the footer line height.,20,916
47,d1762f6,FAIL,7,NO,0,NO,0,2011-08-07 02:07:58 -0400,Add styled samples from methods.,22,958
48,5e675dd,FAIL,6,NO,0,NO,0,2011-08-07 02:14:17 -0400,Add circle stroke width as an option.,22,966
49,1c22170,FAIL,6,NO,0,NO,0,2011-08-07 02:17:20 -0400,Add change log.,22,966
50,965055d,FAIL,7,NO,0,NO,0,2011-08-07 02:27:09 -0400,[maven-release-plugin] prepare release 1.0.0,22,966
51,0dcd67e,FAIL,7,NO,0,NO,0,2011-08-07 02:27:37 -0400,[maven-release-plugin] prepare for next development iteration,22,966
52,0453e6b,FAIL,7,NO,0,NO,0,2011-09-07 23:01:49 -0400,Update the footer indicator paint when footer color is set programmatically. Refs #12.,22,967
53,3cd458c,FAIL,6,NO,0,NO,0,2011-09-08 00:35:18 -0400,Add support for fading the selected title text color.,22,973
54,c0fbfdd,FAIL,6,NO,0,NO,0,2011-09-15 22:38:30 -0400,Update change log and bump version to 1.0.1.,22,973
55,694eb7a,FAIL,7,NO,0,NO,0,2011-09-15 22:41:27 -0400,[maven-release-plugin] prepare release 1.0.1,22,973
56,769fdd0,FAIL,7,NO,0,NO,0,2011-09-15 22:41:30 -0400,[maven-release-plugin] prepare for next development iteration,22,973
57,2afe2ec,FAIL,6,NO,0,NO,0,2011-09-19 20:50:35 +0100,Allow padding between title and top of view to be specified for title page indicator.,22,981
58,215bad5,FAIL,7,NO,0,NO,0,2011-09-22 13:03:04 +0100,Fix for issue where extra space would be drawn below footer line.,22,981
59,75e4e0e,FAIL,6,NO,0,NO,0,2011-09-26 13:53:23 -0400,Merge branch 'master' of git://github.com/jdamcd/Android-ViewPagerIndicator into dev,22,981
60,17d03ee,FAIL,6,NO,0,NO,0,2011-09-28 20:13:01 -0400,Add orientation support to the circle indicator.,23,1050
61,0595ff2,FAIL,6,NO,0,NO,0,2011-09-28 21:48:08 -0400,Change package to just be 'view'.,23,1052
62,00cb99e,FAIL,7,NO,0,NO,0,2011-09-28 21:48:39 -0400,Update change log for vertical circles.,23,1052
63,758dc60,FAIL,6,NO,0,NO,0,2011-09-29 23:09:46 -0400,Add methods to trigger invalidation when the data set changes. Closes #11.,23,1059
64,28fcd39,FAIL,7,NO,0,NO,0,2011-09-29 23:38:44 -0400,Update change log.,23,1059
65,919f8a9,FAIL,7,NO,0,NO,0,2011-10-02 17:18:55 +0200,"Only act on onPageSelected when not scrolling or CirclePagerIndicator is set to snap to next page. This will make the PageIndicator react correctly when notifyDataSetChanged is called on the PagerAdapter, as well as stop it from reacting to onPageSelected during a scroll.",23,1060
66,22690fb,FAIL,6,NO,0,NO,0,2011-10-02 21:25:49 -0400,Update change log for SimonVT's fixes.,23,1060
67,d275b06,FAIL,7,NO,0,NO,0,2011-10-02 21:29:06 -0400,Bump version to 1.1.0.,23,1060
68,2eae6e5,FAIL,6,NO,0,NO,0,2011-10-02 21:33:36 -0400,Checkstyle fixes.,23,1060
69,95e384c,FAIL,7,NO,0,NO,0,2011-10-02 21:36:14 -0400,[maven-release-plugin] prepare release 1.1.0,23,1060
70,8700d89,FAIL,7,NO,0,NO,0,2011-10-02 21:36:18 -0400,[maven-release-plugin] prepare for next development iteration,23,1060
71,aac1411,FAIL,6,NO,0,NO,0,2011-10-04 00:48:14 -0400,Add base sample activity which allows for adding and removing pages on-the-fly as well as for selecting a random page out of the current set.,24,1096
72,cbb0598,FAIL,6,NO,0,NO,0,2011-10-04 00:56:25 -0400,Center text in test fragment.,24,1097
73,f10c85c,FAIL,7,NO,0,NO,0,2011-10-04 16:33:12 -0400,Add logo and icons.,24,1097
74,a5fd9cc,FAIL,7,NO,0,NO,0,2011-10-04 16:34:30 -0400,Move package out of 'sample' to prepare for market deployment.,24,1097
75,3309c53,FAIL,6,NO,0,NO,0,2011-10-04 16:43:22 -0400,Link to app on Android Market.,24,1097
76,b6c391a,FAIL,6,NO,0,NO,0,2011-10-04 20:11:20 -0400,Change package and maven descriptor to use `com.viewpagerindicator`.,24,1095
77,6c191c3,FAIL,6,NO,0,NO,0,2011-10-04 20:12:26 -0400,Update readme to new package and artifact.,24,1095
78,38b2c31,FAIL,7,NO,0,NO,0,2011-10-04 20:59:13 -0400,Move layouts to new package and update vertical view pager.,24,1095
79,597706f,FAIL,7,NO,0,NO,0,2011-10-04 22:04:26 -0400,Bump version to 1.2.0.,24,1095
80,9c43477,FAIL,6,NO,0,NO,0,2011-10-04 22:06:57 -0400,[maven-release-plugin] prepare release 1.2.0,24,1095
81,dca8e5d,FAIL,7,NO,0,NO,0,2011-10-04 22:07:11 -0400,[maven-release-plugin] prepare for next development iteration,24,1095
82,98664f4,FAIL,7,NO,0,NO,0,2011-10-04 22:42:03 -0400,Package naming fail.,24,1111
83,344f14a,FAIL,6,NO,0,NO,0,2011-10-04 23:06:08 -0400,Merge branch 'master' into dev,24,1111
