id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,24efaff3,FAIL,0,NO,0,NO,0,2010-04-19 13:50:19 -0700,Initial commit of YCSB.,31,1832
1,963c331b,FAIL,0,NO,0,NO,0,2010-04-20 09:24:47 -0700,Added github links to README.,31,1832
2,e0384afc,FAIL,0,NO,0,NO,0,2010-04-20 10:11:25 -0700,Added another page link to README,31,1832
3,8b7ce011,FAIL,0,NO,0,NO,0,2010-04-20 10:47:27 -0700,Added lib directory for database jars,31,1832
4,7a6fb348,FAIL,0,NO,0,NO,0,2010-04-20 12:04:59 -0700,Made separate build target for cassandra db,31,1832
5,f586b48c,FAIL,0,NO,0,NO,0,2010-04-20 12:10:13 -0700,Added ycsb.jar to dbcompile classpath,31,1832
6,3355a6f8,FAIL,0,NO,0,NO,0,2010-04-20 13:00:07 -0700,Separated Cassandra and HBase lib dirs into their own directory,31,1832
7,8659cc2f,FAIL,0,NO,0,NO,0,2010-04-20 14:11:37 -0700,SliceRange changed in 0.6 - fixed CassandraClient.java,32,2038
8,c98594d3,FAIL,0,NO,0,NO,0,2010-04-20 14:23:33 -0700,Import org.apache.cassandra.thrift.*; (packaged changed in cas 0.6),32,2039
9,06e4fede,FAIL,0,NO,0,NO,0,2010-04-20 14:30:57 -0700,"Fixing SlicePredicate, ColumnPath and ColumnParent constructors for 0.6 interface",32,2043
10,53a47556,FAIL,0,NO,0,NO,0,2010-04-20 15:39:56 -0700,Reran javadoc and fixed some doc bugs,32,2043
11,6e426ca7,FAIL,0,NO,0,NO,0,2010-04-23 10:26:08 -0700,Fixing documentation and javadoc.,27,1835
12,70c480ec,FAIL,0,NO,0,NO,0,2010-04-23 10:41:38 -0700,Adding documentation.,27,1835
13,4d4a9918,FAIL,0,NO,0,NO,0,2010-04-23 11:05:39 -0700,Added reference to Gray paper.,27,1835
14,537c0226,FAIL,0,NO,0,NO,0,2010-04-25 09:37:26 -0700,Fix initial sleep for client thread. closes #4,27,1835
15,ab55f7aa,FAIL,0,NO,0,NO,0,2010-04-25 11:15:14 -0700,Added HBase cleanup code fix.  closes #3,27,1840
16,8a3ac3de,FAIL,0,NO,0,NO,0,2010-04-25 11:41:58 -0700,Remove call to stringPropertyNames() to make compilable under Java 1.5. closes #5,27,1837
17,fa173a26,FAIL,0,NO,0,NO,0,2010-04-25 11:43:18 -0700,Merge branch 'master' of github.com:brianfrankcooper/YCSB,27,1842
18,3c69a053,FAIL,0,NO,0,NO,0,2010-04-25 11:55:51 -0700,Version history in README,27,1842
19,dccfa38c,FAIL,0,NO,0,NO,0,2010-04-25 13:47:57 -0700,Improve CPU usage of random string generation,27,1845
20,b7af8951,FAIL,0,NO,0,NO,0,2010-04-25 13:48:11 -0700,Avoid needless conversion to/from Bytes in HBase benchmark,27,1847
21,ed39c110,FAIL,0,NO,0,NO,0,2010-04-26 04:47:57 +0800,Improve CPU usage of random string generation,27,1845
22,e62af2cf,FAIL,0,NO,0,NO,0,2010-04-26 04:48:11 +0800,Avoid needless conversion to/from Bytes in HBase benchmark,27,1847
23,2fd7a056,FAIL,0,NO,0,NO,0,2010-05-03 12:52:18 +0200,Moved db specific code and configs into new IDE friendly directory structure,27,1847
24,dca7bdd7,FAIL,0,NO,0,NO,0,2010-05-03 17:15:43 +0200,Added support for Cassandra 0.7,28,2064
25,f588645b,FAIL,0,NO,0,NO,0,2010-05-03 17:17:39 +0200,Created generator and measurements packages,28,2077
26,9ddb8a5d,FAIL,0,NO,0,NO,0,2010-05-03 18:52:18 +0800,Moved db specific code and configs into new IDE friendly directory structure,27,1847
27,2a43fae2,FAIL,0,NO,0,NO,0,2010-05-04 15:31:31 -0700,Added lib dirs to db/cassandra-0.5 and 0.6,27,1847
28,5680787b,FAIL,0,NO,0,NO,0,2010-05-04 15:37:51 -0700,Merge branch 'master' of github.com:brianfrankcooper/YCSB into test,27,1847
29,33d28e4f,FAIL,0,NO,0,NO,0,2010-05-04 15:40:27 -0700,Merge git://github.com/johanoskarsson/YCSB into test,28,2077
30,e3d41ff1,FAIL,0,NO,0,NO,0,2010-05-04 15:42:24 -0700,Added lib dir in cassandra-0.7,28,2077
31,4881171a,FAIL,0,NO,0,NO,0,2010-05-06 13:57:03 -0700,Added better documentation for DB return codes.,28,2077
32,b71723cf,FAIL,0,NO,0,NO,0,2010-05-11 16:03:23 -0700,"Simple command line client to read/write from a database using a DB implementation. Useful for testing DB layers, and inspecting values in the database.",29,2281
33,a0cb6822,FAIL,0,NO,0,NO,0,2010-05-11 16:06:52 -0700,Better help text for command line client,29,2284
34,405987f5,FAIL,0,NO,0,NO,0,2010-05-12 12:13:21 -0700,MongoDB client submitted by Yen Pai,30,2419
35,02066600,FAIL,0,NO,0,NO,0,2010-05-12 14:51:56 -0700,Updated documentation for MongoDB binding and others. closes #8,30,2419
36,78583745,FAIL,0,NO,0,NO,0,2010-05-12 14:58:30 -0700,Release 0.1.2,30,2419
37,72f8fea1,FAIL,0,NO,0,NO,0,2010-05-20 10:49:32 -0700,Bracket requests with db.requestStart() and db.requestDone(). closes #9,30,2429
38,a7bbbc9b,FAIL,0,NO,0,NO,0,2010-05-20 10:50:35 -0700,Merge branch 'master' of github.com:brianfrankcooper/YCSB,30,2429
39,72348958,FAIL,0,NO,0,NO,0,2010-05-22 16:12:07 +0200,Updated to latest Cassandra trunk,28,2106
40,f56ec1a8,FAIL,0,NO,0,NO,0,2010-05-22 16:31:53 +0200,Added an interface for exporting the measurements and a JSON implementation. It can write to both stdout and to a file,31,2198
41,ee88bbf7,FAIL,0,NO,0,NO,0,2010-05-22 16:32:36 +0200,Merge branch 'master' of http://github.com/brianfrankcooper/YCSB,33,2550
