error,count
FileDoesNotExistException(message:File /tmp/Tachyon7908813114868509405UnitTest/ramdisk/users/1/20401094656 does not exist.),1
,2896
Missing scheme,37
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon1865739928840287331UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon1865739928840287331UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon3960385257528228363UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon3960385257528228363UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon19000955398173990UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon19000955398173990UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon3502439566456388000UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon3502439566456388000UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon5049567134874067849UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon5049567134874067849UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon5495497724233078947UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon5495497724233078947UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon3839316374465680877UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon3839316374465680877UnitTest/underfs/tachyon/data/2),1
The file /root/testFile_0_MUST_CACHE is not complete.,45
The file /root/testFile_33_MUST_CACHE is not complete.,11
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon3740315620361401179UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon3740315620361401179UnitTest/underfs/tachyon/data/2),1
java.net.BindException: Address already in use,2
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon2756827029534965639UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon2756827029534965639UnitTest/underfs/tachyon/data/2),1
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon3356609138343259002UnitTest/underfs/tachyon/workers/1624579000001/1/2 to /tmp/Tachyon3356609138343259002UnitTest/underfs/tachyon/data/2),1
The file /testFile is not complete.,10
FailedToCheckpointException(message:Failed to rename /tmp/Tachyon1988996031529664310UnitTest/underfs/tachyon/workers/1624579000001/1/3 to /tmp/Tachyon1988996031529664310UnitTest/underfs/tachyon/data/3),1
