id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,86d1ed3,FAIL,0,NO,0,NO,0,2014-11-27 14:10:50 +0800,reimport,27,1551
1,646be49,FAIL,0,NO,0,NO,0,2014-11-27 14:11:04 +0800,reimport,27,1551
2,61ba447,FAIL,0,NO,0,NO,0,2014-11-27 23:49:36 +0800,update for adding array list,30,1727
3,2b46e45,FAIL,0,NO,0,NO,0,2014-11-28 14:47:06 +0800,"archive autofresh, fix #4",31,1736
4,f4169ae,FAIL,0,NO,0,NO,0,2014-11-28 15:15:27 +0800,update for commit,30,1700
5,97805ca,FAIL,0,NO,0,NO,0,2014-11-29 11:13:04 +0800,make auto refresh more beautiful,29,1726
6,6b70da4,FAIL,0,NO,0,NO,0,2014-11-29 17:16:58 +0800,commit for adding chinese string,29,1786
7,c44be74,FAIL,0,NO,0,NO,0,2014-11-29 20:45:06 +0800,change setPtrUIHandler to addPtrUIHandler,30,1903
8,e3eac3f,FAIL,0,NO,0,NO,0,2014-11-30 11:10:02 +0800,update demo,29,1952
9,f4e8b11,FAIL,0,NO,0,NO,0,2014-11-30 11:25:32 +0800,update demo,29,1960
10,5cb936e,FAIL,0,NO,0,NO,0,2014-11-30 11:42:35 +0800,enhance last update time,29,1983
11,ccbd83f,FAIL,0,NO,0,NO,0,2014-11-30 14:35:59 +0800,update for snapshot,29,1983
12,91cbafc,FAIL,0,NO,0,NO,0,2014-11-30 15:09:53 +0800,update readme,29,1983
13,3daa689,FAIL,0,NO,0,NO,0,2014-11-30 15:19:02 +0800,update readme,29,1983
14,73bb357,FAIL,0,NO,0,NO,0,2014-11-30 15:22:24 +0800,update readme,29,1983
15,db6367d,FAIL,0,NO,0,NO,0,2014-11-30 15:24:52 +0800,update readme,29,1983
16,dfb0b14,FAIL,0,NO,0,NO,0,2014-11-30 15:31:03 +0800,Update README.md,29,1983
17,43c7648,FAIL,0,NO,0,NO,0,2014-11-30 15:34:00 +0800,update readme,29,1983
18,8173612,FAIL,0,NO,0,NO,0,2014-11-30 15:35:35 +0800,update readme,29,1983
19,4faf923,FAIL,0,NO,0,NO,0,2014-11-30 15:39:29 +0800,update readme,29,1983
20,b282d26,FAIL,0,NO,0,NO,0,2014-11-30 15:44:42 +0800,update readme,29,1983
21,e90899d,FAIL,0,NO,0,NO,0,2014-11-30 15:50:16 +0800,update readme,29,1983
22,6d71f50,FAIL,0,NO,0,NO,0,2014-11-30 15:51:56 +0800,update readme,29,1983
23,2bce078,FAIL,0,NO,0,NO,0,2014-11-30 15:52:31 +0800,update readme,29,1983
24,723b20f,FAIL,0,NO,0,NO,0,2014-11-30 15:58:50 +0800,update readme,29,1983
25,b55524d,FAIL,0,NO,0,NO,0,2014-11-30 15:59:48 +0800,update readme,29,1983
26,7120a7c,FAIL,0,NO,0,NO,0,2014-11-30 16:04:20 +0800,update readme,29,1983
27,a32a502,FAIL,0,NO,0,NO,0,2014-11-30 16:17:48 +0800,update readme,29,1983
28,c2d841d,FAIL,0,NO,0,NO,0,2014-11-30 16:19:43 +0800,update readme,29,1983
29,5a60247,FAIL,0,NO,0,NO,0,2014-11-30 16:52:42 +0800,update for add apk,29,1983
