id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,01ec141,FAIL,0,NO,0,NO,0,2012-06-19 15:52:21 +0800,包含下拉刷新listView、可以响应各个方向CompoundDrawables点击操作的TextView、图片缓存,0,0
1,53622b7,FAIL,0,NO,0,NO,0,2012-06-19 16:15:52 +0800,修改gitignore,0,0
2,645344d,FAIL,0,NO,0,NO,0,2012-06-19 16:18:19 +0800,修改gitignore,0,0
3,3db7269,FAIL,0,NO,0,NO,0,2012-06-20 11:26:14 +0800,1、ImageCache增加另外的接口loadDrawable，无需设置默认资源id,0,0
4,2bcc3b6,FAIL,0,NO,0,NO,0,2012-07-11 23:11:51 +0800,2.0,0,0
5,22e2b60,FAIL,0,NO,0,NO,0,2012-07-16 11:28:56 +0800,2.1版本,0,0
6,c0474fd,FAIL,0,NO,0,NO,0,2012-10-29 17:49:07 +0800,增加线程池,0,0
7,8b00180,FAIL,0,NO,0,NO,0,2012-10-29 17:54:47 +0800,增加线程池,0,0
8,7fae4d4,FAIL,0,NO,0,NO,0,2013-06-25 21:45:31 +0800,"1 Android common libs include ImageCache, ImageSDCardCache, PreloadDataCache, DropDownListView, SlideOnePageGallery, DownloadManagerPro, PackageUtils(installSilent), ShellUtils and other common utils 2 Uniform code Specification, Comments changed to English",44,2672
9,349deb9,FAIL,0,NO,0,NO,0,2013-06-25 21:50:46 +0800,"1 Android common libs include ImageCache, ImageSDCardCache, PreloadDataCache, DropDownListView, SlideOnePageGallery, DownloadManagerPro, PackageUtils(installSilent), ShellUtils and other common utils 2 Uniform code Specification, Comments changed to English",44,2672
10,af1929b,FAIL,0,NO,0,NO,0,2013-06-25 21:52:05 +0800,detele gen folder,44,2672
11,d97c184,FAIL,0,NO,0,NO,0,2013-07-11 19:58:33 +0800,Create README.md,44,2672
12,a7afd39,FAIL,0,NO,0,NO,0,2013-07-11 20:22:30 +0800,Update README.md,44,2672
13,da485c7,FAIL,0,NO,0,NO,0,2013-07-11 20:33:24 +0800,Update README.md,44,2672
14,9f9b3ee,FAIL,0,NO,0,NO,0,2013-07-11 20:35:57 +0800,Update README.md,44,2672
15,5c398e8,FAIL,0,NO,0,NO,0,2013-07-11 20:37:02 +0800,Update README.md,44,2672
16,d5e7cd7,FAIL,0,NO,0,NO,0,2013-07-11 20:38:00 +0800,Update README.md,44,2672
17,7742c56,FAIL,0,NO,0,NO,0,2013-07-11 20:43:31 +0800,Update README.md,44,2672
18,1546265,FAIL,0,NO,0,NO,0,2013-07-11 20:50:31 +0800,Update README.md,44,2672
19,798ed32,FAIL,0,NO,0,NO,0,2013-07-11 20:54:55 +0800,Update README.md,44,2672
20,3509405,FAIL,0,NO,0,NO,0,2013-07-11 20:57:47 +0800,Update README.md,44,2672
21,235ce8d,FAIL,0,NO,0,NO,0,2013-07-11 20:58:30 +0800,Update README.md,44,2672
22,d15880f,FAIL,0,NO,0,NO,0,2013-07-11 20:59:17 +0800,Update README.md,44,2672
23,26cac56,FAIL,0,NO,0,NO,0,2013-07-11 21:00:14 +0800,Update README.md,44,2672
24,307ecf2,FAIL,0,NO,0,NO,0,2013-07-11 21:01:09 +0800,Update README.md,44,2672
25,fb092d5,FAIL,0,NO,0,NO,0,2013-07-11 21:07:44 +0800,Update README.md,44,2672
26,9cee736,FAIL,0,NO,0,NO,0,2013-07-11 21:08:34 +0800,Update README.md,44,2672
27,cbe2678,FAIL,0,NO,0,NO,0,2013-07-11 21:09:36 +0800,Update README.md,44,2672
28,671e415,FAIL,0,NO,0,NO,0,2013-07-11 21:10:31 +0800,Update README.md,44,2672
29,59fd831,FAIL,0,NO,0,NO,0,2013-07-11 21:11:41 +0800,Update README.md,44,2672
30,74f1fbf,FAIL,0,NO,0,NO,0,2013-07-11 21:13:14 +0800,Update README.md,44,2672
31,4eae81f,FAIL,0,NO,0,NO,0,2013-07-11 21:14:10 +0800,Update README.md,44,2672
32,11a5b21,FAIL,0,NO,0,NO,0,2013-07-11 21:15:19 +0800,Update README.md,44,2672
33,c415ded,FAIL,0,NO,0,NO,0,2013-07-11 21:16:45 +0800,Update README.md,44,2672
34,f7c5ee6,FAIL,0,NO,0,NO,0,2013-07-11 21:17:30 +0800,Update README.md,44,2672
35,2a08d5e,FAIL,0,NO,0,NO,0,2013-07-15 22:09:41 +0800,Update README.md,44,2672
36,9bc984a,FAIL,0,NO,0,NO,0,2013-07-15 22:11:28 +0800,Update README.md,44,2672
37,3249a88,FAIL,0,NO,0,NO,0,2013-07-15 22:12:21 +0800,Update README.md,44,2672
38,060b181,FAIL,0,NO,0,NO,0,2013-07-18 21:57:53 +0800,Update README.md,44,2672
39,dfbcb3d,FAIL,0,NO,0,NO,0,2013-08-01 18:58:15 +0800,1 modify onBottom mutli called bug DropDownListView 2 modify FileNameRuleCurrentTime bug 3 PackageUtils installSilent add more result,44,2711
