id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b93a96c,FAIL,0,NO,0,NO,0,2012-11-06 16:04:22 -0800,Initial empty repository,0,0
1,d56b88a,FAIL,0,NO,0,NO,0,2012-11-07 07:48:57 -0800,Initial commit of volley (from frameworks/support),55,2599
2,6772bce,FAIL,0,NO,0,NO,0,2012-11-07 07:51:33 -0800,Initial commit of volley (from frameworks/support),57,2598
3,e48f443,FAIL,0,NO,0,NO,0,2012-11-07 07:54:36 -0800,Initial commit of volley (from frameworks/support),61,2957
4,c0d371c,FAIL,0,NO,0,NO,0,2012-11-16 15:58:05 -0800,Pass exception to android.util.Log,61,2959
5,0acc793,FAIL,0,NO,0,NO,0,2012-11-06 13:58:19 -0800,Add a convenience method for creating RequestQueue,62,2989
6,4395067,FAIL,0,NO,0,NO,0,2012-12-04 09:57:30 -0800,Fix a bad cherry-pick,62,2989
7,cd8ce54,FAIL,0,NO,0,NO,0,2012-12-18 09:21:13 -0800,Treat NO_CONTENT (204) responses as successful,62,2989
8,2afdd91,FAIL,0,NO,0,NO,0,2012-12-20 08:48:00 -0800,"Merge ""Treat NO_CONTENT (204) responses as successful""",62,2989
9,bece583,FAIL,0,NO,0,NO,0,2013-02-06 17:01:25 -0800,Add in additional http request types,62,3113
10,81d65fe,FAIL,0,NO,0,NO,0,2013-02-12 04:51:15 +0000,"Merge ""Add in additional http request types""",62,3113
11,9e5c44f,FAIL,0,NO,0,NO,0,2013-02-13 01:02:14 +0000,"Revert ""Add in additional http request types""",62,2989
12,b761f3d,FAIL,0,NO,0,NO,0,2013-02-13 03:57:29 +0000,"Merge ""Revert ""Add in additional http request types""""",62,2989
13,fc88bb5,FAIL,0,NO,0,NO,0,2013-03-25 19:09:56 -0400,Ensure that the cache folder exists,62,2992
14,33e2590,FAIL,0,NO,0,NO,0,2013-03-26 18:21:10 +0000,"Merge ""Ensure that the cache folder exists""",62,2992
15,445ed34,FAIL,0,NO,0,NO,0,2013-03-27 17:47:19 -0700,Move directory creation off the main thread.,62,2993
16,3f081a8,FAIL,0,NO,0,NO,0,2013-03-31 19:35:17 -0700,Fix a bug in POSTs & support SslSocketFactories.,62,3000
17,3050b38,FAIL,0,NO,0,NO,0,2013-04-01 08:03:04 +0000,"Merge ""Fix a bug in POSTs & support SslSocketFactories.""",62,3000
18,ebae4c6,FAIL,0,NO,0,NO,0,2013-04-03 17:02:49 +0000,"Merge ""Move directory creation off the main thread.""",62,3001
19,cc3a934,FAIL,0,NO,0,NO,0,2013-04-25 15:19:22 -0700,Add TrafficStats integration,62,3014
20,148d4b7,FAIL,0,NO,0,NO,0,2013-04-30 18:54:20 +0000,"Merge ""Add TrafficStats integration""",62,3014
21,2ff9993,FAIL,0,NO,0,NO,0,2013-04-30 12:07:29 -0700,Allow callers to set value of notifyAuthFailure,62,3019
22,d5b43f1,FAIL,0,NO,0,NO,0,2013-04-30 15:17:43 -0700,Add an Ant build rule,62,3014
23,f98ecec,FAIL,0,NO,0,NO,0,2013-04-30 22:24:29 +0000,"Merge ""Add an Ant build rule""",62,3014
24,ab6ea08,FAIL,0,NO,0,NO,0,2013-05-10 11:42:47 -0700,Intern CacheHeader keys and values to avoid string duplication,62,3014
25,9dd5c4c,FAIL,0,NO,0,NO,0,2013-05-10 18:54:51 +0000,"Merge ""Intern CacheHeader keys and values to avoid string duplication""",62,3014
26,d62a616,FAIL,0,NO,0,NO,0,2013-05-08 00:26:10 -0700,Add ImageLoader and NetworkImageView convenience classes,64,3238
27,e7f0abd,FAIL,0,NO,0,NO,0,2013-05-14 16:23:26 +0000,"Merge ""Add ImageLoader and NetworkImageView convenience classes""",64,3238
28,da70314,FAIL,0,NO,0,NO,0,2013-05-14 22:39:27 -0700,Don't trample on the user-supplied tag,64,3233
29,c6b2aaa,FAIL,0,NO,0,NO,0,2013-05-15 15:15:37 +0000,"Merge ""Don't trample on the user-supplied tag""",64,3233
30,b25a6e0,FAIL,0,NO,0,NO,0,2013-05-20 14:16:09 -0700,Don't requestLayout in layout pass in NIV,64,3251
31,05a1b0e,FAIL,0,NO,0,NO,0,2013-05-20 18:01:38 -0700,Allow override point for connection creation.,64,3235
32,b49c119,FAIL,0,NO,0,NO,0,2013-05-21 01:35:12 +0000,"Merge ""Allow override point for connection creation.""",64,3235
33,7e953ab,FAIL,0,NO,0,NO,0,2013-05-21 13:37:41 +0800,add readme,64,3235
34,f5bea0d,FAIL,0,NO,0,NO,0,2013-05-21 19:17:57 -0700,Allow custom HttpStack in Volley.newRequestQueue.,64,3237
35,cf14c3b,FAIL,0,NO,0,NO,0,2013-05-22 03:36:06 +0000,"Merge ""Don't requestLayout in layout pass in NIV""",64,3253
36,4af455a,FAIL,0,NO,0,NO,0,2013-05-22 03:36:27 +0000,"Merge ""Allow custom HttpStack in Volley.newRequestQueue.""",64,3255
37,285d472,FAIL,0,NO,0,NO,0,2013-05-22 19:28:14 +0200,adding isCached function to ImageLoader,64,3259
38,96c8f2f,FAIL,0,NO,0,NO,0,2013-05-29 19:57:05 +0000,"Merge ""adding isCached function to ImageLoader""",64,3259
39,c3dea92,FAIL,0,NO,0,NO,0,2013-05-31 04:29:37 +0000,"Merge ""Allow callers to set value of notifyAuthFailure""",64,3264
40,e3a996f,FAIL,0,NO,0,NO,0,2013-06-04 23:42:52 +0800,Merge https://android.googlesource.com/platform/frameworks/volley into merge,64,3264
41,aa6a5e6,FAIL,0,NO,0,NO,0,2013-06-09 13:30:04 -0700,Fix WRAP_CONTENT//WRAP_CONTENT case in NIV.,64,3267
42,dc53552,FAIL,0,NO,0,NO,0,2013-05-23 17:40:08 -0400,Fixed bug caused by batching responses in the ImageLoader,64,3260
43,d843f88,FAIL,0,NO,0,NO,0,2013-06-10 17:01:29 +0000,"Merge ""Fixed bug caused by batching responses in the ImageLoader""",64,3269
44,1f09db9,FAIL,0,NO,0,NO,0,2013-06-10 17:03:23 +0000,"Merge ""Fix WRAP_CONTENT//WRAP_CONTENT case in NIV.""",64,3272
45,7971fc8,FAIL,0,NO,0,NO,0,2013-06-13 12:07:53 +0800,Merge https://android.googlesource.com/platform/frameworks/volley,64,3272
46,04ce73f,FAIL,0,NO,0,NO,0,2013-06-13 12:08:50 +0800,Merge branch 'master' of github.com:mcxiaoke/android-volley,64,3272
47,8c93bfe,FAIL,0,NO,0,NO,0,2013-06-16 23:19:08 +0800,Merge branch 'master' of https://android.googlesource.com/platform/frameworks/volley,64,3272
48,856902d,FAIL,0,NO,0,NO,0,2013-06-16 23:19:43 +0800,Merge branch 'master' of github.com:mcxiaoke/android-volley,64,3272
49,a96ffe0,FAIL,0,NO,0,NO,0,2013-06-14 14:51:42 -0700,Gradle project file.,64,3272
50,5264037,FAIL,0,NO,0,NO,0,2013-06-21 09:43:54 -0700,Fix target package name so tests run.,64,3264
51,d2cf32b,FAIL,0,NO,0,NO,0,2013-06-21 17:43:07 +0000,"Merge ""Fix target package name so tests run.""",64,3272
52,e5a3447,FAIL,0,NO,0,NO,0,2013-06-21 09:44:19 -0700,Add a test for DiskBasedCache.,65,3300
53,6a5f7b8,FAIL,0,NO,0,NO,0,2013-06-21 20:25:28 +0000,"Merge ""Add a test for DiskBasedCache.""",65,3300
54,b33d0d6,FAIL,0,NO,0,NO,0,2013-06-21 10:31:12 -0700,Port CacheHeader away from ObjectOutputStream.,65,3401
55,671e1ad,FAIL,0,NO,0,NO,0,2013-06-22 00:51:19 +0000,"Merge ""Port CacheHeader away from ObjectOutputStream.""",65,3401
56,a82a468,FAIL,0,NO,0,NO,0,2013-06-24 17:30:30 +0800,Merge branch 'master' of https://android.googlesource.com/platform/frameworks/volley,65,3401
57,35569b8,FAIL,0,NO,0,NO,0,2013-06-24 17:56:38 +0800,Merge branch 'master' of github.com:mcxiaoke/android-volley,65,3401
58,69456cb,FAIL,0,NO,0,NO,0,2013-06-24 14:42:07 -0700,Merge remote-tracking branch 'origin/jb-mr2-zeroday-release' into HEAD,64,3272
59,6bf51db,FAIL,0,NO,0,NO,0,2013-06-24 14:55:08 -0700,merge in jb-mr2-zeroday-release history after reset to jb-mr2-dev,65,3401
60,b9b8a32,FAIL,0,NO,0,NO,0,2013-05-30 19:28:48 -0700,Allow per-app VolleyLog tags,64,3263
61,e3280b4,FAIL,0,NO,0,NO,0,2013-06-24 21:18:46 -0700,Allow method chaining on setters,65,3412
62,8f96366,FAIL,0,NO,0,NO,0,2013-06-25 13:02:56 -0700,"build.gradle - added tests config, cosmetic changes.",65,3401
63,24d794d,FAIL,0,NO,0,NO,0,2013-06-25 16:13:22 -0700,Reconcile with jb-mr2-zeroday-release - do not merge,65,3401
64,b6620bd,FAIL,0,NO,0,NO,0,2013-06-25 23:27:03 +0000,"Merge ""Allow per-app VolleyLog tags""",65,3405
65,bf8eb0c,FAIL,0,NO,0,NO,0,2013-06-25 16:30:52 -0700,"am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
66,686cecf,FAIL,0,NO,0,NO,0,2013-06-25 17:02:30 -0700,am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3401
67,b4448a3,FAIL,0,NO,0,NO,0,2013-06-25 17:02:32 -0700,"am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
68,d35e546,FAIL,0,NO,0,NO,0,2013-06-25 17:10:19 -0700,am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3401
69,2b1e41c,FAIL,0,NO,0,NO,0,2013-06-25 17:10:20 -0700,"am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
70,f746ab4,FAIL,0,NO,0,NO,0,2013-06-25 17:12:45 -0700,am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
71,209d19b,FAIL,0,NO,0,NO,0,2013-06-25 17:12:45 -0700,"am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
72,cc6ed2d,FAIL,0,NO,0,NO,0,2013-06-25 18:29:14 -0700,am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
73,2f5d857,FAIL,0,NO,0,NO,0,2013-06-25 18:29:15 -0700,"am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
74,1dc5762,FAIL,0,NO,0,NO,0,2013-06-25 18:45:55 -0700,am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
75,5fe0d0a,FAIL,0,NO,0,NO,0,2013-06-25 18:45:55 -0700,"am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
76,9952d6f,FAIL,0,NO,0,NO,0,2013-06-25 18:49:40 -0700,am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
77,7800d23,FAIL,0,NO,0,NO,0,2013-06-25 18:49:40 -0700,"am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
78,60dd919,FAIL,0,NO,0,NO,0,2013-06-25 18:51:27 -0700,am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
79,8343e35,FAIL,0,NO,0,NO,0,2013-06-25 18:51:27 -0700,"am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
80,9d11808,FAIL,0,NO,0,NO,0,2013-06-25 19:01:33 -0700,am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
81,cdb41f2,FAIL,0,NO,0,NO,0,2013-06-25 19:01:34 -0700,"am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
82,9be7a04,FAIL,0,NO,0,NO,0,2013-06-25 19:06:28 -0700,am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
83,452fa78,FAIL,0,NO,0,NO,0,2013-06-25 19:06:28 -0700,"am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
84,68bbea1,FAIL,0,NO,0,NO,0,2013-06-25 19:08:30 -0700,am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
85,fe0a099,FAIL,0,NO,0,NO,0,2013-06-25 19:08:30 -0700,"am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
86,9b48b8b,FAIL,0,NO,0,NO,0,2013-06-25 19:17:12 -0700,am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-release - do not merge,65,3405
87,2c07ac1,FAIL,0,NO,0,NO,0,2013-06-25 19:17:12 -0700,"am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
88,2492827,FAIL,0,NO,0,NO,0,2013-06-25 19:21:03 -0700,am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-mr2-zeroday-re,65,3405
89,967df38,FAIL,0,NO,0,NO,0,2013-06-25 19:21:03 -0700,"am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
90,f8c58e9,FAIL,0,NO,0,NO,0,2013-06-25 19:22:08 -0700,am 2492827c: am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconcile with jb-m,65,3405
91,36969b4,FAIL,0,NO,0,NO,0,2013-06-25 19:22:09 -0700,"am 967df383: am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
92,4bac935,FAIL,0,NO,0,NO,0,2013-06-25 19:32:47 -0700,am f8c58e96: am 2492827c: am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s ours) Reconc,65,3405
93,7f22852,FAIL,0,NO,0,NO,0,2013-06-25 19:32:47 -0700,"am 36969b45: am 967df383: am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
94,0947f9c,FAIL,0,NO,0,NO,0,2013-06-25 19:36:56 -0700,am 4bac935d: am f8c58e96: am 2492827c: am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am 24d794dd: (-s,65,3405
95,6e5dd4e,FAIL,0,NO,0,NO,0,2013-06-25 19:36:57 -0700,"am 7f228520: am 36969b45: am 967df383: am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
96,ac3a264,FAIL,0,NO,0,NO,0,2013-06-25 19:38:13 -0700,am 0947f9c0: am 4bac935d: am f8c58e96: am 2492827c: am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1: (-s ours) am,65,3405
97,f0a198b,FAIL,0,NO,0,NO,0,2013-06-25 19:38:13 -0700,"am 6e5dd4eb: am 7f228520: am 36969b45: am 967df383: am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tags""",65,3405
98,f4831f7,FAIL,0,NO,0,NO,0,2013-06-25 19:48:26 -0700,am ac3a264d: am 0947f9c0: am 4bac935d: am f8c58e96: am 2492827c: am 9b48b8b0: am 68bbea19: (-s ours) am 9be7a04c: (-s ours) am 9d118085: am 60dd9197: (-s ours) am 9952d6f3: (-s ours) am 1dc5762f: am cc6ed2db: (-s ours) am f746ab44: (-s ours) am d35e5467: am 686cecf1:,65,3405
99,095cad6,FAIL,0,NO,0,NO,0,2013-06-25 19:48:26 -0700,"am f0a198b5: am 6e5dd4eb: am 7f228520: am 36969b45: am 967df383: am 2c07ac15: am fe0a0998: am 452fa782: am cdb41f29: am 8343e353: am 7800d232: am 5fe0d0a9: am 2f5d857c: am 209d19b8: am 2b1e41c6: am b4448a3d: am bf8eb0c7: am b6620bd0: Merge ""Allow per-app VolleyLog tag",65,3405
