id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,56e6bce,FAIL,0,NO,0,NO,0,2012-09-04 22:56:25 -0700,Initial commit,0,0
1,463001e,FAIL,0,NO,0,NO,0,2012-09-05 13:57:25 +0800,Update .gitignore,0,0
2,87a2418,FAIL,0,NO,0,NO,0,2012-09-05 14:18:57 +0800,第一次提交一个完整的项目,10,187
3,f75fb8d,FAIL,0,NO,0,NO,0,2012-09-05 14:28:07 +0800,add readme.md and update test,10,187
4,54cefd9,FAIL,0,NO,0,NO,0,2012-09-05 14:58:38 +0800,数字合并的一个bug.修正更新了调用实例,10,187
5,e365b19,FAIL,0,NO,0,NO,0,2012-09-05 22:32:09 +0800,修正了词典的位置.让程序更容易导入jar包.增加了一个简易的调用接口,10,187
6,ab5854a,FAIL,0,NO,0,NO,0,2012-09-05 22:36:33 +0800,修改了说明文档,10,187
7,2cc5a79,FAIL,0,NO,0,NO,0,2012-09-05 23:10:48 +0800,删除修改.没有做大调整,10,187
8,d027fd4,FAIL,0,NO,0,NO,0,2012-09-05 23:27:28 +0800,删除了一些注释代码.,10,187
9,5219790,FAIL,0,NO,0,NO,0,2012-09-05 23:28:25 +0800,delete,9,187
10,5823938,FAIL,0,NO,0,NO,0,2012-09-06 21:08:33 +0800,增加了词性标注功能,9,187
11,32c7d64,FAIL,0,NO,0,NO,0,2012-09-06 21:09:54 +0800,删除了一些不用到的类,9,187
12,70243cd,FAIL,0,NO,0,NO,0,2012-09-06 21:24:09 +0800,修正了readme.吧用户自定义词典和词性增加进去了,9,187
13,b590928,FAIL,0,NO,0,NO,0,2012-09-07 14:59:08 +0800,在test中增加了几个测试用例.,9,189
14,19fe91e,FAIL,0,NO,0,NO,0,2012-09-07 15:30:49 +0800,修改说明,9,189
15,baf7632,FAIL,0,NO,0,NO,0,2012-09-09 10:49:37 +0800,更具用户的反馈.修正了一些歧义句.增加了依赖jar包.,9,189
16,4ab1ed8,FAIL,0,NO,0,NO,0,2012-09-09 10:51:07 +0800,增加git依赖jar包,9,189
17,d6f82d3,FAIL,0,NO,0,NO,0,2012-09-12 23:34:18 +0800,对人名识别做了很大的改动.效果依旧一般.不满意.但是比以前应该好一些了,9,192
18,460b3bf,FAIL,0,NO,0,NO,0,2012-09-13 14:13:18 +0800,修正了人名识别的效果,9,192
19,90285ee,FAIL,0,NO,0,NO,0,2012-09-13 14:47:54 +0800,更新了tree-split中间的一个对象读写方法,9,192
20,8c69473,FAIL,0,NO,0,NO,0,2012-09-13 21:05:48 +0800,训练数据,9,192
21,f89909a,FAIL,0,NO,0,NO,0,2012-09-14 11:04:49 +0800,修正了人名识别.效果比较 满意了,10,204
22,2a3895d,FAIL,0,NO,0,NO,0,2012-09-14 13:08:08 +0800,修正了一点点,10,204
23,6a9cff7,FAIL,0,NO,0,NO,0,2012-09-14 16:59:22 +0800,针对检索做了一个分词.根据网友要求放了一个License.txt说是放了就不中毒...要么他们不敢用...,10,204
24,3c17f6b,FAIL,0,NO,0,NO,0,2012-09-16 23:18:39 +0800,整理了一下文件.改变了一些调用方式.说白了就是重构.,9,199
25,30da281,FAIL,0,NO,0,NO,0,2012-09-16 23:25:52 +0800,删除一些无用的被替代的文件.就是重构,2,35
26,b476a8b,FAIL,0,NO,0,NO,0,2012-09-18 13:33:53 +0800,重写了数字识别.修正了一些bug让程序更快一定,2,35
27,dbf0098,FAIL,0,NO,0,NO,0,2012-09-18 13:43:32 +0800,数字识别修正,2,35
28,57c0b31,FAIL,0,NO,0,NO,0,2012-09-18 20:25:44 +0800,提供了提前预处理功能.使之速度有小幅度提示.cpu占用率更低了,3,64
29,fed14eb,FAIL,0,NO,0,NO,0,2012-09-19 09:55:11 +0800,优化了核心词典的内容.速度大幅度提成.在macair上测试.1024m内存达到200万字美妙,3,64
30,f6aae04,FAIL,0,NO,0,NO,0,2012-09-19 16:12:04 +0800,修正了一些词频概率.增加了新词发现功能.,3,74
31,5be8168,FAIL,0,NO,0,NO,0,2012-09-20 11:21:01 +0800,没有意义的一次提交.,3,91
32,c62ac6a,FAIL,0,NO,0,NO,0,2012-09-25 23:09:29 +0800,修正了人名识别.罕见字的识别.增加了jar包在contrib目录中.,3,91
33,c80ece4,FAIL,0,NO,0,NO,0,2012-09-25 23:12:12 +0800,删除没用的或者移位的文件,3,91
