error,count
"Index: 0, Size: 0",9611
,53747
65535,18
65,4
79,4
90,4
75,4
15,6
18,2
21,2
For input string: &quot;AABG&quot;,1
test timed out after 20000 milliseconds,2
Could not locate python3.4,1256
Could not locate python2.7,52408
Could not locate python3.5,51152
Could not locate cpp,2482
Could not locate g++,51418
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd464b/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd461e/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4686/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4636/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4691/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd46b1/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4659/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4667/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd462f/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd466f/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd4677/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd46a7/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd469c/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a49fd457a/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b67/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b29/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009bb1/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b58/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009bbd/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009bd6/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b79/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b82/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
"Cannot run program &quot;go&quot; (in directory &quot;/tmp/antlr-goruntime-tmpgopath-17a4a009b4f/src/github.com/pboyer/antlr4/runtime/Go/antlr&quot;): error=2, No such file or directory",1
