id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,2b848215,FAIL,0,NO,0,NO,0,2010-01-27 16:28:26 -0800,adding gunit for v4,8,3189
1,c9c01f2e,FAIL,0,NO,0,NO,0,2010-01-27 17:05:29 -0800,gunit v4 works enough to do ANTLR.gunit for AST testing,8,3251
2,7f63527c,FAIL,0,NO,0,NO,0,2010-01-27 17:20:51 -0800,adding initial antlr v4 files,17,15577
3,f49b99ec,FAIL,0,NO,0,NO,0,2010-01-27 17:27:35 -0800,keep in repo so people can build,17,15577
4,493177c0,FAIL,0,NO,0,NO,0,2010-01-27 18:12:44 -0800,add new stuff,26,15836
5,f04dab7b,FAIL,0,NO,0,NO,0,2010-01-30 14:30:02 -0800,got error message stuff in better shape. started semantics pipeline,27,15983
6,4673f7ae,FAIL,0,NO,0,NO,0,2010-01-30 15:49:03 -0800,added todo,27,15983
7,c9d6efc7,FAIL,0,NO,0,NO,0,2010-01-30 15:49:58 -0800,move to v4,27,15983
8,08d8a0db,FAIL,0,NO,0,NO,0,2010-01-31 13:08:09 -0800,got error handling  with v4 ST working; no error loops etc...,28,16048
9,b49707ce,FAIL,0,NO,0,NO,0,2010-01-31 14:05:07 -0800,errors show file/line now; got a few semantic checks in,29,16496
10,e248e8db,FAIL,0,NO,0,NO,0,2010-01-31 14:27:35 -0800,started new structure for semantics; XXXTriggers and XXXChecks,30,16507
11,d81ae747,FAIL,0,NO,0,NO,0,2010-01-31 17:02:41 -0800,refactored. checking for illegal token ref,33,16500
12,9b47afdf,FAIL,0,NO,0,NO,0,2010-01-31 18:00:34 -0800,checking for illegal args on token ref,33,16536
13,004f15bf,FAIL,0,NO,0,NO,0,2010-02-01 14:31:14 -0800,checking for illegal tokens everywhere,35,16739
14,c7b6dff6,FAIL,0,NO,0,NO,0,2010-02-01 17:41:32 -0800,increased specificity of tree node types.  Got options stored into AST properly.  Added <...> token options for hetero trees.  Using ID to allow more syntax in some cases instead of TOKEN_REF.,38,16852
15,8991dfea,FAIL,0,NO,0,NO,0,2010-02-01 18:52:25 -0800,check count of rules and prequels.,38,17025
16,bfa9e934,FAIL,0,NO,0,NO,0,2010-02-02 14:42:54 -0800,checking for REWRITE_FOR_MULTI_ELEMENT_ALT,38,17169
17,0ca7573e,FAIL,0,NO,0,NO,0,2010-02-02 14:43:34 -0800,update comment,38,17169
18,f7807ade,FAIL,0,NO,0,NO,0,2010-02-02 17:45:40 -0800,got more ast op checks in,38,17281
19,b004c36b,FAIL,0,NO,0,NO,0,2010-02-02 18:27:30 -0800,got tree filter mode option check in. reorg'd GRAMMAR node in tree.,38,17263
20,f3fb19b9,FAIL,0,NO,0,NO,0,2010-02-03 11:10:34 -0800,got wildcard as root error detected; tweaked how we call DOT/WILDCARD,38,17434
21,b50c813c,FAIL,0,NO,0,NO,0,2010-02-03 12:54:49 -0800,got invalid import error done,38,17565
22,6829fc9e,FAIL,0,NO,0,NO,0,2010-02-03 13:09:12 -0800,check for tokenVocab in import done,38,17575
23,81bcfe56,FAIL,0,NO,0,NO,0,2010-02-03 16:25:19 -0800,got basic test harness for grammar errors,39,17643
24,9b0d27b1,FAIL,0,NO,0,NO,0,2010-02-03 16:30:37 -0800,more unit tests,39,17671
25,ffd60dc2,FAIL,0,NO,0,NO,0,2010-02-04 18:01:47 -0800,add def sym; fix errors so they ignore right of ->,40,18022
26,6f7e52ec,FAIL,0,NO,0,NO,0,2010-02-05 14:21:02 -0800,got some symbols collected; renamed.,40,17790
27,6d4a521e,FAIL,0,NO,0,NO,0,2010-02-05 14:21:25 -0800,forgot to add,41,18300
28,09eb3b57,FAIL,0,NO,0,NO,0,2010-02-06 14:58:26 -0800,"split AST for combined grammar into two, copying to lexer grammar.",41,18360
29,1ba84877,FAIL,0,NO,0,NO,0,2010-02-06 16:29:05 -0800,added rule and action redef; options copied to lexer now too.,42,18479
30,2cf2898a,FAIL,0,NO,0,NO,0,2010-02-06 16:40:12 -0800,added rule arg checks and undefined rule,42,18497
31,ad5bf33e,FAIL,0,NO,0,NO,0,2010-02-07 12:44:49 -0800,"finished SCOPE_REDEFINITION (new), TOKEN_ALIAS_REASSIGNMENT",42,18529
32,8d0d3e1c,FAIL,0,NO,0,NO,0,2010-02-07 14:09:22 -0800,"add tests for symbols; check LABEL_CONFLICTS_WITH_RULE, LABEL_CONFLICTS_WITH_TOKEN, SYMBOL_CONFLICTS_WITH_GLOBAL_SCOPE (label v scope, token v scope, rule v scope)",43,18703
33,795df39a,FAIL,0,NO,0,NO,0,2010-02-07 15:22:46 -0800,finished LABEL_TYPE_CONFLICT,46,18861
34,974c9556,FAIL,0,NO,0,NO,0,2010-02-07 16:56:15 -0800,start tracking tokens after -> in rewrite; added test,46,18905
35,1cea2456,FAIL,0,NO,0,NO,0,2010-02-08 18:00:37 -0800,did REWRITE_ELEMENT_NOT_PRESENT_ON_LHS,47,18990
36,6f2a5f3c,FAIL,0,NO,0,NO,0,2010-02-09 18:21:56 -0800,got initial scope parser copied from v3,50,19163
37,56a09403,FAIL,0,NO,0,NO,0,2010-02-10 10:42:57 -0800,added unit tests for scope parser,52,19397
38,25be3b01,FAIL,0,NO,0,NO,0,2010-02-10 11:40:22 -0800,handled scope/arg errors; added tests,53,19489
39,cf04cf14,FAIL,0,NO,0,NO,0,2010-02-10 11:44:54 -0800,fix error nums,53,19489
40,edde1ae8,FAIL,0,NO,0,NO,0,2010-02-10 12:05:33 -0800,REWRITE_OR_OP_WITH_NO_OUTPUT_OPTION,53,19535
41,f94ef660,FAIL,0,NO,0,NO,0,2010-02-10 16:01:20 -0800,add action splitter,55,20744
42,b5101914,FAIL,0,NO,0,NO,0,2010-02-10 17:21:13 -0800,got basic semantic checker for attributes written,55,20919
43,e825a774,FAIL,0,NO,0,NO,0,2010-02-11 11:17:29 -0800,made listener for action splitter,56,21047
44,b3f7c8e3,FAIL,0,NO,0,NO,0,2010-02-11 13:57:38 -0800,got more symbol resolution in,57,21249
45,17285124,FAIL,0,NO,0,NO,0,2010-02-12 15:41:56 -0800,refactoring resolving; alts know about rules and those know about grammars.,59,21306
46,66f17982,FAIL,0,NO,0,NO,0,2010-02-12 16:13:04 -0800,rename,59,21306
