id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,70e99380,FAIL,0,NO,0,NO,0,2012-10-23 12:08:07 -0700,Initial commit,0,0
1,9d415999,FAIL,33,NO,0,NO,0,2012-10-24 03:39:51 -0400,Initial commit of OSS Druid Code,537,32515
2,f09f595c,FAIL,4,NO,0,NO,0,2012-10-24 04:51:32 -0400,Fix up the demos a bit,537,32515
3,27999cac,FAIL,3,NO,0,NO,0,2012-10-24 05:09:43 -0400,1) Create LICENSE 2) Attach copyright and notice of license to files,537,32515
4,631c3bf3,FAIL,4,NO,0,NO,0,2012-10-24 12:08:47 -0400,Remove gradle files,537,32515
5,6a9d86e1,FAIL,4,NO,0,NO,0,2012-10-24 11:46:32 -0500,Removed unused import in IndexMerger that was causing build.sh to fail with Java 1.7.0_04-b21 on OS X 10.7.4.,537,32514
6,ae44e3ec,FAIL,4,NO,0,NO,0,2012-10-24 11:54:05 -0500,Removed hardcoded jar version in examples/rand/run_server.sh which was preventing it from running.  Also updated examples/rand/run_client.sh and examples/twitter/run_client.sh help messages to remove  the unneeded &.,537,32514
7,9575326c,FAIL,3,NO,0,NO,0,2012-10-24 11:54:24 -0500,Added twitter and rand example output files to .gitignore.,537,32514
8,6c819c1b,FAIL,4,NO,0,NO,0,2012-10-24 12:40:22 -0700,Stop java process when run_server.sh is killed,537,32515
9,71edede8,FAIL,4,NO,0,NO,0,2012-10-24 14:34:24 -0700,cleaned up build.sh to remove spurious errors.,537,32515
10,c8f549f7,FAIL,3,NO,0,NO,0,2012-10-24 14:57:17 -0700,Merge pull request #1 from mcroydon/master,537,32514
11,3e09713e,FAIL,3,NO,0,NO,0,2012-10-24 14:57:44 -0700,Merge pull request #3 from mashion/shutdown-server,537,32514
12,e5066397,FAIL,4,NO,0,NO,0,2012-10-24 14:58:43 -0700,Merge pull request #4 from tralfamadude/master,537,32514
13,3763a0b7,FAIL,3,NO,0,NO,0,2012-10-24 15:47:55 -0700,Use correct key in query.body for twitter example,537,32514
14,10b94259,FAIL,4,NO,0,NO,0,2012-10-24 17:06:39 -0700,Merge pull request #5 from mashion/fix-twitter-example,537,32514
15,2d69a833,FAIL,3,NO,0,NO,0,2012-10-24 21:07:53 -0300,Update examples/twitter/query.body,537,32514
16,a3eb4f32,FAIL,4,NO,0,NO,0,2012-10-24 17:30:04 -0700,Add search query example,537,32514
17,bcdfece8,FAIL,3,NO,0,NO,0,2012-10-26 10:20:56 -0700,Allow group_by or search queries in run_client.sh,537,32514
18,2c341144,FAIL,3,NO,0,NO,0,2012-10-26 10:46:30 -0700,Allow blank mysql passwords,537,32518
19,aea00737,FAIL,3,NO,0,NO,0,2012-10-29 09:07:04 -0700,Merge pull request #7 from mashion/fix-zk-setup,537,32518
20,afb347f7,FAIL,4,NO,0,NO,0,2012-10-29 09:08:34 -0700,Merge pull request #6 from mashion/search-examples,537,32518
21,a34c5a10,FAIL,3,NO,0,NO,0,2012-10-29 14:34:17 -0700,add buffered version of JavaScriptAggregator,538,32585
22,8a49c156,FAIL,3,NO,0,NO,0,2012-10-29 16:04:13 -0700,Merge pull request #13 from metamx/jsbufferfix,538,32585
23,f062e136,FAIL,4,NO,0,NO,0,2012-10-30 10:59:07 -0500,1) Fix bug with sharded realtime data ingestion,538,32578
24,d7f85cfb,FAIL,3,NO,0,NO,0,2012-10-30 12:08:30 -0500,1) Fix configuration property naming issue.,538,32578
25,bd8d5bdd,FAIL,4,NO,0,NO,0,2012-10-30 22:21:55 -0700,Ignored all Eclipse .settings folders.,538,32578
26,0d24df76,FAIL,3,NO,0,NO,0,2012-10-30 22:22:46 -0700,Removed unused imports.,538,32511
27,35f04b4d,FAIL,3,NO,0,NO,0,2012-10-30 23:26:21 -0700,Fixed some minor potential resource leaks.,538,32521
28,c5e2a881,FAIL,4,NO,0,NO,0,2012-10-30 23:59:31 -0700,Resolved dead code warning by null checking the correct variable according to the associated log statement.,538,32521
29,e2494831,FAIL,3,NO,0,NO,0,2012-10-31 00:00:30 -0700,Removed some dead/unused code.,538,32502
30,d0f66c1f,FAIL,4,NO,0,NO,0,2012-10-31 10:28:24 -0700,bug fix for merging with empty strings,539,32626
31,fe9cb397,FAIL,3,NO,0,NO,0,2012-10-31 10:29:03 -0700,remove unncessarily created file,538,32593
32,e8f02219,FAIL,4,NO,0,NO,0,2012-10-31 12:58:16 -0700,"Streamlined the Maven POMs, in particular the plugin configurations.  The 'mvn versions:display-plugin-updates' report is now warning free, and there are no more Maven warnings reported in Eclipse.",538,32502
33,11c64593,FAIL,3,NO,0,NO,0,2012-10-31 14:35:09 -0700,improvements to the indexing service and auto scaling,546,33009
34,9547ea49,FAIL,4,NO,0,NO,0,2012-10-31 14:45:44 -0700,fix bug with provision,546,33001
35,e7ec073d,FAIL,8,NO,0,NO,0,2012-10-31 16:10:07 -0700,Cleaned Maven dependency configuration.  In particular the 'mvn dependency:analyze' report no longer warns of used but undeclared dependencies.,538,32502
36,83a51a80,FAIL,3,NO,0,NO,0,2012-10-31 16:43:47 -0700,cleanup redirects and reannounce workers on connection loss,546,32997
37,49289788,FAIL,3,NO,0,NO,0,2012-11-01 16:14:17 -0700,Merge pull request #17 from ianbrandt/codecleanup,538,32502
38,8dd6f5c0,FAIL,4,NO,0,NO,0,2012-11-01 18:20:38 -0500,"1) Refactor the BrokerMain into a BrokerMain and a BrokerNode to allow for extensions 2) Rename ServerMain to ComputeMain 3) Refactor ComputeMain to ComputeMain and ComputeNode to allow for extensions 4) Remove ""TheSizeAdjuster"", was old legacy stuff that's not relevant anymore 5) Fix bug with registering different IndexIO handlers 6) Adjust it so that when a query type is unknown, it returns an error message instead of just emitting an alert and returning nothing 7) Create super classes for the various *Node classes that allow for code sharing on pieces that are common",540,32705
39,f07b15db,FAIL,3,NO,0,NO,0,2012-11-01 18:38:26 -0500,Undo massive import re-ordering,540,32772
40,09cc2e33,FAIL,4,NO,0,NO,0,2012-11-01 16:39:28 -0700,Merge branch 'master' into moarunittests,548,33125
41,69b929fa,FAIL,3,NO,0,NO,0,2012-11-01 16:41:13 -0700,Merge branch 'master' into moarunittests,548,33191
42,63b2f502,FAIL,3,NO,0,NO,0,2012-11-02 11:35:23 -0500,1) Make TimelineEntry in VersionedIntervalTimeline a static class with its own generic parameters to hopefully make OpenJDK happier.,540,32779
43,7921be79,FAIL,3,NO,0,NO,0,2012-11-02 14:17:50 -0500,1) Bump up the maven version pre-requisite to 3.0.3,540,32779
44,38ed1d8b,FAIL,3,NO,0,NO,0,2012-11-02 14:24:09 -0500,1) Revert failed attempt at making OpenJDK6 happy.,540,32772
45,88a3fb84,FAIL,4,NO,0,NO,0,2012-11-02 14:24:43 -0500,1) New attempt at making OpenJDK 6 happy,540,32772
46,abab3519,FAIL,3,NO,0,NO,0,2012-11-02 15:56:18 -0700,general cleanup and improvments for auto scaling,547,33004
47,b1b61173,FAIL,3,NO,0,NO,0,2012-11-02 15:57:16 -0700,Merge branch 'master' into autoscaling,549,33198
48,a5c3eab2,FAIL,3,NO,0,NO,0,2012-11-02 15:59:55 -0700,fix merge break,549,33198
49,e9dadcae,FAIL,3,NO,0,NO,0,2012-11-02 16:59:49 -0700,more sensical logic around when to terminate worker nodes,549,33203
50,b4e3f98f,FAIL,3,NO,0,NO,0,2012-11-05 11:18:11 -0800,bug fixes for retries without sufficient capacity,549,33197
51,6b247f15,FAIL,3,NO,0,NO,0,2012-11-05 11:19:55 -0800,cleanup redundant code,549,33196
52,49926338,FAIL,4,NO,0,NO,0,2012-11-05 11:38:03 -0800,timeseries for druid + unit tests,561,35238
53,51cd361f,FAIL,4,NO,0,NO,0,2012-11-05 13:39:16 -0800,some changes to how handlers are registered,549,33202
