id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,295cb4e2,SUCCESS,19,SUCCESS,7,FAIL,31,2010-02-16 16:34:29 -0500,Initial drop of the library,41,2945
1,24c725f4,SUCCESS,9,SUCCESS,8,FAIL,26,2010-02-16 18:01:25 -0500,"Add README, LICENSE",41,2945
2,fcf519ce,SUCCESS,9,SUCCESS,9,FAIL,26,2010-02-16 18:03:04 -0500,"Add LICENCE/README, get rid of IDEA file",41,2945
3,9b2c3fa5,SUCCESS,10,SUCCESS,8,FAIL,27,2010-02-16 18:27:31 -0500,Fix spelling typos,41,2945
4,df70e037,SUCCESS,10,SUCCESS,8,FAIL,27,2010-02-16 18:58:25 -0500,"Improve javadocs, prevent null headers",41,2940
5,b0ced519,SUCCESS,10,SUCCESS,9,FAIL,27,2010-02-16 21:14:00 -0500,Bundle the result as a single jar,41,2940
6,81ac2f88,SUCCESS,17,SUCCESS,9,FAIL,28,2010-02-17 15:24:36 -0800,"Added scm info, source & javadoc generation",41,2940
7,3a5734e1,SUCCESS,10,SUCCESS,9,FAIL,27,2010-02-17 16:36:18 -0800,General cleanup: got rid of all compiler warnings; removed some unused code; tweaked some javadoc,41,2905
8,1e5f650b,SUCCESS,9,SUCCESS,9,FAIL,28,2010-02-17 20:36:55 -0500,Refactor:,31,2571
9,31e901c2,SUCCESS,10,SUCCESS,9,FAIL,28,2010-02-23 09:02:38 -0800,Changed public request API to follow builder pattern,33,2491
10,93cb819f,SUCCESS,10,SUCCESS,9,FAIL,28,2010-02-23 15:26:44 -0500,"Add AsyncHttpClientConfig concept, with Builder",31,2611
11,4999b8dd,SUCCESS,9,SUCCESS,10,FAIL,27,2010-02-23 15:29:35 -0500,Merge branch 'master' of github.com:ning/async-http-client,33,2531
12,7744b9d8,SUCCESS,8,SUCCESS,9,FAIL,28,2010-02-23 15:44:17 -0500,"Rename handle to execute to align with Thom changes, fix javadoc typo based on previous API",33,2530
13,3ec7cb60,SUCCESS,10,SUCCESS,9,FAIL,27,2010-02-23 16:01:45 -0500,Add Sonatype repository information,33,2530
14,be6bfb71,SUCCESS,10,SUCCESS,9,FAIL,28,2010-02-23 16:34:16 -0500,Update based on Thom refactoring,33,2530
15,1803e725,SUCCESS,9,SUCCESS,9,FAIL,29,2010-02-24 13:25:07 -0500,Fix wrong name,33,2530
16,6f7d8946,SUCCESS,9,SUCCESS,10,FAIL,38,2010-02-24 13:43:57 -0500,"Add missing license, fix an issue with non chunked response, add a buntch a unit test using real site.",34,2608
17,f0c91fcd,SUCCESS,9,SUCCESS,9,FAIL,38,2010-02-24 13:52:20 -0500,Add Martin as the author of this class,34,2608
18,da2ee081,SUCCESS,9,SUCCESS,9,FAIL,38,2010-02-24 14:03:29 -0500,"Oups, invalid char",34,2608
19,21a2366a,SUCCESS,9,SUCCESS,9,FAIL,64,2010-02-24 15:22:05 -0500,Fix typo when it is time to cancel unmanaged Future. Add a Unit test,34,2615
20,629d6636,SUCCESS,11,SUCCESS,9,FAIL,58,2010-02-24 15:59:17 -0500,+ Remove sync Handler that where used by the synchronous version of this library. + Fix Future.isDone() returning false instead of true + Fix IndexOutOfBoundsException with NettyAsyncResponse#getResponseBodyExcerpt(String maxlen) + Add support for getResponseBody() which read the entire response and return a String,32,2630
21,dfb94313,SUCCESS,9,SUCCESS,10,FAIL,57,2010-02-24 17:30:01 -0500,Sonaty repo is now working,32,2630
22,512b9042,SUCCESS,9,SUCCESS,9,FAIL,58,2010-02-26 10:24:58 -0500,Add missing break. Patch provided by Hubert Uwaniuk,32,2630
23,0b990c8e,SUCCESS,9,SUCCESS,9,FAIL,57,2010-02-26 11:00:37 -0500,Fix AsyncStreamingHandler and not chunked response,32,2671
24,51c6b46d,SUCCESS,9,SUCCESS,8,FAIL,58,2010-03-01 09:17:15 -0700,add .gitignore form neotyks fork,32,2671
25,2cf9d24e,SUCCESS,8,SUCCESS,9,FAIL,58,2010-03-01 15:46:02 -0500,Add support for 301 redirect,32,2707
26,72a84052,SUCCESS,8,SUCCESS,9,FAIL,59,2010-03-01 15:46:16 -0500,Merge branch 'master' of github.com:ning/async-http-client,32,2707
27,71fc2f03,SUCCESS,9,SUCCESS,8,FAIL,57,2010-03-01 16:12:06 -0500,Ajust the test to the new 301 support,32,2707
28,8f96dddb,SUCCESS,9,SUCCESS,8,FAIL,57,2010-03-01 18:15:06 -0500,"Add connections pool support and HTTP 1.1 connection handling (was there, got wrongly removed in one of the refactoring)",32,2776
29,198ac903,SUCCESS,9,SUCCESS,8,FAIL,58,2010-03-01 18:22:06 -0500,Use Netty intern for cleaning the connection pool,32,2777
30,a49526ac,SUCCESS,8,SUCCESS,8,FAIL,57,2010-03-01 18:49:23 -0500,Add support for maxConnections from AsyncHttpClientConfig,32,2807
31,d9491238,SUCCESS,9,SUCCESS,8,FAIL,58,2010-03-01 18:53:07 -0500,Catch null scheme as noted by Hubert Iwaniuk,32,2816
32,286c9340,SUCCESS,8,SUCCESS,9,FAIL,84,2010-03-03 14:55:50 -0500,Redesign the API so downcast no longer needed. Improve AsyncHandler API. Collaborative work with Brian McCalister,33,2813
33,77d13ab3,SUCCESS,8,SUCCESS,8,FAIL,83,2010-03-03 15:00:03 -0500,Javadoc,33,2813
34,e8ddcd51,SUCCESS,8,SUCCESS,8,FAIL,83,2010-03-03 15:07:54 -0500,Fix typo,33,2813
35,2cc5adea,SUCCESS,8,SUCCESS,8,FAIL,82,2010-03-03 15:18:12 -0500,Rename to getBodyPartBytes,33,2813
36,fdc5962a,SUCCESS,8,SUCCESS,7,FAIL,82,2010-03-04 12:43:22 -0500,Javadocs improvements,33,2817
37,dee80a1d,SUCCESS,7,SUCCESS,9,FAIL,82,2010-03-04 13:06:52 -0500,"More Javadocs, add hook for trailling headers",33,2820
38,f9b394c7,SUCCESS,8,SUCCESS,8,FAIL,81,2010-03-04 13:39:19 -0500,"Add trailling headers callback invocation, fix javadocs warning",33,2821
39,52b3efd8,SUCCESS,7,SUCCESS,7,FAIL,81,2010-03-04 14:51:32 -0500,Update based on Thom s feedback,33,2821
40,8d684e88,SUCCESS,8,SUCCESS,7,FAIL,82,2010-03-04 14:55:40 -0500,Fic cariage return,33,2821
41,8f9f16ff,SUCCESS,8,SUCCESS,8,FAIL,82,2010-03-04 15:17:28 -0500,Improve README,33,2821
42,9d98f299,SUCCESS,8,SUCCESS,7,FAIL,81,2010-03-04 15:35:53 -0500,Small wording ajustment,33,2821
43,e84d8040,SUCCESS,8,SUCCESS,7,FAIL,82,2010-03-04 16:06:25 -0500,Remove left over dependency from prev library,33,2821
44,f5cd0337,SUCCESS,6,SUCCESS,8,FAIL,80,2010-03-04 16:15:04 -0500,Another left over from previous library,33,2821
45,a5a6f3c7,SUCCESS,8,SUCCESS,6,FAIL,81,2010-03-04 16:54:47 -0500,Remove commons-io dependency,33,2828
46,f41db9a4,SUCCESS,7,SUCCESS,7,FAIL,80,2010-03-04 17:00:35 -0500,Remove unnessary calls,33,2826
47,8cca15b3,SUCCESS,7,SUCCESS,7,FAIL,81,2010-03-04 17:40:18 -0500,"Go back to use enum instead of exception, as discussed with Brian",33,2813
48,e8e0dbff,SUCCESS,6,SUCCESS,7,FAIL,81,2010-03-05 10:05:58 -0500,Add support for GET + Query String. We need to improve the Request API to add query String programmatically. Patch provided by Matthias Wessendorf at apache dot org,33,2841
49,35f16eaa,SUCCESS,9,SUCCESS,7,FAIL,82,2010-03-05 10:20:43 -0500,Bump to Netty 3.2.0.BETA1,33,2841
50,ce62f39b,SUCCESS,6,SUCCESS,6,FAIL,82,2010-03-05 15:42:47 -0500,Make sure we return the exact number of bytes read when we create the String response,33,2841
51,bb43ac40,FAIL,7,NO,0,NO,0,2010-03-05 16:43:24 -0500,Add a AsyncHandler base class,33,2835
52,264cd9d6,SUCCESS,6,SUCCESS,7,FAIL,81,2010-03-05 16:44:40 -0500,Add the class,34,2847
53,7eaf1c6e,SUCCESS,8,SUCCESS,6,FAIL,81,2010-03-05 13:29:12 -0700,initial fancy client work,38,2931
54,096058e8,SUCCESS,7,SUCCESS,7,FAIL,81,2010-03-05 13:39:01 -0700,make failure clearer,38,2929
55,17683b1c,SUCCESS,6,SUCCESS,7,FAIL,80,2010-03-05 14:43:55 -0700,working on making fancier,40,3027
56,61b83e2d,SUCCESS,6,SUCCESS,7,FAIL,80,2010-03-05 14:54:07 -0700,debugging too much abstraction,40,3030
57,d7dd3418,SUCCESS,7,SUCCESS,6,FAIL,82,2010-03-05 15:27:03 -0700,basic type mapping is sort of there,40,3035
58,1411da6d,SUCCESS,7,SUCCESS,7,FAIL,81,2010-03-05 15:31:24 -0700,minor cleanup,40,3033
59,ee6dbbef,SUCCESS,8,SUCCESS,8,FAIL,82,2010-03-05 18:27:40 -0500,Remove dependencies on http-client by refactoring their implementation into a small subset. We now have that subset inside our tree.,44,3278
60,8f2a67d4,SUCCESS,8,SUCCESS,7,FAIL,82,2010-03-05 17:17:13 -0700,added limited query param setting support,41,3085
61,3158411d,SUCCESS,7,SUCCESS,7,FAIL,82,2010-03-05 17:18:13 -0700,Merge branch 'annotated-client',51,3516
62,7bbcbac8,SUCCESS,8,SUCCESS,7,FAIL,82,2010-03-05 17:23:47 -0700,remove annotate dclient stuff which is not really ready for merge yet,44,3291
63,1838b924,FAIL,8,NO,0,NO,0,2010-03-08 13:21:45 -0500,"Do not accumulate bytes in Response when AsyncHandler is used. Instead, construct the AsyncCompletionHandler based on what AsyncHandler is receiving. Collaborative works with Brian McCallister",44,3282
64,8dd23fb1,SUCCESS,6,SUCCESS,7,FAIL,81,2010-03-08 13:24:29 -0500,"Add new classes, fix IDEA refactoring comments",47,3339
65,ef96133e,SUCCESS,11,SUCCESS,6,FAIL,83,2010-03-08 14:34:49 -0500,Add basic OSGi support. Remove hard coded reference to Netty. The way the class is loaded may probably needs to be changed depedending on how we want to support OSGi,47,3349
66,66a00ac9,SUCCESS,7,SUCCESS,7,FAIL,91,2010-03-08 15:52:49 -0500,Support JDK 1.5,47,3301
67,6993b764,SUCCESS,8,SUCCESS,7,FAIL,92,2010-03-08 14:51:13 -0700,provide an overiddable default onThrowable for AsyncCompletionHandler,47,3307
68,ab77283a,SUCCESS,7,SUCCESS,6,FAIL,91,2010-03-08 18:36:16 -0500,Make sure Future propagate any exceptions from handlers,47,3319
69,4b328d04,SUCCESS,7,SUCCESS,6,FAIL,91,2010-03-08 16:47:52 -0700,add google-collections to shaded artifact,47,3319
70,c5ed481d,SUCCESS,8,SUCCESS,6,FAIL,91,2010-03-08 19:15:26 -0500,"Fix possible Thread race between a Future exception, timeout and done",47,3322
71,ce15649e,SUCCESS,8,SUCCESS,6,FAIL,92,2010-03-08 17:30:27 -0700,use multimap for form and query params,47,3332
72,2d28fbfd,SUCCESS,7,SUCCESS,7,FAIL,92,2010-03-08 17:30:37 -0700,Merge branch 'master' of github.com:ning/async-http-client,47,3335
73,c5eee8e4,SUCCESS,8,SUCCESS,7,FAIL,91,2010-03-10 10:56:43 -0500,Do not import ourself,47,3335
74,ab77c07b,SUCCESS,7,SUCCESS,8,FAIL,92,2010-03-10 11:12:21 -0500,"Fix for http://github.com/ning/async-http-client/issues/#issue/4 (""Expose protocol details to client"")",47,3395
75,7ec56b98,SUCCESS,7,SUCCESS,9,FAIL,93,2010-03-10 11:46:30 -0500,Remove left over from sync library,46,3391
76,10b8a147,SUCCESS,8,SUCCESS,7,FAIL,92,2010-03-10 12:56:15 -0800,"defaultHandler shouldn't be reused across requests, as it encapsulates per-request state.",47,3413
77,07e7b078,SUCCESS,6,SUCCESS,7,FAIL,92,2010-03-10 13:00:03 -0800,allow chaining of addQueryParameter method,47,3415
78,be36fe04,SUCCESS,9,SUCCESS,6,FAIL,92,2010-03-16 11:17:37 -0400,Add a Roadmap summary based on the mailing list discussion,47,3415
79,5ca5420a,SUCCESS,8,SUCCESS,8,FAIL,91,2010-03-16 11:54:52 -0400,Proper implementation of followRedirect/maxRedirect,48,3443
80,da278aa0,SUCCESS,7,SUCCESS,7,FAIL,93,2010-03-16 14:04:12 -0400,Make the connect operation asynchronous,48,3527
81,c2b07e1a,SUCCESS,7,SUCCESS,7,FAIL,92,2010-03-16 14:08:30 -0400,Small update,48,3527
82,c53df932,SUCCESS,7,SUCCESS,7,FAIL,92,2010-03-16 17:50:56 -0400,"If we cannot determine the lenght, make sure we use the upper limit",48,3529
83,71cb20c1,SUCCESS,7,SUCCESS,7,FAIL,92,2010-03-16 17:56:55 -0400,..and of course use the upper limit to set the buffer size,48,3529
84,99813125,SUCCESS,8,SUCCESS,7,FAIL,93,2010-03-16 20:54:21 -0400,Make sure the always set the Content-Length equals to what has been written using the EntityWriter,48,3530
85,f22aa05f,SUCCESS,8,SUCCESS,8,FAIL,132,2010-03-18 18:28:32 -0400,Add TLS support,49,3762
86,bc881b84,SUCCESS,6,SUCCESS,7,FAIL,131,2010-03-18 18:38:04 -0400,Update Release Note,49,3762
