id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,7529a8bd,FAIL,0,NO,0,NO,0,2010-04-27 11:19:19 -0400,Add README file,0,0
1,0384cb49,FAIL,8,NO,0,NO,0,2010-04-29 20:20:22 -0400,Start Atmosphere git repo at revision r1083,152,9397
2,040ed70a,FAIL,4,NO,0,NO,0,2010-05-03 14:18:27 -0400,Remove IDEA files,152,9397
3,184656ba,FAIL,3,NO,0,NO,0,2010-05-03 14:18:52 -0400,Remove extra folder,152,9397
4,c759bf21,FAIL,3,NO,0,NO,0,2010-05-03 14:24:58 -0400,Merge from r1097. From now on dev happens here,174,10996
5,85279d83,FAIL,4,NO,0,NO,0,2010-05-03 15:39:17 -0400,Remove unnessary import,174,10994
6,044b4684,FAIL,5,NO,0,NO,0,2010-05-04 11:45:08 -0400,Improve the long polling counter implementation by letting the client increasing the value,174,11004
7,b9df0446,FAIL,5,NO,0,NO,0,2010-05-04 12:01:28 -0400,Add the sonatype repo,174,11004
8,702f391a,FAIL,5,NO,0,NO,0,2010-05-04 12:27:42 -0400,Remove invalid folder. Clear all filters when shutting down,157,9743
9,1550522e,FAIL,4,NO,0,NO,0,2010-05-04 12:55:35 -0400,"Add gitignore file, clean Broadcaster internals when invoking destroy",157,9743
10,744e8336,FAIL,5,NO,0,NO,0,2010-05-04 12:58:45 -0400,Clean when destroy(),157,9748
11,f67986a5,FAIL,5,NO,0,NO,0,2010-05-06 13:18:32 -0400,Fix GoogleAppEngine regression,157,9756
12,ad09576e,FAIL,5,NO,0,NO,0,2010-05-06 17:26:02 -0400,Fix issue with AtmosphereResource Generics and injection,157,9767
13,0ec87473,FAIL,5,NO,0,NO,0,2010-05-06 21:05:22 -0400,Remove the reference to a class that is not yet added.,157,9764
14,be05b644,FAIL,5,NO,0,NO,0,2010-05-06 21:11:15 -0400,Force JDK 6,157,9764
15,732f4834,FAIL,5,NO,0,NO,0,2010-05-06 21:35:18 -0400,refactoring to support the latest grizzly deployer version,156,9614
16,bbf022e0,FAIL,5,NO,0,NO,0,2010-05-06 21:36:44 -0400,Merge branch 'master' of github.com:jfarcand/atmosphere,156,9614
17,68f19158,FAIL,4,NO,0,NO,0,2010-05-06 21:38:09 -0400,updated to grizzly 1.9.19-beta3,156,9614
18,4234652b,FAIL,4,NO,0,NO,0,2010-05-06 21:38:40 -0400,add package to CometEvent,156,9614
19,c1883f1b,FAIL,5,NO,0,NO,0,2010-05-07 10:07:25 -0400,Proper package.,156,9614
20,f9c9bf41,FAIL,5,NO,0,NO,0,2010-05-07 10:08:04 -0400,Use qualified name to makes Eclipe (and Sebastien) happy :-),156,9614
21,2e81025a,FAIL,5,NO,0,NO,0,2010-05-07 10:10:38 -0400,Fix invalid package,156,9614
22,c7a776c5,FAIL,4,NO,0,NO,0,2010-05-10 14:32:14 -0400,Fix suspend() disconnect issue whㄩch wrongly invoked timeout() instead of cancelled,156,9615
23,99b866eb,FAIL,5,NO,0,NO,0,2010-05-10 14:33:31 -0400,Allow increasing the log level at runtime using org.atmosphere.trace property,156,9619
24,0719ea84,FAIL,5,NO,0,NO,0,2010-05-10 14:34:14 -0400,Cosmetic change,156,9619
25,444465bf,FAIL,5,NO,0,NO,0,2010-05-10 20:44:44 -0400,Make sure we always remove the listeners when a timeout or disconnect happens,156,9614
26,f3e6640a,FAIL,5,NO,0,NO,0,2010-05-10 20:45:35 -0400,Make the Container more robust when out of scope use of Request/Response,157,9661
