id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,a85ff72b,FAIL,0,NO,0,NO,0,2013-05-22 14:46:24 -0700,Initial commit - add a basic readme.,0,0
1,264f814f,FAIL,0,NO,0,NO,0,2013-05-22 15:18:33 -0700,Add an ignores file.,0,0
2,999ba0bf,FAIL,0,NO,0,NO,0,2013-05-22 16:16:07 -0700,Merge pull request #1 from cgruber/ignores,0,0
3,b281ea4d,SUCCESS,19,SUCCESS,5,SUCCESS,5,2013-05-22 16:21:57 -0700,"An initial project and an initial continuous integration system config, as well as contributors docs, license, and an initial checkstyle, cribbed from Dagger.",0,0
4,a90ea7c9,SUCCESS,6,SUCCESS,5,SUCCESS,6,2013-05-22 16:40:07 -0700,Merge pull request #2 from cgruber/initial,0,0
5,85b81393,SUCCESS,5,SUCCESS,5,SUCCESS,5,2013-05-22 16:04:23 -0700,Initial shape of autofactory and early code drop.,14,887
6,7f6fef9d,SUCCESS,7,SUCCESS,5,SUCCESS,5,2013-05-23 14:39:15 -0700,Merge pull request #3 from cgruber/firstpost,14,887
7,afdb3b28,SUCCESS,6,SUCCESS,5,SUCCESS,6,2013-05-24 12:15:46 -0700,"Remove old FactoryProcessor copy fromthe old package, and fix up some pom files.",13,791
8,c0c55089,SUCCESS,21,SUCCESS,10,SUCCESS,12,2013-05-24 12:18:24 -0700,re-enable other projects.,13,791
9,3e9d00ce,SUCCESS,12,SUCCESS,10,SUCCESS,9,2013-05-29 16:58:12 -0700,Merge pull request #4 from cgruber/fixbadbuild,13,791
10,c6d3b387,FAIL,17,NO,0,NO,0,2013-05-30 22:16:23 -0500,Introduce a Truth subject that uses javac to parse source into an AST and compare them in parallel.,17,1229
11,e167cc0b,FAIL,14,NO,0,NO,0,2013-05-30 22:22:45 -0500,Add missing copyright headers.,17,1229
12,513a7185,FAIL,13,NO,0,NO,0,2013-05-30 22:55:50 -0500,Add some simple tests.,21,1284
13,03df7e1f,SUCCESS,16,SUCCESS,11,SUCCESS,14,2013-05-31 12:35:46 -0500,Address a few issues that were causing the build to fail.,21,1284
14,05504723,SUCCESS,14,SUCCESS,12,SUCCESS,12,2013-05-31 12:40:10 -0500,Small lint error,21,1284
15,9e853130,SUCCESS,13,SUCCESS,11,SUCCESS,12,2013-05-31 10:41:11 -0700,Merge pull request #5 from gk5885/testing-util,21,1284
16,5466b8f2,FAIL,9,NO,0,NO,0,2013-05-31 17:46:58 -0500,An initial addition of some simple usecases,28,1346
17,d08d9c38,FAIL,12,NO,0,NO,0,2013-06-14 16:03:53 -0700,"Adopt the new API.  The tests are still failing, but this is a mostly working checkpoint",45,1979
18,1797eea2,FAIL,14,NO,0,NO,0,2013-06-14 16:07:43 -0700,Fix the maven build,45,1947
19,d86df346,FAIL,12,NO,0,NO,0,2013-06-14 17:12:59 -0700,Remove cruft.,43,1638
20,79c778ff,FAIL,14,NO,0,NO,0,2013-06-15 19:01:44 -0700,Get the simple case working.,42,1641
21,03fccf76,FAIL,14,NO,0,NO,0,2013-06-15 19:13:19 -0700,Add additional tests.,46,1699
22,ca4ab69a,FAIL,15,NO,0,NO,0,2013-06-15 19:16:02 -0700,One more test.,49,1724
23,d1d63f7c,FAIL,12,NO,0,NO,0,2013-06-19 17:57:13 -0500,Feedback from cgruber.,48,1718
24,fe4e900d,FAIL,12,NO,0,NO,0,2013-06-19 18:00:48 -0500,Remove a stray classfile and update .gitignore to make sure that doesn't happen again.,48,1718
25,d09630d8,SUCCESS,14,SUCCESS,11,SUCCESS,15,2013-06-19 18:04:48 -0500,The last bit of cleanup to make the Maven build work again.,47,1689
26,caa99cc5,SUCCESS,14,SUCCESS,10,SUCCESS,14,2013-06-19 16:05:52 -0700,Merge pull request #6 from gk5885/usecases,47,1689
27,e825c674,FAIL,7,NO,0,NO,0,2013-06-19 18:10:09 -0500,Allow imports for javadoc.,47,1689
28,1c01e96a,SUCCESS,13,SUCCESS,12,SUCCESS,14,2013-06-21 07:25:55 -0700,Add two profiles activated on the presence of tools.jar or classes.zip to support standard and mac JDK layouts.,47,1689
29,d3b5e289,SUCCESS,14,SUCCESS,10,SUCCESS,15,2013-06-21 14:27:50 -0500,Fix the configuration file.,47,1689
30,7e86d04b,SUCCESS,14,SUCCESS,10,SUCCESS,15,2013-06-21 12:29:46 -0700,Merge pull request #7 from gk5885/checkstyle,47,1689
31,4e8d34af,SUCCESS,13,SUCCESS,11,SUCCESS,16,2013-06-27 12:27:13 -0700,Merge pull request #8 from cgruber/fixbuild,47,1689
32,19ee07f6,SUCCESS,13,SUCCESS,11,SUCCESS,15,2013-07-01 16:00:45 -0500,Add a quick elevator pitch to the README.,47,1689
