id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,6b026a40,SUCCESS,21,SUCCESS,6,SUCCESS,11,2010-03-22 17:05:53 -0700,'Version 1.0.000 of the AWS Java SDK',1056,29184
1,6743bae2,FAIL,4,NO,0,NO,0,2010-04-06 18:26:06 -0700,'Version 1.0.001 of the AWS Java SDK',1135,31229
2,c5ea4b23,FAIL,3,NO,0,NO,0,2010-04-07 18:09:35 -0700,'Version 1.0.002 of the AWS Java SDK',1223,36788
3,eeaf8407,FAIL,3,NO,0,NO,0,2010-04-28 13:35:58 -0700,'Version 1.0.003 of the AWS Java SDK',1224,36867
4,83cd8580,FAIL,3,NO,0,NO,0,2010-05-19 08:52:42 -0700,'Version 1.0.004 of the AWS Java SDK',1232,38287
5,7a439a04,FAIL,3,NO,0,NO,0,2010-06-09 09:50:59 -0700,'Version 1.0.005 of the AWS Java SDK',1303,43079
6,75715dfd,SUCCESS,17,SUCCESS,13,SUCCESS,11,2010-07-07 10:47:22 -0700,'Version 1.0.006 of the AWS Java SDK',1131,39490
7,9352a0b2,SUCCESS,11,SUCCESS,12,SUCCESS,13,2010-07-14 16:12:07 -0700,'Version 1.0.007 of the AWS Java SDK',1161,40608
8,7cce2b10,SUCCESS,14,SUCCESS,10,SUCCESS,13,2010-08-17 14:22:44 -0700,'Version 1.0.008 of the AWS Java SDK',1187,42191
9,a936bdbc,SUCCESS,17,SUCCESS,18,SUCCESS,15,2010-09-03 10:13:18 -0700,'Version 1.0.009 of the AWS Java SDK',1365,48346
10,69eae3f7,SUCCESS,26,SUCCESS,19,SUCCESS,16,2010-09-10 10:37:55 -0700,'Version 1.0.10 of the AWS Java SDK',1365,48351
11,264a8c54,SUCCESS,20,SUCCESS,20,SUCCESS,17,2010-09-20 14:17:22 -0700,'Version 1.0.11 of the AWS Java SDK',1383,49981
12,1d7caf48,SUCCESS,22,SUCCESS,19,SUCCESS,18,2010-10-15 10:46:17 -0700,'Version 1.0.12 of the AWS Java SDK',1430,51882
13,869c4697,SUCCESS,21,SUCCESS,20,SUCCESS,18,2010-10-20 10:59:03 -0700,'Version 1.0.14 of the AWS Java SDK',1448,52900
14,f2811999,SUCCESS,22,SUCCESS,21,SUCCESS,17,2010-11-09 17:19:42 -0800,'Version 1.1.0 of the AWS Java SDK',1484,54679
15,78165624,SUCCESS,19,SUCCESS,21,SUCCESS,18,2010-12-03 14:05:02 -0800,'Version 1.1.1 of the AWS Java SDK',1487,54885
16,fc9c69a7,SUCCESS,21,SUCCESS,20,SUCCESS,20,2011-01-13 17:25:05 -0800,'Version 1.1.2 of the AWS Java SDK',1488,55042
17,d34c1536,SUCCESS,21,SUCCESS,21,SUCCESS,23,2011-01-18 12:32:40 -0800,Version 1.1.3 of the AWS Java SDK,1657,61544
18,90bc55ee,SUCCESS,24,SUCCESS,23,SUCCESS,20,2011-01-24 20:39:19 -0800,Version 1.1.4 of the AWS Java SDK,1697,62858
19,5c8dc02d,SUCCESS,22,SUCCESS,25,SUCCESS,19,2011-02-01 12:40:55 -0800,Version 1.1.5 of the AWS Java SDK,1798,67040
20,7ef74344,SUCCESS,24,SUCCESS,23,SUCCESS,21,2011-02-16 17:00:47 -0800,Version 1.1.6 of the AWS Java SDK,1816,68012
21,dc8a61e9,SUCCESS,22,SUCCESS,23,SUCCESS,22,2011-02-24 14:32:18 -0800,Version 1.1.7 of the AWS Java SDK,1868,69823
22,f44df6ab,SUCCESS,23,SUCCESS,21,SUCCESS,19,2011-02-25 13:19:55 -0800,Version 1.1.7.1 of the AWS Java SDK.,1868,69781
