id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,a0defe57,SUCCESS,35,SUCCESS,7,SUCCESS,9,2014-09-23 15:11:35 +0800,init,103,5988
1,a743235e,SUCCESS,18,SUCCESS,6,SUCCESS,7,2014-09-23 16:10:43 +0800,[maven-release-plugin] prepare release canal-1.0.19,103,5988
2,4ba814da,SUCCESS,17,SUCCESS,7,SUCCESS,7,2014-09-23 16:10:57 +0800,[maven-release-plugin] prepare for next development iteration,103,5988
3,5d1e952c,SUCCESS,20,SUCCESS,7,SUCCESS,6,2014-10-14 16:22:09 +0800,给插件maven-source-plugin\maven-compiler-plugin增加版本声明，删除重复的插件声明,103,5988
4,9ad328c5,SUCCESS,18,SUCCESS,7,SUCCESS,7,2014-10-14 16:22:39 +0800,增加插件maven-jar-plugin的版本声明,103,5988
5,0e283bb5,SUCCESS,18,SUCCESS,6,SUCCESS,7,2014-10-21 11:05:52 +0800,Merge pull request #102 from diguage/master,103,5988
6,aac4d95b,SUCCESS,19,SUCCESS,7,SUCCESS,8,2014-12-05 23:56:42 +0800,修复了重复订阅没有真正修改过滤器的问题,103,5988
7,42b164f8,SUCCESS,19,SUCCESS,7,SUCCESS,7,2014-12-10 13:37:48 +0800,Merge pull request #104 from mczcl/master,103,5988
8,a2ae8cda,SUCCESS,18,SUCCESS,7,SUCCESS,8,2014-12-10 13:48:50 +0800,remove setEventFilter,103,5988
9,13bf7c85,SUCCESS,18,SUCCESS,7,SUCCESS,8,2014-12-17 20:57:12 +0800,fixed search by time,103,5988
10,ac4970ef,SUCCESS,19,SUCCESS,7,SUCCESS,7,2014-12-17 22:08:36 +0800,"fixed issue #105 , seek method add format eventType parse",103,5988
11,befc3114,SUCCESS,19,SUCCESS,7,SUCCESS,7,2014-12-26 11:29:00 +0800,fixed parse instance,103,5988
12,5ade0571,SUCCESS,18,SUCCESS,8,SUCCESS,7,2014-12-26 20:23:59 +0800,"fixed issue #106 , logger exception",103,5988
13,f9edeca6,SUCCESS,18,SUCCESS,7,SUCCESS,7,2015-01-29 11:51:34 -0800,FileLogFetcher's fetch() method should fix up position and origin even if we weren't successful at fetching anything from the file,103,5988
14,50d4b185,SUCCESS,19,SUCCESS,8,SUCCESS,7,2015-01-30 14:27:06 +0800,Update README.md,103,5988
15,5b56a027,SUCCESS,18,SUCCESS,7,SUCCESS,7,2015-01-30 20:54:22 +0800,Merge pull request #110 from frew/master,103,5988
16,b0143520,SUCCESS,19,SUCCESS,6,SUCCESS,7,2015-03-30 18:04:26 +0800,"fixed issue #112 , add mysql 5.6 useconds parse",103,5988
17,5529dad1,SUCCESS,18,SUCCESS,7,SUCCESS,8,2015-04-09 17:35:28 +0800,add missing api parameter doc,103,5988
18,ae521195,SUCCESS,19,SUCCESS,7,SUCCESS,7,2015-04-10 12:39:38 +0800,Merge pull request #113 from WalterInSH/master,103,5988
19,d01e82ce,SUCCESS,18,SUCCESS,8,SUCCESS,8,2015-04-23 16:23:34 +0800,fix typo embeded -> embedded,103,5988
20,bdf3b0c8,SUCCESS,18,SUCCESS,7,SUCCESS,8,2015-04-23 17:25:36 +0800,"typo, javadoc,code cleanup",103,5988
21,6a0733bb,FAIL,12,NO,0,NO,0,2015-04-23 22:15:57 +0800,"update guava to 18.0, magriate compute map by package level implement",103,5988
22,fc9b616f,SUCCESS,20,SUCCESS,6,SUCCESS,8,2015-04-24 09:36:47 +0800,添加遗漏的 MigrateMap,104,5996
23,596b0606,SUCCESS,19,SUCCESS,7,SUCCESS,8,2015-04-27 14:57:01 +0800,"cleanup code, extract CanalService",105,6014
24,ea889cb0,SUCCESS,18,SUCCESS,7,SUCCESS,7,2015-04-28 20:26:41 +0800,Merge pull request #115 from wenerme/master,105,6014
25,7ebb3fd1,SUCCESS,19,SUCCESS,6,SUCCESS,7,2015-04-28 21:11:41 +0800,fixed code template and format,105,5741
26,c3f2ad08,SUCCESS,18,SUCCESS,7,SUCCESS,7,2015-04-28 21:33:28 +0800,fixed warning,105,5743
27,eeaf5ce9,SUCCESS,18,SUCCESS,6,SUCCESS,7,2015-04-30 11:06:10 +0800,"fixed issue #116 , process empty array",105,5743
