id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,7e0d71b3,FAIL,0,NO,0,NO,0,2009-11-03 23:37:28 +0000,Create root directories.,1277,290451
1,6b49cfd9,FAIL,0,NO,0,NO,0,2009-11-03 23:51:57 +0000,Initial commit.,418,65053
2,0b7eccf2,FAIL,0,NO,0,NO,0,2009-11-07 01:24:20 +0000,"A bunch of bug fixes Added the --warning_level={QUIET|DEFAULT|VERBOSE} flag, to match the webservice API",420,65168
3,96fd67bf,FAIL,0,NO,0,NO,0,2009-11-07 02:26:54 +0000,Turn the symbol check off unless --warnings_level == VERBOSE,420,65174
4,7efb21a2,FAIL,0,NO,0,NO,0,2009-11-09 20:46:10 +0000,"Remove timestamps from the javadoc, because they screw up the diffs. Also, better error messages.",420,65187
5,78995bf9,FAIL,0,NO,0,NO,0,2009-11-10 19:16:03 +0000,Fix synthesis of vars in DEFAULT mode. Better variable inlining Better function inlining Assorted bug fixes,420,65505
6,6a36f044,FAIL,0,NO,0,NO,0,2009-11-11 19:05:43 +0000,Fixes for issues 14 and 16.,420,65597
7,e609670b,FAIL,0,NO,0,NO,0,2009-11-12 20:02:06 +0000,- Fix issue #19 - attach jsdoc comments without annotations to nodes,420,65608
8,8354dcb5,FAIL,0,NO,0,NO,0,2009-11-13 07:36:20 +0000,Adding missing --check_types option. Hello type checker!,420,65612
9,efd3c178,FAIL,0,NO,0,NO,0,2009-11-13 19:38:16 +0000,Better number printing. Add flags for fine-grained warning controls. Better type-declaration finding. Added some missing externs. Marked externs that don't have side effects.,420,65721
10,2acd6c19,FAIL,0,NO,0,NO,0,2009-11-17 00:04:01 +0000,Fix if-folding compiler crash (issue 43) Fix property-collapsing compiler crash (issue 34) Fix labeled VAR compiler crash (issue 41) Make [paramName] syntax denote optionality (issue #26) Better function inlining.,420,65814
11,fe64e87c,FAIL,0,NO,0,NO,0,2009-11-18 00:21:29 +0000,"Never rename a variable named ""$super"", because the Prototype library uses this to do magic.",420,65985
12,6a6ea480,FAIL,0,NO,0,NO,0,2009-11-19 21:23:04 +0000,Don't warn about duplicate variable declarations unless warning_level is set to VERBOSE.,420,66119
13,5af11d33,FAIL,0,NO,0,NO,0,2009-11-19 23:26:37 +0000,Better support for jsdoc toolkit annotations.,420,66125
14,3bee5d74,FAIL,0,NO,0,NO,0,2009-11-25 14:53:05 +0000,"Add a mechanism for inlining local vars, and turn it on by default. Warnings for ""ambiguous"" function definitions. Refactoring and renaming of some method names. Use ""="" optionality annotation in externs.",420,66206
15,ffe07f8c,FAIL,0,NO,0,NO,0,2009-11-30 17:30:37 +0000,Add --define flag to the API. Remove the warning for ambiguous function definitions: it's not yet fully baked. Fix a bug in data-flow based variable inlining.,420,66242
16,a4781939,FAIL,0,NO,0,NO,0,2009-12-01 16:28:53 +0000,Add a debugging option for variable renaming. Bug fixes for direct calls on the arguments array.,420,66308
17,3924ff1e,FAIL,0,NO,0,NO,0,2009-12-03 01:12:42 +0000,"Warn about all with statements, unless there's an explicit /** @suppress {with} */ tag",426,69084
18,e578606c,FAIL,0,NO,0,NO,0,2009-12-04 16:00:59 +0000,Fix a type-checking bug in instanceof.,426,69084
19,845f5ff6,FAIL,0,NO,0,NO,0,2009-12-07 21:53:31 +0000,Add buttloads of tests.,438,74374
20,847b296c,FAIL,0,NO,0,NO,0,2009-12-08 23:50:11 +0000,Add support for other charset types.,438,74496
21,13fa93d5,FAIL,0,NO,0,NO,0,2009-12-09 21:32:21 +0000,Better dead assignment elimination.,438,74523
22,168bc14f,FAIL,0,NO,0,NO,0,2009-12-11 23:29:29 +0000,Add a pass for collecting symbols exported like window['x'] = ...,441,74751
23,31193006,FAIL,0,NO,0,NO,0,2009-12-15 00:18:26 +0000,Add a --debug flag for easier debugging.,441,74810
24,a2d8936f,FAIL,0,NO,0,NO,0,2009-12-15 21:52:50 +0000,Add warnings for functions that are ambiguously defined on different browsers.,443,74975
25,06377401,FAIL,0,NO,0,NO,0,2009-12-17 02:37:03 +0000,Fix for issue #75.,443,75005
26,1b01c373,FAIL,0,NO,0,NO,0,2009-12-17 18:06:45 +0000,"Rollback the new ambiguous function def warning, because it still has false positives.",443,75009
27,14ddcfdc,FAIL,0,NO,0,NO,0,2009-12-18 00:20:09 +0000,Change the internal representation of constant variables.,443,75017
28,4191b884,FAIL,0,NO,0,NO,0,2009-12-18 01:17:37 +0000,Nicer descriptions for the flags api.,443,75022
29,c28d0ab6,FAIL,0,NO,0,NO,0,2009-12-18 05:09:10 +0000,"Add rictic's ""ant fuzz-test"" command",444,75091
30,d964d232,FAIL,0,NO,0,NO,0,2009-12-21 18:13:41 +0000,"Minor code removal improvement ""({}).prop = 3;"" has no side effects.",444,75181
31,ec8a1a33,FAIL,0,NO,0,NO,0,2009-12-21 19:19:30 +0000,"Add a .classpath and .project file, for eclipse users.",444,75181
32,f8fc19e8,FAIL,0,NO,0,NO,0,2009-12-21 19:22:01 +0000,"Add svn:ignore for eclipse files, per Issue 79",444,75181
33,0b9488d9,FAIL,0,NO,0,NO,0,2009-12-21 23:50:10 +0000,"Pre-compiling the protocol buffers to bytecode is lame. Instead, put the protocol buffer source code under src/, and the generated Java code into gen/ (so that you don't need to install the protocol compiler to compile the code).",444,75181
34,1ba33f64,FAIL,0,NO,0,NO,0,2009-12-22 17:37:45 +0000,Add build/ to svn:ignore,444,75181
35,62ed9a69,FAIL,0,NO,0,NO,0,2009-12-22 18:35:59 +0000,Update the .classpath file for new gen/ directory.,444,75181
36,915752b8,FAIL,0,NO,0,NO,0,2009-12-23 17:33:47 +0000,Add boatloads of tests.,462,77800
37,c8459fed,FAIL,0,NO,0,NO,0,2009-12-27 17:03:29 +0000,"Remove reference to base.X, which the guava team does not plan on open-sourcing",462,77799
38,77b7c78d,FAIL,0,NO,0,NO,0,2010-01-04 20:18:21 +0000,Add more unit tests for type checking.,463,81682
39,4014ddc8,FAIL,0,NO,0,NO,0,2010-01-04 22:42:41 +0000,Make the interfaces API a bit less specific.,463,81679
40,6fcb0080,FAIL,0,NO,0,NO,0,2010-01-06 03:44:43 +0000,inline a method from common libraries.,463,81718
41,86860111,FAIL,0,NO,0,NO,0,2010-01-07 15:08:10 +0000,"Fix up the inheritance hierarchy so that ""Foo implements Bar"" implies that Bar.prototype is the implicit prototype of Foo.prototoype.",463,81724
42,6d374c3e,FAIL,0,NO,0,NO,0,2010-01-08 21:41:36 +0000,Fixes a bug in AmbugateProperties in the presence of interfaces.,463,81774
43,0c1e512f,FAIL,0,NO,0,NO,0,2010-01-11 22:18:30 +0000,Make sure that the SourceMap (for debugging) is valid JSON by escaping strings correctly.,463,81790
44,092f42ed,FAIL,0,NO,0,NO,0,2010-01-12 01:10:43 +0000,Turn on side-effect-based optimizations in advanced mode.,463,81792
45,a3ed6caf,FAIL,0,NO,0,NO,0,2010-01-12 21:53:38 +0000,Fix an edge case in goog.provide handling.,463,81852
46,25abf2f5,FAIL,0,NO,0,NO,0,2010-01-14 01:56:54 +0000,Flesh out the chrome extensions api some more.,463,81852
47,928d6655,FAIL,0,NO,0,NO,0,2010-01-14 04:32:43 +0000,"Adds the ability to use Closure Compiler in Ant. Can also be used in other systems like Gradle, Buildr and Maven. It's not feature complete, but it's a start.",465,82024
48,54cd800f,FAIL,0,NO,0,NO,0,2010-01-15 02:56:44 +0000,Add a jquery externs file contributed by matias.,465,82024
49,66485d3d,FAIL,0,NO,0,NO,0,2010-01-15 21:56:00 +0000,Use non-generic data structures in a bunch of places. (More for readability reasons than anything else),465,82090
50,026c3465,FAIL,0,NO,0,NO,0,2010-01-19 15:30:08 +0000,Use ImmutableMap.Builder instead of ImmutableMapBuilder.,465,82095
51,51d5dcae,FAIL,0,NO,0,NO,0,2010-01-19 20:45:58 +0000,Corrections to the jquery externs file. Contributed by Peter Burns.,465,82095
52,28f53ea8,FAIL,0,NO,0,NO,0,2010-01-22 00:24:31 +0000,Silence all warnings in QUIET mode.,465,82108
53,9afca869,FAIL,0,NO,0,NO,0,2010-01-22 20:29:44 +0000,Better type checking for switch/case conditions.,465,82149
54,d43115b1,FAIL,0,NO,0,NO,0,2010-01-24 02:45:06 +0000,updated .classpath to include ant_deploy.jar,465,82149
55,bca9abb0,FAIL,0,NO,0,NO,0,2010-01-26 21:59:28 +0000,Make sure that InlineVariables can inline variables that are never defined.,467,82378
56,c857311f,FAIL,0,NO,0,NO,0,2010-01-27 23:48:04 +0000,Allow the COMMA operator to be used to make a call to eval indirect.,467,82389
57,8ba5e1f8,FAIL,0,NO,0,NO,0,2010-01-28 01:22:40 +0000,Print indirect calls to eval correctly (issue 81),467,82420
58,d08c9259,FAIL,0,NO,0,NO,0,2010-01-28 06:52:24 +0000,Add an extern file for the w3c geolocation api.,467,82420
59,52ecbc65,FAIL,0,NO,0,NO,0,2010-01-28 21:52:58 +0000,"Add some new externs files: webkit notifications, web storage, and file access.",467,82473
60,83e4a976,FAIL,0,NO,0,NO,0,2010-02-01 17:35:41 +0000,Fix a null pointer exception in TypedScopeCreator,467,82517
61,a0750b61,FAIL,0,NO,0,NO,0,2010-02-02 00:04:13 +0000,"Split the junit jar into its component pieces: the hamcrest code, the junit code under org.* packages, and the junit code under the junit.* packages.",467,82517
62,f78e933d,FAIL,0,NO,0,NO,0,2010-02-02 00:09:58 +0000,"Don't do local type inference on local vars that are assigned in inner scopes, because it's pretty close to impossible to do it right.",467,82605
63,819dd2d2,FAIL,0,NO,0,NO,0,2010-02-02 18:18:37 +0000,Move the devirtualizer later in the optimization process. We're not really sure why this improves things (yet).,467,82606
64,449fdd3c,FAIL,0,NO,0,NO,0,2010-02-03 15:26:11 +0000,"Make CompilerRunner package-private. There's no good reason for it to be public. And right now, users of the Java API are confused about whether they should use Compiler or CompilerRunner.",467,82620
65,f975b58c,FAIL,0,NO,0,NO,0,2010-02-03 19:07:24 +0000,Google Maps JS API V3 Externs file. Contributed by Chad Kiilingsworth in Issue 94.,467,82620
66,5592f80e,FAIL,0,NO,0,NO,0,2010-02-04 00:00:53 +0000,Make the FlagsUsageException protected.,467,82620
67,37bc6d41,FAIL,0,NO,0,NO,0,2010-02-04 21:06:19 +0000,fix up some more inference-on-inner-functions edge cases.,467,82650
68,d1f25380,FAIL,0,NO,0,NO,0,2010-02-05 18:31:28 +0000,Type-checking fix when the prototype is assigned directly. Fixes issue 59.,467,82689
69,1046b0c0,FAIL,0,NO,0,NO,0,2010-02-05 19:27:54 +0000,Rewrite ProcessClosurePrimitives to have a distinct indexing and mutation step.,467,82721
70,45f2bdf9,FAIL,0,NO,0,NO,0,2010-02-08 19:30:55 +0000,Fix a bunch of passes to preserve more type information.,467,82800
71,c0face2a,FAIL,0,NO,0,NO,0,2010-02-08 23:25:22 +0000,Fix a bug in type inference when there are more than two inner functions in a local scope.,467,82857
72,9c4cd374,FAIL,0,NO,0,NO,0,2010-02-08 23:47:48 +0000,Update the Google Maps API V3 for api changes (fixes Issue 105). Contributed by Chad Killingsworth,467,82857
73,8e121a1f,FAIL,0,NO,0,NO,0,2010-02-09 05:56:33 +0000,"Fix some bad type information in the default externs, and do a bit of tightening. Fixes issue 104.",467,82857
74,113a08f5,FAIL,0,NO,0,NO,0,2010-02-09 21:33:10 +0000,Fix an edge case in how Array.prototype.join is collapsed. Fixes issue 106.,467,82865
75,88604513,FAIL,0,NO,0,NO,0,2010-02-10 21:06:43 +0000,Add HTML5 MessagePort.,467,82865
76,7287c0ac,FAIL,0,NO,0,NO,0,2010-02-10 23:02:06 +0000,Speed up parsing a bit by refactoring how we pull jsdoc comments into the AST.,468,82876
77,1771d200,FAIL,0,NO,0,NO,0,2010-02-11 21:02:11 +0000,delete some dead code,468,82854
78,b8c52bf5,FAIL,0,NO,0,NO,0,2010-02-12 19:40:24 +0000,Fix a null pointer exception in FunctionType.,469,82906
79,d2f07502,FAIL,0,NO,0,NO,0,2010-02-12 23:01:11 +0000,Add an externs entry for Webkit's document.getCSSCanvasContext(),469,82906
80,b9ae2728,FAIL,0,NO,0,NO,0,2010-02-15 22:32:00 +0000,updated .classpath to reflect changes to lib/,469,82906
81,c306f810,FAIL,0,NO,0,NO,0,2010-02-16 20:03:20 +0000,"don't run RemoveUnusedVars to a fixed point, because the PhaseOptimizer does that already.",469,82903
82,c657d683,FAIL,0,NO,0,NO,0,2010-02-17 14:37:40 +0000,push a few more externs into contrib/externs.,469,82903
83,c6848064,FAIL,0,NO,0,NO,0,2010-02-17 21:34:00 +0000,Allow @typedefs to never be assigned. (Nick Santos),469,82925
84,086aeab1,FAIL,0,NO,0,NO,0,2010-02-18 16:47:13 +0000,Fix chrome.tabs.sendRequest extern in javascript/chrome_externs.js. (Matias),470,83318
85,0f655dc7,FAIL,0,NO,0,NO,0,2010-02-20 01:21:47 +0000,Runtime type check. (Nada and Andrew),473,83696
86,1be1c263,FAIL,0,NO,0,NO,0,2010-02-22 19:05:09 +0000,Fix getGreatestSubtype for UnionTypes by always returning the meet of the two types. (Andrew),474,83734
87,67289ae4,FAIL,0,NO,0,NO,0,2010-02-22 22:55:41 +0000,Fixes a bug in getGreatestSubtype (Andrew),474,83737
88,2f5cb162,FAIL,0,NO,0,NO,0,2010-02-23 01:07:42 +0000,Make the CFA recognize possible ON_EX edges for instanceof operations. Fixes issue 113. (Alan),474,83783
89,4922461b,FAIL,0,NO,0,NO,0,2010-02-25 00:14:43 +0000,Fix a bug in expression decomposition (Alan),474,83818
90,9a1ddf5f,FAIL,0,NO,0,NO,0,2010-02-25 04:37:22 +0000,Merge NodeTypeNormalizer and CodingConventionAnnotator into a single pass. (Nick),473,83805
91,d48c365b,FAIL,0,NO,0,NO,0,2010-02-26 15:11:05 +0000,"""var arguments"" never shadows the built-in arguments array. Fixes issue 115.",473,83822
92,50c1b3d3,FAIL,0,NO,0,NO,0,2010-02-26 23:45:54 +0000,emit the right error message when goog is required. (Nick),473,83826
93,848ace84,FAIL,0,NO,0,NO,0,2010-02-27 02:04:18 +0000,"Rename CompilerRunner -> CommandLineRunner. I'll also do this for JSCompilerRunner, but it will be a much bigger change. (Nick)",473,83826
94,22ee97fb,FAIL,0,NO,0,NO,0,2010-02-28 15:27:13 +0000,"Changed CommandLineRunner to public, as I believe that was the intention according to http://groups.google.com/group/closure-compiler-discuss/browse_thread/thread/1e4e73765b1fd56f",473,83826
95,f3335b14,FAIL,0,NO,0,NO,0,2010-02-28 15:37:02 +0000,Made the constructors for CommandLineRunner public again so it can be subclassed.,473,83826
96,af21c372,FAIL,0,NO,0,NO,0,2010-02-28 18:34:01 +0000,changed access level of constructors of CommandLineRunner to protected,473,83826
97,d4bf17f1,FAIL,0,NO,0,NO,0,2010-03-01 23:21:53 +0000,Add docs for CommandLineRunner.,473,83839
98,7295b31f,FAIL,0,NO,0,NO,0,2010-03-01 23:33:12 +0000,Updates google maps api v3 extern. Contributed by Chad Killingsworth.,473,83839
99,ddb4d111,FAIL,0,NO,0,NO,0,2010-03-03 01:27:02 +0000,Fix DisambiguateProperties whenever an inferface was unioned with a constructor. The problem is that processProperty would recurse twice--once to get the alternates of the union and once to get the interface implementations--and the related type would not get passed up the recursion stack. (Nick),473,83876
100,7d2a4416,FAIL,0,NO,0,NO,0,2010-03-03 20:04:42 +0000,"Change EventTarget to be an interface rather than a concrete class. Implement required methods on classes that derive from EventTarget. I didn't want to convert derived classes to be interfaces in this CL, but many of them should be change (nassar)",473,83876
101,c080c668,FAIL,0,NO,0,NO,0,2010-03-04 18:33:45 +0000,rolling back the EventTarget changes for a little bit,473,84026
102,e5d3e5e0,FAIL,0,NO,0,NO,0,2010-03-06 01:33:39 +0000,switch over to args4j (Nick) Fixes issue 11.,473,84097
103,36830470,FAIL,0,NO,0,NO,0,2010-03-07 17:35:43 +0000,removed an unused import and fixed up overview javadoc,473,84096
104,16a73790,FAIL,0,NO,0,NO,0,2010-03-09 06:15:12 +0000,combine junit jars,473,84107
105,8d37e73b,FAIL,0,NO,0,NO,0,2010-03-09 07:06:48 +0000,update licensing info (Nick),473,84107
