error,count
The validated object is null,5
Broken: ,3
The validated array index is invalid: -1,1
The validated collection index is invalid: -1,1
The validated character sequence is invalid: -1,1
The validated character sequence is blank,1
MSG,5
The validated collection is empty,1
The validated character sequence is empty,1
Message,1
The validated array is empty,1
The validated map is empty,1
Arguments cannot both be null,4
Array and element cannot both be null,4
Invalid locale format: ,126
Cannot create locale from empty string,2
