id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,750a21e8,FAIL,0,NO,0,NO,0,2002-07-19 03:35:56 +0000,New repository initialized by cvs2svn.,0,0
1,6627f7ad,FAIL,0,NO,0,NO,0,2002-07-19 03:35:56 +0000,Initial copy from jakarta-commons-sandbox,30,3599
2,f01f3e8d,FAIL,0,NO,0,NO,0,2002-07-19 03:39:48 +0000,removed my junit location :),30,3599
3,e488b7b8,FAIL,0,NO,0,NO,0,2002-07-19 04:04:45 +0000,"stripStart and stripEnd methods changed to fulfill their javadoc. Passing in strip(""-+-+FOO---"", ""+-"") will result in FOO.",30,3602
4,f0a5f0e8,FAIL,0,NO,0,NO,0,2002-07-19 04:05:57 +0000,Added another test to show that I can pass in delimiters that don't appear in the string I'm stripping.,30,3603
5,df7a930d,FAIL,0,NO,0,NO,0,2002-07-19 04:27:31 +0000,Class names updated and new classes added.,30,3603
6,97b5ac9b,FAIL,0,NO,0,NO,0,2002-07-21 20:14:14 +0000,Added a deleteWhitespace method as Jakarta.Avalon has a need for this. Should this go on StringUtils though.,30,3607
7,46872f9f,FAIL,0,NO,0,NO,0,2002-07-21 20:19:50 +0000,Moved deleteWhitespace from CharSetUtils to StringUtils.,30,3612
8,80d827fd,FAIL,0,NO,0,NO,0,2002-07-23 05:21:28 +0000,"Added a concatenate method. While this is just a join with a """" delimiter, the Avalon StringUtil shows that this is a valid way of looking at the functionality.",30,3616
9,7fa4ee3c,FAIL,0,NO,0,NO,0,2002-07-25 22:18:30 +0000,changed release info and added steven caswell as a committer. PR: Obtained from: Submitted by: Reviewed by:,30,3616
10,9c8d148c,FAIL,0,NO,0,NO,0,2002-07-25 22:44:29 +0000,wrote a release text.,30,3616
11,a0cc54bb,FAIL,0,NO,0,NO,0,2002-07-26 00:41:52 +0000,Adding Lang maven POM.,30,3616
12,742a42db,FAIL,0,NO,0,NO,0,2002-07-26 01:14:28 +0000,Added myself to commiters list.,30,3616
13,e950d9b3,FAIL,0,NO,0,NO,0,2002-07-26 01:40:11 +0000,"Removed two broken methods from StringUtils.  Since a beta has gone out, this is not good practice.  However, since 1.0 final has not yet been released, it is out-weighed by the trade off of releasing code that just plain doesn't work.",30,3597
14,9182104b,FAIL,0,NO,0,NO,0,2002-07-26 14:05:04 +0000,Changed the javadoc on this one. Randomness stuff came solely from GenJava library.,30,3597
15,44c94d5a,FAIL,0,NO,0,NO,0,2002-07-26 18:58:35 +0000,o adding .txt extension to keep windows and checkstyle happy.,30,3597
16,f7a767aa,FAIL,0,NO,0,NO,0,2002-07-26 19:07:07 +0000,o using the parent project.xml,30,3597
17,b6302ed2,FAIL,0,NO,0,NO,0,2002-07-26 19:46:38 +0000,updated e-maill address for Steven Caswell,30,3597
