id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,8a60ab1,FAIL,0,NO,0,NO,0,2011-12-31 14:53:01 -0800,first commit,0,0
1,8d76f7d,SUCCESS,13,SUCCESS,5,SUCCESS,7,2011-12-31 15:07:28 -0800,First import to git,42,2139
2,b861b18,SUCCESS,6,SUCCESS,6,SUCCESS,5,2011-12-31 19:16:33 -0800,Added copyright notice to new classes,42,2139
3,0bd0bb5,SUCCESS,7,SUCCESS,6,SUCCESS,5,2011-12-31 20:03:50 -0800,Added some more javadocs.,42,2139
4,1c22101,SUCCESS,8,SUCCESS,7,SUCCESS,5,2011-12-31 21:08:35 -0800,Added more javadocs.,42,2132
5,e6a6274,SUCCESS,8,SUCCESS,7,SUCCESS,5,2012-01-01 14:34:49 -0800,Cleaned tests.,42,2139
6,52f65cc,SUCCESS,8,SUCCESS,8,SUCCESS,5,2012-01-01 14:50:15 -0800,Update pom.xml to exclude properties files.,42,2139
7,497d71e,SUCCESS,8,SUCCESS,8,SUCCESS,5,2012-01-01 15:12:42 -0800,Cleaned basic example.,42,2138
8,5e2eff2,SUCCESS,13,SUCCESS,7,SUCCESS,5,2012-01-01 23:40:03 -0800,Updated pom.xml for submission to Maven repository.,42,2138
9,144da5e,SUCCESS,9,SUCCESS,7,SUCCESS,6,2012-01-01 23:57:13 -0800,Fixed bug: http://code.google.com/p/crawler4j/issues/detail?id=73,42,2138
10,82b9319,SUCCESS,8,SUCCESS,7,SUCCESS,5,2012-01-02 19:12:43 -0800,[maven-release-plugin] prepare release crawler4j-3.0,42,2138
11,0644d7b,SUCCESS,9,SUCCESS,7,SUCCESS,6,2012-01-02 19:46:16 -0800,pom version,42,2138
12,7f248bb,SUCCESS,8,SUCCESS,7,SUCCESS,5,2012-01-02 19:47:39 -0800,[maven-release-plugin] prepare release crawler4j-3.0,42,2138
13,18ef80b,SUCCESS,9,SUCCESS,8,SUCCESS,5,2012-01-03 22:48:50 -0800,Prepare for maven release,42,2138
14,f30fedf,SUCCESS,8,SUCCESS,7,SUCCESS,6,2012-01-03 22:49:59 -0800,[maven-release-plugin] prepare release crawler4j-3.0,42,2138
15,280fac2,SUCCESS,8,SUCCESS,7,SUCCESS,5,2012-01-03 22:50:08 -0800,[maven-release-plugin] prepare for next development iteration,42,2138
16,e65c745,SUCCESS,9,SUCCESS,6,SUCCESS,5,2012-01-04 08:49:16 -0800,prepeare for release,42,2138
17,8c4c6de,SUCCESS,8,SUCCESS,7,SUCCESS,4,2012-01-04 08:50:19 -0800,[maven-release-plugin] prepare release crawler4j-3.0,42,2138
18,5b49812,SUCCESS,7,SUCCESS,7,SUCCESS,5,2012-01-04 08:52:20 -0800,prepare for release,42,2138
19,bc227de,SUCCESS,7,SUCCESS,7,SUCCESS,5,2012-01-04 08:53:52 -0800,[maven-release-plugin] prepare release crawler4j-3.0-2,42,2138
20,f65693c,SUCCESS,7,SUCCESS,7,SUCCESS,4,2012-01-04 08:54:00 -0800,[maven-release-plugin] prepare for next development iteration,42,2138
21,dbc9d3c,SUCCESS,9,SUCCESS,6,SUCCESS,7,2012-01-05 21:49:52 -0800,Updated URL canonicalizer,43,2236
22,ab57c9b,SUCCESS,10,SUCCESS,6,SUCCESS,6,2012-01-08 11:38:59 -0800,Update URLCanonicalizer,43,2250
23,b0fd2cb,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-01-12 23:14:23 -0800,Fixed thread-safety bug in PageFetcher.,44,2293
24,01d521e,SUCCESS,7,SUCCESS,7,SUCCESS,6,2012-01-12 23:25:38 -0800,[maven-release-plugin] prepare release crawler4j-3.1,44,2293
25,a74d2c0,SUCCESS,7,SUCCESS,7,SUCCESS,6,2012-01-12 23:25:47 -0800,[maven-release-plugin] prepare for next development iteration,44,2293
26,0161a71,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-01-22 12:06:30 -0800,Added support for handling http status codes for fetched pages,46,2410
27,7a7efd2,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-01-22 16:04:01 -0800,Added support for adding seeds with specific docids.,46,2429
28,9bc8c1b,SUCCESS,8,SUCCESS,6,SUCCESS,7,2012-01-22 17:14:01 -0800,Added support for specifying seen URLs in controller.,46,2438
29,fdd91b8,SUCCESS,8,SUCCESS,7,SUCCESS,7,2012-01-22 17:29:53 -0800,Updated jar version,46,2438
30,b5b88a4,SUCCESS,8,SUCCESS,7,SUCCESS,7,2012-01-29 12:46:48 -0800,Fixed bug in URL canonicalizer,46,2437
31,e5dcab1,SUCCESS,9,SUCCESS,8,SUCCESS,7,2012-01-29 12:48:06 -0800,Version increase for snapshot,46,2437
32,6eb2ef8,SUCCESS,9,SUCCESS,8,SUCCESS,6,2012-01-29 19:43:25 -0800,Added support for domain and sub-domain detection.,48,2512
33,2f6a89c,SUCCESS,9,SUCCESS,7,SUCCESS,7,2012-02-04 14:07:55 -0800,Added ParentUrl and Path to WebURL,48,2534
34,d362515,SUCCESS,9,SUCCESS,7,SUCCESS,7,2012-02-04 16:50:34 -0800,Added URL resolver based on RFC1808,49,2696
35,b22c75d,SUCCESS,9,SUCCESS,6,SUCCESS,8,2012-02-16 21:45:43 -0800,[maven-release-plugin] prepare release crawler4j-3.3,49,2696
36,29a2daf,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-02-16 21:45:50 -0800,[maven-release-plugin] prepare for next development iteration,49,2696
37,1c23e32,SUCCESS,9,SUCCESS,7,SUCCESS,7,2012-03-04 23:12:42 -0800,Added toString for CrawlConfig and removed logger.setLevel from PageFetcher.,49,2716
38,7b8bf91,SUCCESS,8,SUCCESS,7,SUCCESS,6,2012-03-11 23:35:26 -0700,"New crawling order: priority, depth, docid Extracting anchor texts",50,2764
39,7fd8392,SUCCESS,8,SUCCESS,8,SUCCESS,6,2012-03-11 23:48:24 -0700,[maven-release-plugin] prepare release crawler4j-3.4,50,2764
40,3ffec15,SUCCESS,8,SUCCESS,8,SUCCESS,6,2012-03-11 23:48:31 -0700,[maven-release-plugin] prepare for next development iteration,50,2764
41,a9cc8a9,SUCCESS,12,SUCCESS,7,SUCCESS,7,2013-03-02 11:03:23 -0800,Updating dependencies and deprecated references,50,2766
42,6d41392,SUCCESS,9,SUCCESS,8,SUCCESS,6,2013-03-02 11:29:50 -0800,Fixed issue #127 where the port number was being ignored for robots.txt fetching.,50,2770
43,c99423e,SUCCESS,10,SUCCESS,8,SUCCESS,6,2013-03-02 11:44:37 -0800,Added generation of source and javadoc jars.,50,2770
44,839c433,SUCCESS,10,SUCCESS,8,SUCCESS,6,2013-03-02 11:50:50 -0800,Removed some of the dependencies as they are already referenced by httpclient.,50,2770
45,daf2027,SUCCESS,9,SUCCESS,8,SUCCESS,8,2013-03-02 12:59:58 -0800,Minor code clean ups.,50,2774
46,3615d8f,SUCCESS,10,SUCCESS,7,SUCCESS,7,2013-03-02 14:13:32 -0800,Fixed issues #156 #191 #192. Thanks to ilovesoup for reporting.,50,2779
47,870d249,SUCCESS,9,SUCCESS,8,SUCCESS,6,2013-03-02 14:27:50 -0800,Adding meta refresh and location to outgoing links,50,2785
48,5bb0273,SUCCESS,8,SUCCESS,7,SUCCESS,6,2013-03-02 14:47:34 -0800,Added support for handling content fetch and parsing issues.,50,2793
49,b86018b,SUCCESS,9,SUCCESS,8,SUCCESS,6,2013-03-02 15:15:26 -0800,Provide access to response headers in the visit method.,50,2812
50,3df4ae1,SUCCESS,9,SUCCESS,7,SUCCESS,7,2013-03-02 21:52:09 -0800,Fixed issue #169 and issue #136,50,2822
51,183d98a,SUCCESS,8,SUCCESS,8,SUCCESS,7,2013-03-02 23:07:51 -0800,Fixed issue #101,50,2826
52,8f3be74,SUCCESS,9,SUCCESS,8,SUCCESS,6,2013-03-02 23:24:33 -0800,Fixed issue #184,50,2829
53,c697a98,SUCCESS,9,SUCCESS,8,SUCCESS,7,2013-03-03 00:05:38 -0800,Fixed issue #143,50,2837
54,7a74ac5,FAIL,6,NO,0,NO,0,2013-03-03 09:44:15 -0800,Upgrade to Java 7,50,2837
55,920f47e,SUCCESS,8,SUCCESS,8,SUCCESS,9,2013-03-03 10:24:32 -0800,Upgrade pom.xml to use Java 7,50,2837
56,a7a5eb0,SUCCESS,9,SUCCESS,8,SUCCESS,8,2013-03-03 10:27:59 -0800,[maven-release-plugin] prepare release crawler4j-3.5,50,2837
57,bfb7321,SUCCESS,10,SUCCESS,9,SUCCESS,8,2013-03-03 10:28:03 -0800,[maven-release-plugin] prepare for next development iteration,50,2837
58,e14a296,SUCCESS,10,SUCCESS,8,SUCCESS,7,2013-04-07 21:27:17 -0700,Fix Null pointer exception in Parser,50,2839
59,d76ea2d,FAIL,0,NO,0,NO,0,2014-08-03 11:03:56 +0300,Initial commit,0,0
60,ad90400,SUCCESS,10,SUCCESS,8,SUCCESS,7,2014-08-03 13:40:23 +0300,Merge branch 'master' of https://github.com/Chaiavi/Crawler4j,50,2839
61,21e71a8,SUCCESS,11,SUCCESS,8,SUCCESS,8,2014-08-03 13:58:13 +0300,Update README.md,50,2839
62,8bb591b,SUCCESS,10,SUCCESS,7,SUCCESS,7,2014-08-03 15:04:59 +0300,Added log messages to PageFetcher,50,2841
