id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,c654ee66,SUCCESS,14,SUCCESS,3,SUCCESS,10,2009-01-28 15:45:23 +0100,Moved source from the main cucumber repo,1,23
1,a9ca30aa,SUCCESS,8,SUCCESS,3,SUCCESS,8,2009-03-22 11:43:04 -0400,Using our own Java classes instead of,9,144
2,aa0002fa,SUCCESS,9,SUCCESS,3,SUCCESS,4,2009-03-24 18:04:47 +0100,Slightly better java integration,9,144
3,b7cacfde,SUCCESS,5,SUCCESS,4,SUCCESS,3,2009-03-25 13:49:48 +0100,Looks that we have something working here,9,143
4,386962e0,SUCCESS,4,SUCCESS,3,SUCCESS,4,2009-03-25 15:34:46 +0100,Make the examples work out of the box,9,142
5,27116030,SUCCESS,5,SUCCESS,5,SUCCESS,3,2009-03-25 15:39:31 +0100,Leave the jar in place,9,142
6,bc371bc1,SUCCESS,4,SUCCESS,3,SUCCESS,4,2009-03-27 10:17:27 +0100,Include ipr,9,141
7,a430061b,SUCCESS,8,SUCCESS,5,SUCCESS,6,2009-03-27 10:35:18 +0100,Use the maven structure - it was goofed from the beginning,9,141
8,62441281,SUCCESS,4,SUCCESS,4,SUCCESS,4,2009-03-27 11:22:00 +0100,Add support for int value,9,148
9,413c3a29,SUCCESS,5,SUCCESS,5,SUCCESS,5,2009-03-27 21:08:02 +0100,Fix IDEA files,9,141
10,782ccfa6,SUCCESS,5,SUCCESS,5,FAIL,5,2009-03-27 21:08:55 +0100,Merge branch 'master' of git://github.com/eivindw/cucumber_java,9,148
11,ea9ee0ac,SUCCESS,5,SUCCESS,5,SUCCESS,4,2009-03-27 21:12:57 +0100,Optimise imports,9,151
12,33721efa,SUCCESS,5,SUCCESS,5,FAIL,6,2009-03-27 21:22:44 +0100,more conventional maven usage,9,151
13,df84c84b,SUCCESS,6,SUCCESS,4,SUCCESS,5,2009-03-31 17:10:06 +0200,Initial commit of cucumber-maven-plugin (alpha). Moved from own tree inside cucumber_java.,14,339
14,3208edce,SUCCESS,5,SUCCESS,6,FAIL,5,2009-03-31 17:13:53 +0200,Make all tests pass. Add deployment stuff to POM.,9,164
15,bd29fc2a,SUCCESS,6,SUCCESS,5,SUCCESS,5,2009-03-31 17:30:06 +0200,Typo,14,339
16,6d59b9f1,FAIL,0,NO,0,NO,0,2009-03-31 17:34:14 +0200,Shuffle stuff around,9,164
17,cd2afa72,FAIL,0,NO,0,NO,0,2009-03-31 17:34:35 +0200,Merge branch 'master' of git://github.com/oc/cucumber_java,14,352
18,25f313ac,SUCCESS,9,SUCCESS,16,FAIL,6,2009-03-31 17:58:56 +0200,more maven wrestling,14,352
19,c4991f09,SUCCESS,7,SUCCESS,10,FAIL,7,2009-04-01 13:32:37 +0200,Added webtest example app,12,338
20,74163d6d,SUCCESS,7,SUCCESS,11,FAIL,5,2009-04-01 13:33:16 +0200,Added profile to run examples,12,338
21,0aeaa9cd,SUCCESS,10,SUCCESS,10,FAIL,6,2009-04-01 13:33:38 +0200,Updated documentation,12,338
22,e8513f78,SUCCESS,7,SUCCESS,8,FAIL,6,2009-04-01 13:35:07 +0200,Updated plugin. Added rudimentary support for gems from github.,12,361
23,d9344478,SUCCESS,7,SUCCESS,8,FAIL,5,2009-04-01 13:36:11 +0200,Updated plugin-config.,12,361
24,bc34974d,SUCCESS,7,SUCCESS,9,FAIL,5,2009-04-01 13:36:57 +0200,Added dependency to celerity and rspec,12,361
25,1112c0b2,SUCCESS,7,SUCCESS,9,SUCCESS,11,2009-04-01 13:37:28 +0200,Added profile for running examples,12,361
26,8226e58e,SUCCESS,7,SUCCESS,9,FAIL,5,2009-04-01 13:41:39 +0200,Reformatted main pom,12,361
27,32e82dca,SUCCESS,7,SUCCESS,9,FAIL,6,2009-04-01 16:44:54 +0200,Cleanup,14,352
28,ef72786e,SUCCESS,7,SUCCESS,10,FAIL,7,2009-04-01 18:38:04 +0200,Formatted pom,12,361
29,05d408c1,SUCCESS,8,SUCCESS,9,FAIL,6,2009-04-01 18:42:16 +0200,Merged pom,12,361
30,6df7490b,SUCCESS,9,SUCCESS,9,FAIL,7,2009-04-02 01:21:40 +0200,Changed names and jruby paths (to something more common I think). oc - any idea how to make this more portable?,12,361
31,5aa37882,SUCCESS,8,SUCCESS,10,FAIL,7,2009-04-02 15:25:32 +0100,Corrected typo,12,361
32,5f8f31b3,SUCCESS,8,SUCCESS,10,SUCCESS,9,2009-04-20 00:07:47 +0200,Fix Ambiguous problem for Cucumber Java,12,374
33,8f75c366,SUCCESS,8,SUCCESS,10,FAIL,6,2009-04-20 00:11:13 +0200,Add a note about changes. Will have to reorg later,12,374
34,15793851,SUCCESS,8,SUCCESS,10,FAIL,6,2009-04-20 15:46:46 +0200,Use latest Cucumber,12,374
35,d0d0f1d4,SUCCESS,8,SUCCESS,9,SUCCESS,10,2009-04-20 21:35:54 +0200,Maven fixes,12,373
