id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,70eee483,FAIL,0,NO,0,NO,0,2012-06-25 12:29:15 -0700,first commit,0,0
1,04892c03,SUCCESS,12,SUCCESS,5,SUCCESS,7,2012-06-25 13:14:31 -0700,"First draft of a new, fast dependency JSR-330 injector.",10,487
2,42be55b7,SUCCESS,5,SUCCESS,6,SUCCESS,6,2012-06-25 13:44:39 -0700,Address pom.xml problems,10,487
3,7a2cbad9,SUCCESS,6,SUCCESS,6,SUCCESS,6,2012-06-26 09:49:29 -0700,Address code review comments from bob@ and edenman@,11,613
4,249a8666,SUCCESS,8,SUCCESS,6,SUCCESS,7,2012-06-26 09:51:43 -0700,Rename Linker.getBinding() to Linker.requestBinding().,11,613
5,b24e44ab,SUCCESS,8,SUCCESS,6,SUCCESS,7,2012-06-26 10:47:18 -0700,More code review comments addressed.,11,614
6,a11eb4ac,SUCCESS,7,SUCCESS,7,SUCCESS,7,2012-06-26 17:53:50 +0000,Merge pull request #1 from square/firstdraft,11,614
7,576136ba,SUCCESS,8,SUCCESS,7,SUCCESS,6,2012-06-26 00:44:59 -0700,"New, very basic Java code generator.",13,946
8,7bfacddc,SUCCESS,9,SUCCESS,6,SUCCESS,6,2012-06-26 13:45:20 -0700,Fix tpyo in 'trailing'.,13,946
9,ee7805fb,SUCCESS,7,SUCCESS,6,SUCCESS,7,2012-06-26 20:45:50 +0000,Merge pull request #2 from square/codegen,13,946
10,2ecf2ed1,SUCCESS,8,SUCCESS,6,SUCCESS,6,2012-06-26 17:05:21 -0700,Add Modules.override().,14,984
11,4b36a047,SUCCESS,6,SUCCESS,8,SUCCESS,6,2012-06-26 17:08:19 -0700,Suppress Modules' default constructor.,14,985
12,5482a558,SUCCESS,7,SUCCESS,8,SUCCESS,6,2012-06-26 17:28:27 -0700,Fix some checkstyle issues.,14,984
13,93bc9710,SUCCESS,8,SUCCESS,7,SUCCESS,7,2012-06-27 15:29:03 +0000,Merge pull request #3 from square/jwilson/modulesoverride,14,984
14,733a7f64,SUCCESS,8,SUCCESS,7,SUCCESS,7,2012-06-27 12:09:06 -0700,Use Strings for Keys.,16,1123
