id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b5f0ec07,FAIL,48,NO,0,NO,0,2019-06-06 15:21:15 +0300,Eclipse Migration Initial Commit,5063,434895
1,32e5cc19,FAIL,17,NO,0,NO,0,2019-06-13 20:40:40 +1000,First round of runtime test improvements (#7875),5071,435552
2,68ea5f36,FAIL,19,NO,0,NO,0,2019-06-15 21:34:34 +1000,Dev branch merge: dev_20190606 (#7904),5074,437269
3,2a1ea247,FAIL,18,NO,0,NO,0,2019-06-18 20:22:07 -0700,Add thousand-separator commas to TotalParams (#7915),5074,437269
4,d3a9e5b4,FAIL,18,NO,0,NO,0,2019-06-22 16:21:27 +1000,Update contributing and issue/PR templates (#7934),5074,437269
5,e2db3856,FAIL,18,NO,0,NO,0,2019-06-24 17:50:17 -0700,Fix link to AdaDelta paper (#7942),5074,437269
6,cae4fc97,FAIL,19,NO,0,NO,0,2019-06-25 12:07:28 +1000,"Fixes, and ignores for known/logged failing issues (#7943)",5074,437289
7,1170827c,FAIL,18,NO,0,NO,0,2019-06-28 01:37:04 +1000,Merge master to upstream (#7945),5087,439484
8,c8c98e1a,FAIL,17,NO,0,NO,0,2019-07-01 05:17:55 +0200,SameDiff variables documentation (#7949),5087,439484
9,66b7c3d6,FAIL,17,NO,0,NO,0,2019-07-02 12:43:07 +0900,Quick start ND4J (#7916),5087,439484
10,595656d0,FAIL,17,NO,0,NO,0,2019-07-08 15:35:21 +0900,fix #7947 (#7985),5087,439484
11,0c48e55f,FAIL,18,NO,0,NO,0,2019-07-09 12:58:50 +0900,Remove duplicate code for append() and prepend() Fix #7983 (#7987),5087,439479
12,85e212fe,FAIL,19,NO,0,NO,0,2019-07-11 18:28:19 +0300,exclude memory tracker for android/ios/macos platforms (#8005),5087,439479
13,deba1e0d,FAIL,23,NO,0,NO,0,2019-07-15 03:07:33 +0900,Update dependencies to just released JavaCPP and JavaCV 1.5.1 (#8004),5087,439479
14,5a0904cb,FAIL,10,NO,0,NO,0,2019-07-16 19:23:37 -0700,Fix getMemoryReport ArrayIndexOutOfBoundsException (#8015),5087,439479
15,9bb11d5b,FAIL,12,NO,0,NO,0,2019-07-18 20:13:56 +0900,Fix OpenMP by replacing pragmas with macros (#8026),5087,439479
16,ee6aae26,FAIL,11,NO,0,NO,0,2019-07-19 20:28:20 -0400,RL4J refac: Added some observation transform classes (#7958),5105,440263
17,0ef373fe,FAIL,10,NO,0,NO,0,2019-07-20 11:05:46 +0900,Nd4j.java javadoc  (#7997),5105,440192
18,cc606340,FAIL,10,NO,0,NO,0,2019-06-27 17:39:07 -0700,added keepDims to INDArray methods (#33),5105,440287
19,c28372cb,FAIL,10,NO,0,NO,0,2019-06-28 21:53:05 +1000,BERT tokenization fixes (#35),5106,440342
