id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,4a3dace,SUCCESS,18,SUCCESS,5,SUCCESS,12,2010-03-22 17:19:30 +0800,(no commit message),39,3765
1,ef9826b,SUCCESS,8,SUCCESS,6,SUCCESS,10,2010-03-24 17:43:47 +0800,Fixes issue 8,39,3765
2,0173a54,SUCCESS,10,SUCCESS,7,SUCCESS,12,2010-03-25 11:22:52 +0800,XXX重命名成TEMP,39,3765
3,500a83c,SUCCESS,9,SUCCESS,7,FAIL,13,2010-04-02 13:10:00 +0800,1.修改Dump和Main以便在程序直接中调用 2.增加将.class转换成.dex的能力（需要android sdk）,40,3772
4,22afcc6,SUCCESS,10,SUCCESS,7,FAIL,11,2010-04-02 13:11:51 +0800,测试不通过的问题,40,3772
5,3bc703f,SUCCESS,9,SUCCESS,7,FAIL,12,2010-04-02 17:37:28 +0800,临时保存,42,3804
6,3f3cdc3,SUCCESS,9,SUCCESS,7,FAIL,11,2010-04-03 01:01:55 +0800,(no commit message),42,3798
7,50efb56,FAIL,7,NO,0,NO,0,2010-04-07 17:38:05 +0800,Starting 'temp' branch,42,3849
8,c40b18b,FAIL,6,NO,0,NO,0,2010-04-07 17:38:23 +0800,(no commit message),82,6849
9,ff5c3ac,FAIL,9,NO,0,NO,0,2010-04-07 21:59:39 +0800,(no commit message),81,6791
10,89d8238,FAIL,9,NO,0,NO,0,2010-04-07 23:39:14 +0800,使用asm analysis进行分析，解决无法区别const_0 和const_null指令的问题,81,6812
11,d0b81e7,SUCCESS,11,SUCCESS,6,FAIL,20,2010-04-08 01:33:22 +0800,(no commit message),82,6877
12,bf2ba2a,SUCCESS,11,SUCCESS,7,FAIL,19,2010-04-08 01:36:19 +0800,Merge with 6825c482e281424834ab256d1fe102ee298c491a,82,6877
13,0a208cc,SUCCESS,10,SUCCESS,7,FAIL,18,2010-04-08 01:44:46 +0800,Added tag 0.0.6 for changeset 9361e645790f,82,6877
14,f7f162b,SUCCESS,9,SUCCESS,6,FAIL,19,2010-04-08 09:26:01 +0800,Starting '0.0.7' branch,82,6877
15,6ebfbbe,SUCCESS,9,SUCCESS,6,FAIL,18,2010-04-08 10:50:09 +0800,"1.修改label的处理方式，使其使用asm的label 2.增强dump,可以显示异常处理相关的Label",82,6900
16,e13ccaf,SUCCESS,9,SUCCESS,6,FAIL,10,2010-04-08 12:32:07 +0800,(no commit message),82,6523
17,b0742b5,SUCCESS,9,SUCCESS,6,FAIL,11,2010-04-08 14:52:18 +0800,全部使用int/long来表示数据float/double无法表示,84,6572
18,48e18f4,SUCCESS,9,SUCCESS,5,FAIL,11,2010-04-08 15:04:53 +0800,改善dump对const的显示支持,84,6576
19,2d38959,SUCCESS,9,SUCCESS,7,FAIL,10,2010-04-09 22:17:26 +0800,1.改善dump显示 2.优化对FILL_ARRAY_DATA指令的优化效果 3.完善对0/null的识别能力(Issue 2),85,6659
20,7f2e527,SUCCESS,9,SUCCESS,5,FAIL,12,2010-04-10 22:11:06 +0800,"1.在处理array相关指令dexInterpreter出错的问题 2.移动用于测试的dex文件位置,便于简化测试",85,6687
21,8356bbc,SUCCESS,8,SUCCESS,6,FAIL,11,2010-04-11 00:35:00 +0800,1.针对OP_ADD_INT_LIT8优化,85,6691
