id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,00b5fa6e,FAIL,0,NO,0,NO,0,2014-05-30 17:39:27 +0800,Initial commit,0,0
1,c425502f,SUCCESS,17,SUCCESS,6,SUCCESS,9,2014-06-01 02:22:45 +0800,first pack,1,2
2,014b614e,SUCCESS,5,SUCCESS,3,SUCCESS,5,2014-06-01 02:29:36 +0800,˵ĵ,1,2
3,d3a11347,SUCCESS,10,SUCCESS,4,SUCCESS,4,2014-06-01 02:34:37 +0800,,1,2
4,abb9db96,SUCCESS,5,SUCCESS,4,SUCCESS,3,2014-06-01 02:40:35 +0800,测试中心评论,1,2
5,985eb397,SUCCESS,5,SUCCESS,4,SUCCESS,4,2014-06-01 02:46:30 +0800,更新 项目信息,1,2
6,d3ba6ad4,SUCCESS,7,SUCCESS,3,SUCCESS,3,2014-06-01 02:48:11 +0800,使用Gb2312,1,2
7,d2200735,SUCCESS,5,SUCCESS,4,SUCCESS,5,2014-06-01 03:01:26 +0800,更新,1,2
8,be52c843,SUCCESS,6,SUCCESS,3,SUCCESS,4,2014-06-01 03:04:56 +0800,re,1,2
9,d147847b,SUCCESS,6,SUCCESS,3,SUCCESS,5,2014-06-01 03:08:35 +0800,re,1,2
10,a29d6def,SUCCESS,5,SUCCESS,3,SUCCESS,4,2014-06-02 02:09:16 +0800,re,1,2
11,32885d87,SUCCESS,6,SUCCESS,5,SUCCESS,4,2014-06-03 19:40:27 +0800,re,0,0
12,4fe44a57,SUCCESS,5,SUCCESS,4,SUCCESS,4,2014-06-03 20:01:22 +0800,+ conf file,1,2
13,0f7fcc1b,SUCCESS,5,SUCCESS,4,SUCCESS,4,2014-06-03 20:24:33 +0800,add dependency,1,2
14,c46a42c4,SUCCESS,7,SUCCESS,4,SUCCESS,4,2014-06-03 20:25:22 +0800,re,1,2
15,15818b4e,SUCCESS,7,SUCCESS,4,SUCCESS,4,2014-06-03 20:27:30 +0800,re,1,2
16,6f5acd63,SUCCESS,5,SUCCESS,5,SUCCESS,4,2014-06-04 12:59:14 +0800,re,1,2
17,d51ec727,SUCCESS,4,SUCCESS,4,SUCCESS,4,2014-06-04 13:01:02 +0800,re,6,89
18,7a1b33d4,SUCCESS,4,SUCCESS,4,SUCCESS,5,2014-06-04 13:04:00 +0800,re,6,89
19,3303e3c9,SUCCESS,4,SUCCESS,5,SUCCESS,5,2014-06-04 13:15:36 +0800,re,6,89
20,4eab2f99,SUCCESS,4,SUCCESS,5,SUCCESS,6,2014-06-04 13:16:57 +0800,re,6,89
21,e58b0385,SUCCESS,4,SUCCESS,5,SUCCESS,5,2014-06-04 13:17:11 +0800,re,6,89
22,054cc830,SUCCESS,5,SUCCESS,6,SUCCESS,4,2014-06-04 13:18:03 +0800,re,6,89
