id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,21ce78b,FAIL,0,NO,0,NO,0,2012-06-01 00:36:22 -0600,first commit,0,0
1,2d98971,FAIL,0,NO,0,NO,0,2012-06-04 01:03:37 -0600,Adding files of library project.,1,705
2,7afa293,FAIL,0,NO,0,NO,0,2012-06-08 19:06:39 -0600,Added untested support for arbitrary list item heights,1,672
3,79e74e0,FAIL,0,NO,0,NO,0,2012-06-09 01:34:57 -0600,Expansion/Collapse of items no longer ruins scroll increment,1,687
4,288a5a4,FAIL,0,NO,0,NO,0,2012-06-09 01:34:57 -0600,Expansion/Collapse of items no longer ruins scroll increment,1,682
5,6f180c5,FAIL,0,NO,0,NO,0,2012-06-09 14:32:33 -0600,Merge remote branch 'origin/master',1,682
6,ee43063,FAIL,0,NO,0,NO,0,2012-06-09 18:42:47 -0600,Fixed recycled src item not expanding in getView,1,682
7,9574cae,FAIL,0,NO,0,NO,0,2012-06-10 00:12:43 -0600,Added margin support,1,686
8,b2d36d4,FAIL,0,NO,0,NO,0,2012-06-10 00:19:17 -0600,Added demo/ sub-project,6,931
9,bac7b04,FAIL,0,NO,0,NO,0,2012-06-11 00:35:32 -0500,Added to README; testing github formatting,6,931
10,8697ce4,FAIL,0,NO,0,NO,0,2012-06-11 00:42:43 -0500,README -> README.md,6,931
11,fbdbc07,FAIL,0,NO,0,NO,0,2012-06-11 15:31:51 -0500,More README documentation,6,931
12,09343b3,FAIL,0,NO,0,NO,0,2012-06-15 11:22:18 -0500,Intermediate commit; improving arbitrary item height behavior,6,1040
13,3080e88,FAIL,0,NO,0,NO,0,2012-06-22 00:57:00 -0600,Updated method for handling arb size items; added dslv.py tool,6,1073
14,dd2507e,FAIL,0,NO,0,NO,0,2012-06-22 01:16:13 -0600,Define acronym DSLV,6,1073
15,2a87c07,FAIL,0,NO,0,NO,0,2012-06-22 01:21:16 -0600,Retabbed DSLV file for better github viewing; attempt 1,6,1073
16,db9fc39,FAIL,0,NO,0,NO,0,2012-06-22 23:10:02 -0600,README grammar fixes,6,1073
17,6453142,FAIL,0,NO,0,NO,0,2012-06-24 17:08:51 -0600,Cleaned up examples and some comments in DSLV,6,1070
18,02bb8bc,FAIL,0,NO,0,NO,0,2012-06-26 23:23:26 -0600,Created subdirs under src/ to reflect package name,6,1070
19,a41751b,FAIL,0,NO,0,NO,0,2012-06-27 21:11:38 -0600,Started adding detailed usage instructions,6,1070
20,660c9ae,FAIL,0,NO,0,NO,0,2012-06-28 00:49:10 -0600,New documentation and cleaned up dslv attributes,6,1073
21,70529b2,FAIL,0,NO,0,NO,0,2012-06-28 00:58:30 -0600,Doc fixes,6,1073
22,011eb52,FAIL,0,NO,0,NO,0,2012-07-17 22:40:04 -0600,Fixed: Issues #2 and #4,6,1074
23,d3c1b46,FAIL,0,NO,0,NO,0,2012-07-19 23:42:43 -0600,Previous fix for issue #2 introduced bug--squashed,6,1074
24,e4e0c64,FAIL,0,NO,0,NO,0,2012-07-19 23:57:21 -0600,README update: debugging enabled by XML attribute,6,1074
25,cc2e402,FAIL,0,NO,0,NO,0,2012-07-20 10:11:39 -0600,Fix typo in README,6,1074
26,2321b6f,FAIL,0,NO,0,NO,0,2012-07-23 10:55:40 -0600,Remove more jumpy drag-scroll + minor changes,6,1087
27,bfaa3b3,FAIL,0,NO,0,NO,0,2012-07-23 23:19:34 -0600,Remove flicker on initial drag from src position,6,1093
28,1aa2031,FAIL,0,NO,0,NO,0,2012-08-07 18:42:16 -0700,Fix #7: Cancel drag-sort when Adapter is replaced,6,1094
29,d21f2c8,FAIL,0,NO,0,NO,0,2012-08-10 02:34:17 +0100,"When the drag starts, the parent no longer intercepts our touch events",6,1076
30,839b622,FAIL,0,NO,0,NO,0,2012-08-10 02:20:51 +0100,Fixes drag-scroll regions,6,1088
31,07d96ee,FAIL,0,NO,0,NO,0,2012-08-09 20:40:58 -0700,Merge pull request #10 from heavyplayer/intercept_touch_event_fix,6,1076
32,c969de0,FAIL,0,NO,0,NO,0,2012-08-09 22:05:41 -0700,Merge remote-tracking branch 'heavyplayer/drag_scroll_regions_fix',6,1076
33,a9e25b9,FAIL,0,NO,0,NO,0,2012-08-09 22:12:35 -0700,Roll back MATCH_PARENT to FILL_PARENT,6,1076
34,30849b1,FAIL,0,NO,0,NO,0,2012-08-14 11:47:20 -0700,Add short list demo,7,1115
35,c8e52ef,FAIL,0,NO,0,NO,0,2012-08-23 13:35:39 -0600,Fix #14: left float alignment with margins/padding,8,1136
36,14ad9d8,FAIL,0,NO,0,NO,0,2012-08-24 11:11:41 -0600,Add zip/tar.gz packaging tool,8,1136
37,6baa052,FAIL,0,NO,0,NO,0,2012-08-24 11:58:05 -0600,Fix #15: visible source item while dragging,8,1137
38,bd43110,FAIL,0,NO,0,NO,0,2012-08-30 00:28:46 -0700,Draw divider on expanded item while dragging,8,1160
39,2857a1a,FAIL,0,NO,0,NO,0,2012-08-30 00:36:43 -0700,Remove debug logging in divider draw,8,1159
40,a9cd919,FAIL,0,NO,0,NO,0,2012-08-30 23:03:44 +0200,Correctly handle SLIDELEFT + Correct rare crash,8,1171
