id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,705be2bb,FAIL,0,NO,0,NO,0,2011-05-09 18:55:45 -0700,Merge branch 'release/0.0.4' into development,0,0
1,662010f5,FAIL,0,NO,0,NO,0,2011-05-09 18:55:57 -0700,Bump to 0.0.5-SNAPSHOT.,0,0
2,2b2c23d5,FAIL,0,NO,0,NO,0,2011-05-10 03:12:56 -0700,added link to example application repository from README,0,0
3,6fbf9def,FAIL,0,NO,0,NO,0,2011-05-10 07:37:19 -0700,Merge pull request #3 from tommorris/patch-1,0,0
4,dd7a69ff,FAIL,0,NO,0,NO,0,2011-01-18 10:12:03 -0800,Initial commit.,0,0
5,fb4ab694,FAIL,0,NO,0,NO,0,2011-01-19 11:39:32 -0800,Make sure our GuiceContainer is a singleton.,0,0
6,8071650a,FAIL,0,NO,0,NO,0,2011-01-19 11:40:19 -0800,"Start assembling things via Guice, with service-specific mixins.",0,0
7,d8f3e816,FAIL,0,NO,0,NO,0,2011-01-19 11:50:03 -0800,"Configure logging, *then* log.",0,0
8,40fc1489,FAIL,0,NO,0,NO,0,2011-01-19 11:52:04 -0800,Add better toString implementations of the built-in modules.,0,0
9,e59fd0f2,FAIL,0,NO,0,NO,0,2011-01-19 11:54:36 -0800,"Added a readme, such as it is.",0,0
10,4f130119,FAIL,0,NO,0,NO,0,2011-01-19 16:37:42 -0800,Added GuiceModule and GuiceServletModule.,0,0
11,701c26a6,FAIL,0,NO,0,NO,0,2011-01-27 09:35:54 -0800,Upgraded to Jersey 1.5 final and Jersey-Scala 0.1.2.,0,0
12,fed9be0d,FAIL,0,NO,0,NO,0,2011-03-02 13:52:51 -0800,Upgraded dependencies.,0,0
13,b3baef3e,FAIL,0,NO,0,NO,0,2011-03-10 13:34:57 -0800,Push to internal Yammer repo for now.,0,0
14,059dc878,FAIL,0,NO,0,NO,0,2011-03-11 14:12:33 -0800,Freshen things.,0,0
15,e427e1b5,FAIL,0,NO,0,NO,0,2011-03-11 17:41:13 -0800,Added service actions.,0,0
16,b18090de,FAIL,0,NO,0,NO,0,2011-03-14 15:09:50 -0700,Added usage notes.,0,0
17,1aa0c5cf,FAIL,0,NO,0,NO,0,2011-03-14 15:10:09 -0700,Added LoggingExceptionMapper.,0,0
18,8d1645a5,FAIL,0,NO,0,NO,0,2011-03-14 16:10:34 -0700,Fix compilation error in Service.,0,0
19,4d84d4b6,FAIL,0,NO,0,NO,0,2011-03-14 16:24:03 -0700,Added a fuller example configuration.,0,0
20,5ae9f971,FAIL,0,NO,0,NO,0,2011-03-14 16:24:28 -0700,Added the ability to configure connector type.,0,0
21,e581d9c4,FAIL,0,NO,0,NO,0,2011-03-14 16:37:46 -0700,Bump to Jetty 7.3.1.,0,0
22,459c0ed5,FAIL,0,NO,0,NO,0,2011-03-14 17:28:45 -0700,Include jetty-server to pin all the various Jetty libs to our version.,0,0
23,5af18a67,FAIL,0,NO,0,NO,0,2011-03-14 19:14:44 -0700,Bump metrics to 2.0.0-BETA9.,0,0
24,00b21906,FAIL,0,NO,0,NO,0,2011-03-14 21:11:16 -0700,Fix my punctuation.,0,0
25,1a888a91,FAIL,0,NO,0,NO,0,2011-03-14 21:12:11 -0700,Be honest about our flaws.,0,0
26,ef95f93e,FAIL,0,NO,0,NO,0,2011-03-14 21:12:53 -0700,Bump version to 0.0.1.,0,0
27,e3efe5ec,FAIL,0,NO,0,NO,0,2011-03-14 21:13:04 -0700,Merge branch 'release/0.0.1',0,0
28,270191c5,FAIL,0,NO,0,NO,0,2011-03-14 21:13:09 -0700,Merge branch 'release/0.0.1' into development,0,0
29,23b5bc1d,FAIL,0,NO,0,NO,0,2011-03-14 21:15:10 -0700,Bump version to 0.0.2-SNAPSHOT.,0,0
30,4bf5403d,FAIL,0,NO,0,NO,0,2011-03-15 16:24:00 -0700,Use our own implicits for our own modules.,0,0
31,4e7b26d6,FAIL,0,NO,0,NO,0,2011-03-16 15:56:31 -0700,Complete and total rejigger of everything.,0,0
32,ede0b07b,FAIL,0,NO,0,NO,0,2011-03-16 18:07:16 -0700,Actually include commons-cli. Derp.,0,0
33,867f633b,FAIL,0,NO,0,NO,0,2011-03-17 09:38:24 -0700,An attempt to salvage the JAR syntax stuff.,0,0
34,12e2708c,FAIL,0,NO,0,NO,0,2011-03-17 09:51:51 -0700,Added descriptions to commands.,0,0
35,0358928a,FAIL,0,NO,0,NO,0,2011-03-17 17:25:38 -0700,Overhaul the CLI stuff some more.,0,0
36,7cd3fc72,FAIL,0,NO,0,NO,0,2011-03-22 00:55:39 -0700,Moved JarAware into the util package.,0,0
37,eafa382f,FAIL,0,NO,0,NO,0,2011-03-23 17:45:53 -0700,Service doesn't need an injector any more.,0,0
38,1f003419,FAIL,0,NO,0,NO,0,2011-03-23 17:50:45 -0700,Scream bloody murder if they haven't registered a health check.,0,0
