error,count
,790
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlEvalVisitorImpl cannot be cast to com.alibaba.druid.sql.dialect.sqlserver.visitor.SQLServerASTVisitor,2
TODO ALTER ALTER,1
error LPAREN,1
error VIEW,1
"TODO IDENTIFIER AUTO_INCREMENT, pos 29",2
"TODO LITERAL_CHARS New York, pos 28",1
"syntax error, expect LPAREN, actual IDENTIFIER t1, pos 27",2
"syntax error, expect LPAREN, actual IDENTIFIER t1, pos 45",1
"syntax error, expect LPAREN, actual IDENTIFIER offer, pos 42",1
"sql injection violation, create table not allow : CREATE TABLE sequence_seed (value INTEGER, name VARCHAR(50))",4
Error creating bean with name &#x27;dataSourceExporter&#x27; defined in class path resource [com/alibaba/druid/pool/dataSource.xml]: Invocation of init method failed; nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [com.alibaba.druid.wall.WallConfig@c3051ba] with key &#x27;com.alibaba.druid.test:type=WallConfig&#x27;; nested exception is javax.management.InstanceAlreadyExistsException: com.alibaba.druid.test:type=WallConfig,1
Error creating bean with name &#x27;dataSourceExporter&#x27; defined in class path resource [com/alibaba/druid/pool/dataSource.xml]: Invocation of init method failed; nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [com.alibaba.druid.wall.WallConfig@176979b5] with key &#x27;com.alibaba.druid.test:type=WallConfig&#x27;; nested exception is javax.management.InstanceAlreadyExistsException: com.alibaba.druid.test:type=WallConfig,1
Error creating bean with name &#x27;dataSourceExporter&#x27; defined in class path resource [com/alibaba/druid/pool/dataSource.xml]: Invocation of init method failed; nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [com.alibaba.druid.wall.WallConfig@5673b444] with key &#x27;com.alibaba.druid.test:type=WallConfig&#x27;; nested exception is javax.management.InstanceAlreadyExistsException: com.alibaba.druid.test:type=WallConfig,1
Error creating bean with name &#x27;dataSourceExporter&#x27; defined in class path resource [com/alibaba/druid/pool/dataSource.xml]: Invocation of init method failed; nested exception is org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [com.alibaba.druid.wall.WallConfig@686ee191] with key &#x27;com.alibaba.druid.test:type=WallConfig&#x27;; nested exception is javax.management.InstanceAlreadyExistsException: com.alibaba.druid.test:type=WallConfig,1
"syntax error, expect RPAREN, actual CHECK CHECK, pos 83",1
com.alibaba.druid.filter.stat.StatFilter cannot be cast to com.alibaba.druid.filter.Filter,8
com.alibaba.druid.filter.logging.Log4jFilter cannot be cast to com.alibaba.druid.filter.Filter,7
TODO FOREIGN foreign,1
TODO FOREIGN FOREIGN,2
