id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,d22223d3,FAIL,0,NO,0,NO,0,2011-10-20 15:04:29 +0000,Create trunk,0,0
1,10052d46,FAIL,4,NO,0,NO,0,2011-10-20 15:06:57 +0000,Add 2.0.7,463,21947
2,0234dd23,FAIL,2,NO,0,NO,0,2011-10-20 15:31:57 +0000,Modify pom,463,21947
3,7fd996cf,FAIL,2,NO,0,NO,0,2011-10-20 15:39:42 +0000,Modify pom,463,21947
4,28ec84c7,FAIL,2,NO,0,NO,0,2011-10-20 15:45:11 +0000,Modify pom,463,21947
5,80bfb22e,FAIL,2,NO,0,NO,0,2011-10-20 18:26:53 +0000,Modify pom,463,21947
6,1352d468,FAIL,2,NO,0,NO,0,2011-10-20 18:32:41 +0000,Modify pom,463,21947
7,10f3cc8d,FAIL,3,NO,0,NO,0,2011-10-20 19:04:50 +0000,Fix monitor bug.,463,21947
8,987553f1,FAIL,2,NO,0,NO,0,2011-10-20 19:20:27 +0000,Fix monitor bug.,463,21950
9,c63309c1,FAIL,3,NO,0,NO,0,2011-10-20 19:41:12 +0000,Fix monitor bug.,463,21949
10,00041ae1,FAIL,3,NO,0,NO,0,2011-10-20 19:51:52 +0000,Fix monitor bug.,463,21949
11,89b786b1,FAIL,3,NO,0,NO,0,2011-10-21 05:24:53 +0000,change pom version,463,21949
12,2b276964,FAIL,3,NO,0,NO,0,2011-10-21 05:45:27 +0000,addParameter时，Null value 不存入,463,21953
13,4a32ce2f,FAIL,4,NO,0,NO,0,2011-10-21 06:08:25 +0000,ExtensionLoader的Service文件中允许有注释,463,21953
14,26c73ae1,FAIL,3,NO,0,NO,0,2011-10-21 06:09:50 +0000,ExtensionLoader的Service文件中允许有注释,463,21953
15,bffa027d,FAIL,3,NO,0,NO,0,2011-10-21 06:15:33 +0000,指定编码读文件,463,21953
16,7f32ab5a,FAIL,4,NO,0,NO,0,2011-10-21 07:41:44 +0000,- AdaptiveInstance创建后，之后的getAdaptiveInstance不再去调用createAdaptiveClass方法 - UT添加,463,21953
17,2bbc41c0,FAIL,3,NO,0,NO,0,2011-10-24 08:37:46 +0000,修改监控,463,21953
18,e354e818,FAIL,3,NO,0,NO,0,2011-10-24 09:34:27 +0000,修改版权声明,463,21953
19,5c02f841,FAIL,3,NO,0,NO,0,2011-10-24 12:21:18 +0000,"DUBBO-1 Change schema element ""sent"" default value to false",463,21953
20,fa1be211,FAIL,4,NO,0,NO,0,2011-10-25 05:23:56 +0000,修改注释,463,21953
21,3f34281f,FAIL,4,NO,0,NO,0,2011-10-25 06:34:28 +0000,URL增加encode和decode函数,463,21958
22,6ffe4400,FAIL,4,NO,0,NO,0,2011-10-25 08:09:32 +0000,解决setcallback 时可能出现的并发问题 DUBBO-750,463,21970
23,472e91a4,FAIL,3,NO,0,NO,0,2011-10-25 09:18:22 +0000,DUBBO-508 remoting:把连接的listener改成await,463,21970
24,33a7e60f,FAIL,4,NO,0,NO,0,2011-10-25 09:40:33 +0000,去掉不必要的Wrapper,463,21970
25,ac31f7d4,FAIL,3,NO,0,NO,0,2011-10-25 11:55:55 +0000,增加开源模块,463,21971
26,a65e71c7,FAIL,4,NO,0,NO,0,2011-10-25 11:58:46 +0000,增加开源模块,463,21971
27,65bcf574,FAIL,4,NO,0,NO,0,2011-10-26 01:41:28 +0000,拆分模块,477,22825
28,2174bfde,FAIL,3,NO,0,NO,0,2011-10-26 01:45:38 +0000,合并变更,477,22825
29,2c9911de,FAIL,4,NO,0,NO,0,2011-10-26 02:18:06 +0000,拆分模块,473,22303
30,a058b67d,FAIL,3,NO,0,NO,0,2011-10-26 02:24:03 +0000,拆分模块,473,22303
31,eba019a7,FAIL,4,NO,0,NO,0,2011-10-26 02:25:54 +0000,拆分模块,473,22303
32,979e1164,FAIL,4,NO,0,NO,0,2011-10-26 02:49:32 +0000,拆分模块,473,22303
33,b7a5dc6a,FAIL,4,NO,0,NO,0,2011-10-26 02:49:44 +0000,拆分模块,473,22301
34,8c2cb77c,FAIL,4,NO,0,NO,0,2011-10-26 02:52:06 +0000,拆分模块,473,22301
35,3ef17b61,FAIL,4,NO,0,NO,0,2011-10-26 03:04:29 +0000,拆分模块,474,22349
36,30b87567,FAIL,3,NO,0,NO,0,2011-10-26 03:22:56 +0000,拆分模块,474,22349
37,8b85378c,FAIL,3,NO,0,NO,0,2011-10-26 03:23:00 +0000,拆分模块,474,22349
