id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,f6429859,SUCCESS,50,SUCCESS,16,FAIL,164,2015-10-09 17:59:23 +0800,fix set ConnectionTimeoutMilliseconds bug at ZookeeperRegistryCenter,121,3793
1,338c19a3,SUCCESS,15,SUCCESS,14,FAIL,158,2015-10-09 17:59:52 +0800,Merge branch 'master' of https://github.com/dangdangdotcom/elastic-job.git,121,3793
2,b75cf529,SUCCESS,11,SUCCESS,12,FAIL,300,2015-10-09 22:11:33 +0800,add save offset for Perspetual and SequencePerspetual job,123,3864
3,680fb6c6,SUCCESS,15,SUCCESS,14,FAIL,155,2015-10-09 22:25:54 +0800,Update README.md,123,3864
4,3387ae88,SUCCESS,14,SUCCESS,14,FAIL,300,2015-10-09 22:27:33 +0800,Update README_en.md,123,3864
5,cdc028f9,SUCCESS,18,SUCCESS,15,FAIL,301,2015-10-09 22:34:25 +0800,Update README.md,123,3864
6,2a0e6477,SUCCESS,18,SUCCESS,15,FAIL,168,2015-10-10 15:43:37 +0800,Update README.md,123,3864
7,2dd69d1a,SUCCESS,16,SUCCESS,15,FAIL,162,2015-10-10 15:44:10 +0800,Update README_en.md,123,3864
8,35ab6f88,SUCCESS,19,SUCCESS,15,FAIL,162,2015-10-13 13:27:53 +0800,update .gitignore file,123,3864
9,09f9dccb,SUCCESS,18,SUCCESS,15,FAIL,169,2015-10-13 15:10:59 +0900,Merge pull request #7 from taojintianxia/patch-2,123,3864
10,2d1e3de5,SUCCESS,16,SUCCESS,16,FAIL,301,2015-10-14 13:43:09 +0800,add misfire option,123,3873
11,fe6bb404,SUCCESS,17,SUCCESS,15,FAIL,169,2015-10-14 17:02:01 +0800,[功能提升]分片排序策略可配置化 #9,125,3919
12,e5858d91,SUCCESS,18,SUCCESS,14,FAIL,301,2015-10-14 19:43:32 +0800,"[Improve] Add new sharding strategy, use odevity of job name's hash code to decide ip address asc or desc #10",126,3948
13,a8d063fd,SUCCESS,19,SUCCESS,17,FAIL,167,2015-10-14 20:47:40 +0800,move sharing strategy to plugin package,126,3954
14,a6046a3d,SUCCESS,18,SUCCESS,14,FAIL,301,2015-10-14 22:04:08 +0800,fix comments,126,3954
15,2321b412,SUCCESS,17,SUCCESS,17,FAIL,169,2015-10-14 22:08:39 +0800,update readme,126,3954
16,3b8a9dc4,SUCCESS,17,SUCCESS,16,FAIL,171,2015-10-15 13:35:10 +0800,Check time diff between job server and register center #6,126,3976
17,3d5dbe6f,SUCCESS,16,SUCCESS,16,FAIL,179,2015-10-15 15:25:50 +0800,add test case for some exception,129,4006
18,c815dcd0,SUCCESS,18,SUCCESS,17,FAIL,166,2015-10-15 18:09:46 +0800,add RotateServerByNameJobShardingStrategy,127,3990
19,7a018c17,SUCCESS,18,SUCCESS,15,FAIL,175,2015-10-15 19:06:49 +0800,Merge pull request #11 from weishubin/dev,130,4042
20,c99ba2e8,SUCCESS,18,SUCCESS,16,FAIL,177,2015-10-15 20:17:01 +0800,fix for checkstyle,130,4042
21,d7940864,SUCCESS,19,SUCCESS,17,FAIL,173,2015-10-19 16:30:20 +0800,Fixed issue #14.,130,4048
22,b8c88cd5,SUCCESS,18,SUCCESS,15,FAIL,182,2015-10-21 14:22:37 +0800,add comment,130,4048
23,7b949ebb,SUCCESS,19,SUCCESS,16,FAIL,170,2015-10-21 14:29:09 +0800,Fixed issue #13,130,4048
24,7effef99,SUCCESS,17,SUCCESS,16,FAIL,186,2015-10-21 21:28:09 +0800,"put job type to plugin, change perpetual-job to stream-job, add not-stream job type. Deprecate old api for job type.",135,4203
25,5cabe681,SUCCESS,18,SUCCESS,17,FAIL,185,2015-10-21 21:33:45 +0800,Update README.md,135,4203
26,be44d99b,SUCCESS,20,SUCCESS,15,FAIL,185,2015-10-21 21:35:30 +0800,Update README_en.md,135,4203
27,2be5570d,SUCCESS,18,SUCCESS,16,FAIL,192,2015-10-21 23:09:44 +0800,Update README.md,135,4203
28,f26d7dc7,SUCCESS,17,SUCCESS,15,FAIL,184,2015-10-24 01:59:39 +0800,任务列表显示增加cron表达式,135,4205
29,3876fa7d,SUCCESS,19,SUCCESS,14,FAIL,193,2015-10-24 09:03:21 +0800,Merge pull request #21 from kris1985/master,135,4205
30,716f5fac,SUCCESS,19,SUCCESS,16,FAIL,186,2015-10-26 11:30:34 +0800,refactor ip v6 method,135,4205
31,cde00cfb,SUCCESS,18,SUCCESS,14,FAIL,185,2015-10-26 12:44:59 +0800,fixed #17,135,4206
32,79e2ae89,SUCCESS,19,SUCCESS,18,FAIL,193,2015-10-26 13:27:42 +0800,upgrade to 1.0.2,135,4206
33,d6d1d06b,SUCCESS,17,SUCCESS,15,FAIL,182,2015-10-26 17:48:05 +0800,Update README.md,135,4206
34,37405a3d,SUCCESS,18,SUCCESS,17,FAIL,190,2015-10-26 18:12:46 +0800,Update README.md,135,4206
35,dd524cba,SUCCESS,19,SUCCESS,18,FAIL,301,2015-10-26 18:13:20 +0800,Update README_en.md,135,4206
36,41f6acc4,SUCCESS,20,SUCCESS,18,FAIL,191,2015-10-26 18:14:26 +0800,Update README_en.md,135,4206
37,de83fdac,SUCCESS,18,SUCCESS,15,FAIL,182,2015-10-26 20:49:30 +0800,Update README.md,135,4206
38,d423d9c3,SUCCESS,18,SUCCESS,14,FAIL,189,2015-10-26 20:57:58 +0800,Update README.md,135,4206
39,07ae762b,SUCCESS,20,SUCCESS,15,FAIL,301,2015-10-26 20:58:25 +0800,Update README_en.md,135,4206
40,91fc31ab,SUCCESS,18,SUCCESS,16,FAIL,192,2015-10-26 21:14:04 +0800,upgrage to 1.0.3-SNAPSHOT,135,4206
41,18869b92,SUCCESS,18,SUCCESS,15,FAIL,183,2015-10-26 21:36:12 +0800,fixed #22,135,4206
42,b83dd1b0,SUCCESS,19,SUCCESS,17,FAIL,183,2015-10-26 21:56:52 +0800,Update README.md,135,4206
