error,count
,1170
"not close json text, token : }",2
"create asm deserializer error, com.alibaba.json.test.bvt.MaterializedInterfaceTest$Bean",3
"set property error, com.alibaba.fastjson.util.FieldInfo@41853299",1
"set property error, com.alibaba.fastjson.util.FieldInfo@fe7b6b0",1
"create instance error, class com.alibaba.json.test.bvt.bug.Bug_for_SpitFire$AbstractDTO",1
"(class: Fastjson_ASM_Entity_220, method: deserialze signature: (Lcom/alibaba/fastjson/parser/DefaultJSONParser;Ljava/lang/reflect/Type;Ljava/lang/Object;)Ljava/lang/Object;) Inconsistent stack height 2 != 0",1
I,3
"set property error, list",2
"create asm serilizer error, class class data.media.MediaContent",4
"create asm serilizer error, class class com.alibaba.json.test.bvt.bug.Bug_101_for_rongganlin_case2$Structure",1
Duplicate field name &quot;media_asm_prefix__&quot; with signature &quot;[C&quot; in class file Fastjson_ASM_MediaContent_250,2
Duplicate field name &quot;media_asm_prefix__&quot; with signature &quot;[C&quot; in class file Fastjson_ASM_MediaContent_193,2
/usr/local/openjdk-8/jre/lib/amd64/libfontmanager.so: libfreetype.so.6: cannot open shared object file: No such file or directory,3255
Could not initialize class sun.awt.X11FontManager,3255
"syntax error, blue",294
write javaBean error,507
not match &#x27;:&#x27; - &amp;#26;,2
[D cannot be cast to [Ljava.lang.Object;,1
[B cannot be cast to [Ljava.lang.Object;,1
"Found class java.util.ArrayList, but interface was expected",2
"create asm serializer error, class class com.alibaba.json.bvt.bug.Bug_KimShen$Entity",2
"create asm serializer error, class class com.alibaba.json.bvt.asm.ASMDeserTest$VO",2
"create asm serializer error, class class com.alibaba.json.bvt.asm.ASMDeserTest2$VO",2
name_asm_fieldType,5
syntax error : className,2324
"set property error, monitorItems",133
"create instance error, public com.alibaba.json.bvt.ref.TestRef3$Entity(int,com.alibaba.json.bvt.ref.TestRef3$Child)",136
"setter not found, class com.alibaba.json.bvt.parser.deser.FieldDeserializerTest2$Entity, property value",211
com.alibaba.json.bvt.parser.deser.AbstractSerializeTest$B cannot be cast to com.alibaba.json.bvt.parser.deser.AbstractSerializeTest2$B,3
"syntax error, position at 0, name id",6
String index out of range: 26,1
String index out of range: 11,1
not match &#x27;:&#x27; - i,6
String index out of range: 73,1
not match &#x27;:&#x27; - f,5
"syntax error, expect {, actual Unkown, pos 0",5
unclosed.str,5
not match &#x27;:&#x27; - o,5
String index out of range: 4,44
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_byte$V0",3
"create asm serializer error, class class com.alibaba.json.bvt.TestMultiLevelClass$A",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_long$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.TestMultiLevelClass2$A",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_Long_0$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_Byte_0$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.serializer.CircularReferencesTest$A",6
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_short$V0",3
"create asm serializer error, class class com.alibaba.json.bvt.serializer.PropertyPathTest$A",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_Short_0$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_int$V0",2
toJSON error,15
"create asm serializer error, class class com.alibaba.json.bvt.writeClassName.WriteClassNameTest2$A",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_Integer$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.serializer.JSONSerializerTest$B",4
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_Date$V0",2
"create asm serializer error, class class com.alibaba.json.bvt.bug.Bug2$Entity",1
"create asm serializer error, class class com.alibaba.json.bvt.parser.DefaultExtJSONParserTest$User",1
"create asm serializer error, class class com.alibaba.json.bvt.bug.Bug_for_leupom_2$Time",2
"create asm serializer error, class class data.media.MediaContent",2
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM$Department",1
"create asm serializer error, class class com.alibaba.json.bvt.fullSer.is_set_test_2$VO",1
"create asm serializer error, class class com.alibaba.json.bvt.bug.Bug_for_dragoon26_1$MonitorItemAlarmRule",1
"create asm serializer error, class class com.alibaba.json.bvt.serializer.DoubleTest$VO",1
"create asm serializer error, class class com.alibaba.json.bvt.serializer.PropertyPathTest3$Person",1
"create asm serializer error, class class com.alibaba.json.bvt.bug.bug_for_caoyaojun1988$ReportDto",1
"create asm serializer error, class class com.alibaba.json.bvt.PublicFieldDoubleTest$VO",1
"create asm serializer error, class class com.alibaba.json.bvt.parser.deser.TestASM_char$V0",1
"create asm serializer error, class class com.alibaba.json.bvt.serializer.NameFilterTest_boolean$Bean",1
"create asm serializer error, class class com.alibaba.json.bvt.serializer.PropertyFilter_char$A",3
"create asm serializer error, class class com.alibaba.json.bvt.FeaturesTest7$Entity",1
"create asm serializer error, class class com.alibaba.json.bvt.serializer.JSONSerializerTest2$A",2
"create asm serializer error, class class com.alibaba.json.bvt.serializer.NameFilterTest_char$Bean",1
"create asm serializer error, class class java.lang.StackTraceElement",2
"create asm serializer error, class class com.alibaba.json.bvt.bug.Bug_for_dragoon26$MonitorItem",1
