id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,4f29bc8a,FAIL,0,NO,0,NO,0,2006-08-22 22:58:01 +0000,Initial directory structure.,0,0
1,66b415a2,FAIL,0,NO,0,NO,0,2006-08-25 02:01:19 +0000,Initial checkin.,37,1955
2,249d6911,FAIL,0,NO,0,NO,0,2006-08-25 02:06:25 +0000,Setting mime type for documentation.,37,1955
3,263c5bca,FAIL,0,NO,0,NO,0,2006-11-16 18:39:55 +0000,"Added alias methods to container builder, added npe check when retrieving a factory",37,1974
4,07e4182e,FAIL,0,NO,0,NO,0,2006-11-21 01:27:08 +0000,Added type conversion for constants. Optimized ReferenceCache.,42,2180
5,953aa44a,FAIL,0,NO,0,NO,0,2006-11-22 23:59:40 +0000,Make it possible to inject constant instances,42,2180
6,6ab7e1f5,FAIL,0,NO,0,NO,0,2006-12-02 00:20:36 +0000,Refactoring binding API. Adding support for generic types.,46,2274
7,ed8825fb,FAIL,0,NO,0,NO,0,2006-12-06 01:28:10 +0000,Refactoring binding API. Adding support for generic types.,46,2299
8,d42a05b2,FAIL,0,NO,0,NO,0,2006-12-07 01:00:33 +0000,Added key tests and code to convert to raw keys.,46,2303
9,41bc8528,FAIL,0,NO,0,NO,0,2006-12-08 07:06:55 +0000,"Added TypeToken. Refactored Key to use it. Goodbye, raw types!",48,2384
10,b9446686,FAIL,0,NO,0,NO,0,2006-12-11 07:16:41 +0000,Refactoring binding API. Adding support for generic types.,51,2422
11,7c5b2c4e,FAIL,0,NO,0,NO,0,2007-01-20 02:05:20 +0000,Refactored ContainerBuilder API. Added support for generic types.,49,2429
12,161e6275,FAIL,0,NO,0,NO,0,2007-01-20 02:08:45 +0000,Regenerated Javadocs.,49,2429
13,bb8e585f,FAIL,0,NO,0,NO,0,2007-01-20 02:12:35 +0000,Set HTML mime types.,49,2429
14,4c90ac0b,FAIL,0,NO,0,NO,0,2007-01-20 02:17:36 +0000,Fixed mime types.,49,2429
15,fe2f1675,FAIL,0,NO,0,NO,0,2007-01-22 04:16:18 +0000,Added missing file.,50,2460
16,63b592b8,FAIL,0,NO,0,NO,0,2007-01-25 02:45:24 +0000,Redesigned scopes to enable custom implementations. Renamed DependencyException to ConfigurationException. Cleaned up Container's interface. It now returns a Factory instead of a direct instance so clients don't have to keep passing in the paramters resulting in a map lookup. Added support for injecting Factory<T> where T is any bound type.,54,2452
17,abfd5463,FAIL,0,NO,0,NO,0,2007-01-25 02:46:06 +0000,Removed old Javadocs.,54,2452
18,f6389287,FAIL,0,NO,0,NO,0,2007-01-25 02:47:37 +0000,Updated Javadocs.,54,2452
19,b052dd80,FAIL,0,NO,0,NO,0,2007-01-25 22:33:56 +0000,Minor performance enhancements (removed unnecessary object creations).,54,2444
20,70eb0331,FAIL,0,NO,0,NO,0,2007-01-25 22:37:29 +0000,Restored Spring performance comparison to working order.,54,2457
21,664a82ed,FAIL,0,NO,0,NO,0,2007-01-25 23:09:51 +0000,Used cglib for critical constructor and method invocations boosting overall performance by about 40%.,54,2461
22,e9f0fa57,FAIL,0,NO,0,NO,0,2007-01-25 23:26:11 +0000,Added comment to performance test.,54,2461
23,fc9337f9,FAIL,0,NO,0,NO,0,2007-01-26 00:51:34 +0000,Added code to automatically convert between primitive types and their wrapper types. Modified SingletonScope to use double checked locking which resulted in a noticable performance improvement.,54,2500
24,78e1cc17,FAIL,0,NO,0,NO,0,2007-01-26 02:18:06 +0000,Removed return types in ConstantBindingBuilder and LinkedBindingBuilder. Updated Javadocs.,54,2498
25,7fb1d7fc,FAIL,0,NO,0,NO,0,2007-01-29 20:57:13 +0000,Removed unnecessary interface.,53,2495
26,f1ba2b51,FAIL,0,NO,0,NO,0,2007-01-29 21:19:53 +0000,Modified Container to return a 'creator' or new instance factory. This helps clients avoid a concurrent map lookup each time they inject a class. Also fixed typing of Key.getRawType() and undeprecated it.,53,2494
27,9e5fe5d5,FAIL,0,NO,0,NO,0,2007-01-29 21:59:12 +0000,Added a hand coded implementation to the performance comparison.,53,2511
