id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,5128a9a4,FAIL,0,NO,0,NO,0,2009-05-19 04:20:40 +0000,HADOOP-4687 Moving src directories on branch,323,28727
1,c94ff0f2,FAIL,0,NO,0,NO,0,2009-05-19 04:30:38 +0000,HADOOP-4687 More moving around,323,28727
2,abe7be91,FAIL,0,NO,0,NO,0,2009-05-19 04:35:56 +0000,HADOOP-4687 Moving directories around,422,36143
3,cab0a4bf,FAIL,0,NO,0,NO,0,2009-05-19 04:45:07 +0000,HADOOP-4687 split the contrib dirs,488,41225
4,c967cef4,FAIL,0,NO,0,NO,0,2009-05-19 04:53:47 +0000,HADOOP-4687 move more src dirs,488,41225
5,95a0db60,FAIL,0,NO,0,NO,0,2009-05-19 04:56:52 +0000,HADOOP-4687. move test dirs,505,44840
6,ac670cc4,FAIL,0,NO,0,NO,0,2009-05-26 18:27:23 +0000,Fixed basic hadoop core targets,604,52256
7,bd524bd9,FAIL,0,NO,0,NO,0,2009-05-27 14:48:04 +0000,move test and xml files,587,48641
8,a72da113,FAIL,0,NO,0,NO,0,2009-05-27 14:50:36 +0000,remove webapps,587,48641
9,7e7fd2ce,FAIL,0,NO,0,NO,0,2009-05-28 14:55:35 +0000,fixed test test-core and test-contrib targets,488,41225
10,c984f6c7,FAIL,0,NO,0,NO,0,2009-06-01 06:11:05 +0000, Fix jdiff and javadoc target,488,41225
11,01d81f4e,FAIL,0,NO,0,NO,0,2009-06-01 09:54:21 +0000, To fix test targets,488,41225
12,bb957bd2,FAIL,0,NO,0,NO,0,2009-06-01 16:06:19 +0000,Fix test-patch.sh script for eclipse classpath verification,488,41225
13,5c7b7ada,FAIL,0,NO,0,NO,0,2009-06-01 21:10:16 +0000,HADOOP-4687. Fix some of the remaining javadoc warnings.,488,41225
14,244380a8,FAIL,0,NO,0,NO,0,2009-06-02 09:11:13 +0000,Fix core test failrues,488,41225
15,74a4cc56,FAIL,0,NO,0,NO,0,2009-06-02 16:48:09 +0000,HADOOP-4687 Fix svnignore for the project split,488,41225
16,bcd64325,FAIL,0,NO,0,NO,0,2009-06-15 20:28:06 +0000,"Merged src/core, src/test/core, src/contrib/eclipse-plugin, and src/contrib/ec2 from trunk 776174:784663",488,41594
17,c2226e06,FAIL,0,NO,0,NO,0,2009-06-15 20:33:23 +0000,HADOOP-4687 Setup .gitignore and .eclipse.templates,488,41594
18,c2d07b4f,FAIL,0,NO,0,NO,0,2009-06-16 20:55:03 +0000,HADOOP-4687. Updating CHANGES.txt,488,41594
19,b12d7654,FAIL,0,NO,0,NO,0,2009-06-17 20:55:51 +0000,HADOOP-4687. Merge -r 784663:785643 from trunk to branch.,488,41616
20,fb6308f2,FAIL,0,NO,0,NO,0,2009-06-19 23:12:41 +0000,HADOOP-4687. More merges from trunk.,489,41660
21,ff11be54,FAIL,0,NO,0,NO,0,2009-06-19 23:39:09 +0000,HADOOP-4687 updating docs,489,41660
