id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,f10733ce,FAIL,0,NO,0,NO,0,2005-12-21 18:47:13 +0000,Added http-client module,0,0
1,03f4fd7d,FAIL,0,NO,0,NO,0,2005-12-21 18:52:31 +0000,Added some packages,0,0
2,d5076feb,FAIL,0,NO,0,NO,0,2005-12-21 19:17:17 +0000,Copied SSLSocketFactory from the HttpCore module,1,108
3,45faf4c1,FAIL,0,NO,0,NO,0,2005-12-21 19:43:49 +0000,Added some packages,1,108
4,0c144968,FAIL,0,NO,0,NO,0,2005-12-21 19:50:25 +0000,Moved AutoCloseInputStream ResponseConsumedWatcher DefaultResponseConsumedWatcher classes from HttpCore to HttpClient,6,287
5,bed4d15b,FAIL,0,NO,0,NO,0,2005-12-21 20:53:31 +0000,Fixed package names after the move from HttpCore,6,290
6,605aaaa7,FAIL,0,NO,0,NO,0,2005-12-21 21:17:25 +0000,Removed superflouos HttpMutableEntity interface,6,289
7,3ad3fd64,FAIL,0,NO,0,NO,0,2006-02-09 22:22:06 +0000,ASF copyright note fix,6,289
8,d4fd1384,FAIL,0,NO,0,NO,0,2006-04-09 16:25:00 +0000,HttpComponents layout restructuring,6,289
9,537bdb10,FAIL,0,NO,0,NO,0,2006-05-07 18:34:37 +0000,Synched with the latest HttpCore API snapshot,6,289
10,490989c3,FAIL,0,NO,0,NO,0,2006-05-07 18:42:24 +0000,Added HttpCookie and HttpConn packages,6,289
11,ef94bc73,FAIL,0,NO,0,NO,0,2006-05-07 18:46:26 +0000,Added ssl package,6,289
12,63f3ec64,FAIL,0,NO,0,NO,0,2006-05-07 18:47:53 +0000,Moved SSL socket factory to o.a.http.conn.ssl,6,289
13,6d220e32,FAIL,0,NO,0,NO,0,2006-05-07 20:18:21 +0000,SVN copied from Commons HttpClient with some old (and unusable) bits of code removed,12,477
14,89bf2660,FAIL,0,NO,0,NO,0,2006-05-07 20:30:41 +0000,Simplified CookieSpec API (the first take),12,459
15,bdbd032f,FAIL,0,NO,0,NO,0,2006-05-10 11:33:28 +0000,Added impl package,12,459
16,b4a82062,FAIL,0,NO,0,NO,0,2006-05-10 15:13:32 +0000,Added an abstract cookie spec class,14,544
17,9166e32b,FAIL,0,NO,0,NO,0,2006-05-14 20:57:03 +0000,Initial refactoring of the CookieSpecBase and Cookie classes,15,586
18,020ec501,FAIL,0,NO,0,NO,0,2006-05-14 21:19:51 +0000,* Added TestAll* test suites * Fixed broken test cases,18,627
19,5fb29270,FAIL,0,NO,0,NO,0,2006-05-14 21:26:00 +0000,Added HttpConnectionMockup class,19,645
20,79c1a483,FAIL,0,NO,0,NO,0,2006-05-14 21:27:15 +0000,Created project build.xml,19,645
21,41c44857,FAIL,0,NO,0,NO,0,2006-05-25 13:30:49 +0000,"Added cookie handler impls for 'path', 'maxage', 'secure', and 'comment' attributes shared by all common cookie specs",25,922
22,27e00424,FAIL,0,NO,0,NO,0,2006-05-25 15:41:10 +0000,Added cookie handler impls for 'expires' attribute shared by all common cookie specs,26,996
