id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,54d54097,FAIL,0,NO,0,NO,0,2014-08-09 19:52:29 +0300,Create README.md,0,0
1,ce5700c1,SUCCESS,15,SUCCESS,4,SUCCESS,8,2014-08-09 20:38:00 +0300,added abstract-factory sample,13,70
2,959a1f63,SUCCESS,5,SUCCESS,5,SUCCESS,4,2014-08-09 20:44:21 +0300,Update README.md,13,70
3,a4b58fe0,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-09 22:38:07 +0300,added builder sample,20,230
4,f8616ec5,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-09 22:39:53 +0300,Update README.md,20,230
5,fb24bf8c,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-09 22:40:45 +0300,Update README.md,20,230
6,fbb9ebd4,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-10 10:07:18 +0300,added .gitignore,20,230
7,a9de8980,FAIL,3,NO,0,NO,0,2014-08-10 10:07:38 +0300,added factory method sample,28,285
8,88812628,FAIL,3,NO,0,NO,0,2014-08-10 10:09:20 +0300,Update README.md,28,285
9,b93b0607,FAIL,4,NO,0,NO,0,2014-08-10 10:12:15 +0300,Update README.md,28,285
10,d6bff9fd,SUCCESS,8,SUCCESS,5,SUCCESS,6,2014-08-10 22:01:25 +0300,fix pom.xml,28,285
11,4ae82e43,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-10 22:55:58 +0300,added prototype sample,41,411
12,01bdcdc1,SUCCESS,7,SUCCESS,5,SUCCESS,6,2014-08-10 22:57:44 +0300,Update README.md,41,411
13,72415386,SUCCESS,7,SUCCESS,5,SUCCESS,5,2014-08-11 21:43:08 +0300,added singleton sample,43,424
14,ec8d7301,SUCCESS,8,SUCCESS,5,SUCCESS,6,2014-08-11 21:45:42 +0300,Update README.md,43,424
15,13e65894,SUCCESS,8,SUCCESS,5,SUCCESS,5,2014-08-11 22:07:16 +0300,added adapter sample,46,446
16,9ae66294,SUCCESS,8,SUCCESS,6,SUCCESS,6,2014-08-11 22:09:09 +0300,Update README.md,46,446
17,e5fc4396,SUCCESS,8,SUCCESS,5,SUCCESS,6,2014-08-12 23:09:32 +0300,added bridge sample,58,583
18,e6d9b6e6,SUCCESS,8,SUCCESS,5,SUCCESS,5,2014-08-12 23:11:33 +0300,Update README.md,58,583
19,6a3c206b,SUCCESS,8,SUCCESS,5,SUCCESS,6,2014-08-12 23:13:01 +0300,Update README.md,58,583
20,0c9136ac,SUCCESS,8,SUCCESS,4,SUCCESS,6,2014-08-13 21:14:03 +0300,added composite sample,64,667
21,1d4f0f1e,SUCCESS,7,SUCCESS,5,SUCCESS,5,2014-08-13 21:16:37 +0300,Update README.md,64,667
22,e742950c,SUCCESS,8,SUCCESS,5,SUCCESS,5,2014-08-13 21:45:19 +0300,added decorator sample,67,697
23,dcf82b01,SUCCESS,8,SUCCESS,4,SUCCESS,5,2014-08-13 21:47:14 +0300,Update README.md,67,697
24,87259699,SUCCESS,9,SUCCESS,7,SUCCESS,5,2014-08-13 22:19:28 +0300,added facade sample,73,761
25,d05de2c3,SUCCESS,7,SUCCESS,7,SUCCESS,6,2014-08-13 22:21:26 +0300,Update README.md,73,761
26,3fcca577,SUCCESS,8,SUCCESS,7,SUCCESS,5,2014-08-16 19:40:39 +0300,added flyweight sample,83,860
27,881b77ba,SUCCESS,8,SUCCESS,6,SUCCESS,5,2014-08-16 19:41:07 +0300,Merge branch 'master' of https://github.com/iluwatar/java-design-patterns,83,860
28,5cd611bf,SUCCESS,8,SUCCESS,7,SUCCESS,5,2014-08-16 19:43:42 +0300,Update README.md,83,860
29,a9971dc3,SUCCESS,8,SUCCESS,7,SUCCESS,6,2014-08-16 20:28:07 +0300,added proxy sample,87,892
30,a53c217f,SUCCESS,7,SUCCESS,7,SUCCESS,5,2014-08-16 20:29:55 +0300,Update README.md,87,892
31,9e7db125,SUCCESS,9,SUCCESS,8,SUCCESS,5,2014-08-17 09:05:37 +0300,added chain of responsibility sample,95,982
32,f0e7f222,SUCCESS,8,SUCCESS,8,SUCCESS,5,2014-08-17 09:08:56 +0300,Update README.md,95,982
33,0785bccf,SUCCESS,9,SUCCESS,8,SUCCESS,6,2014-08-17 14:42:10 +0300,added command sample,104,1115
34,07f63256,SUCCESS,9,SUCCESS,10,SUCCESS,6,2014-08-17 14:44:28 +0300,Update README.md,104,1115
35,09890d70,SUCCESS,9,SUCCESS,10,SUCCESS,6,2014-08-18 18:23:52 +0300,added interpreter sample,110,1212
36,d62a873f,SUCCESS,9,SUCCESS,10,SUCCESS,5,2014-08-18 18:24:18 +0300,Merge branch 'master' of https://github.com/iluwatar/java-design-patterns,110,1212
