id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,38860226,FAIL,0,NO,0,NO,0,2013-08-27 11:47:51 -0700,Initial commit,0,0
1,98ce10b1,FAIL,0,NO,0,NO,0,2013-08-27 21:54:21 +0300,Copying license from http://glassfish.java.net/public/CDDL+GPL.html,0,0
2,d561316d,FAIL,0,NO,0,NO,0,2013-08-27 22:01:24 +0300,Adding some basic details,0,0
3,4c442a9d,FAIL,59,NO,0,NO,0,2013-08-27 22:05:47 +0300,Moving the source code from http://svn.java.net/svn/glassfish~svn/branches/arun/javaee7-samples/samples/,524,13478
4,a55525d6,FAIL,42,NO,0,NO,0,2013-08-27 21:19:50 +0200,Fixing the path and method implementation,524,13485
5,1859e14f,FAIL,42,NO,0,NO,0,2013-08-27 21:20:03 +0200,Iterating over both the targets,524,13502
6,8e8d6334,FAIL,43,NO,0,NO,0,2013-08-27 21:23:17 +0200,Moving Jersey Logging Filter dependency to JAX-RS project. This allows all other samples to use it.,524,13502
7,5555ecd2,FAIL,46,NO,0,NO,0,2013-08-27 21:26:14 +0200,Adding qs attributes,524,13502
8,7040ac6b,FAIL,48,NO,0,NO,0,2013-08-27 21:26:26 +0200,Fixing a log statement,524,13505
9,da1aa630,FAIL,54,NO,0,NO,0,2013-08-27 21:48:06 +0200,Removing a redundant import,524,13504
10,8f084cc4,FAIL,49,NO,0,NO,0,2013-08-27 23:06:10 +0200,"Added different types of validation with JAX-RS (field, property, @Valid)",528,13611
11,cacdda11,FAIL,52,NO,0,NO,0,2013-08-27 23:10:31 +0200,"Adding copyright, fixing the URL to be context root sensitive",528,13611
12,1c059030,FAIL,50,NO,0,NO,0,2013-08-27 23:22:33 +0200,Fixing the titles,528,13611
13,c6567b2f,FAIL,54,NO,0,NO,0,2013-08-27 23:32:30 +0200,"Adding @Named and ""all"" beans.xml",528,13613
14,d5ffe67a,FAIL,55,NO,0,NO,0,2013-08-27 23:34:32 +0200,Adding a statement to check server.log,528,13614
15,17cb7f73,FAIL,55,NO,0,NO,0,2013-08-27 23:35:20 +0200,"- Adding @Named and ""all"" beans.xml - Removing batch.xml - Adding a statement to check server.log",528,13619
16,32317070,FAIL,55,NO,0,NO,0,2013-08-27 23:36:06 +0200,Fixing headers,528,13619
17,f7525424,FAIL,55,NO,0,NO,0,2013-08-27 23:39:35 +0200,Adding copyright,528,13619
18,cac8f3f1,FAIL,53,NO,0,NO,0,2013-08-27 23:39:51 +0200,Overriding appropriate method,528,13621
19,8d33ea6a,FAIL,60,NO,0,NO,0,2013-08-27 23:40:09 +0200,Adding copyright and prompts to check server.log,528,13622
20,3e78ce32,FAIL,59,NO,0,NO,0,2013-08-27 23:40:19 +0200,"Adding ""all"" beans.xml",528,13622
21,0799f2e9,FAIL,58,NO,0,NO,0,2013-08-27 23:40:29 +0200,Adding NetBeans configuration file,528,13622
22,ef54aec6,FAIL,57,NO,0,NO,0,2013-08-27 23:43:24 +0200,"- Adding NetBeans configuration file - Adding ""all"" beans.xml - Adding prompts",528,13623
23,3fa9b4aa,FAIL,54,NO,0,NO,0,2013-08-27 23:45:48 +0200,Adding prompts to check server.log,528,13624
24,a5b7cf74,FAIL,53,NO,0,NO,0,2013-08-27 23:45:58 +0200,"Add ""all"" beans.xml for CDI",528,13624
25,fe78387c,FAIL,54,NO,0,NO,0,2013-08-27 23:47:11 +0200,Adding better titles,528,13624
26,390565a9,FAIL,53,NO,0,NO,0,2013-08-27 23:48:04 +0200,"Adding ""all"" beans.xml and prompts in Servlet to check server.log",528,13625
27,9c13a67c,FAIL,53,NO,0,NO,0,2013-08-27 23:51:42 +0200,Adding prompt to check server.log,528,13626
28,64854b07,FAIL,57,NO,0,NO,0,2013-08-27 23:51:51 +0200,Adding @Named,528,13634
29,e619ee84,FAIL,60,NO,0,NO,0,2013-08-27 23:51:59 +0200,"Adding ""all"" style beans.xml",528,13634
30,e6dd3d14,FAIL,62,NO,0,NO,0,2013-08-27 23:52:05 +0200,Fixing the schema,528,13634
31,6854d9db,FAIL,62,NO,0,NO,0,2013-08-27 23:52:13 +0200,Adding NetBeans configuration file,528,13634
32,63ae3824,FAIL,61,NO,0,NO,0,2013-08-27 23:53:01 +0200,Fixing the titles,528,13634
33,7579e46e,FAIL,57,NO,0,NO,0,2013-08-27 23:53:58 +0200,Adding copyright and prompts to check server.log,528,13635
34,da6fa20d,FAIL,56,NO,0,NO,0,2013-08-27 23:54:23 +0200,Fixing the title,528,13635
35,25fbba6b,FAIL,62,NO,0,NO,0,2013-08-27 23:54:44 +0200,"Adding ""all"" style beans.xml",528,13635
36,dd30b98e,FAIL,63,NO,0,NO,0,2013-08-27 23:56:57 +0200,"Adding ""all"" style beans.xml Adding prompt to check server.log Adding NetBeans configuration file",528,13636
37,4a22d928,FAIL,54,NO,0,NO,0,2013-08-27 23:59:37 +0200,"Adding ""all"" style beans.xml Adding prompt to check server.log Adding NetBeans configuration file",528,13637
38,a6f9cd2c,FAIL,55,NO,0,NO,0,2013-08-28 00:01:38 +0200,Adding prompt to check server.log,528,13638
39,70c66307,FAIL,59,NO,0,NO,0,2013-08-28 00:01:44 +0200,Removing beans.xml,528,13638
40,e47fe57f,FAIL,57,NO,0,NO,0,2013-08-28 00:01:56 +0200,Adding NetBeans configuration file,528,13638
41,0eae4c1a,FAIL,63,NO,0,NO,0,2013-08-28 01:03:11 +0300,Adding NetBeans configuration file,528,13638
42,85e9f205,FAIL,66,NO,0,NO,0,2013-08-28 07:02:27 +0200,"Got the sample working again, using a separate writer",528,13646
43,eb53a431,FAIL,58,NO,0,NO,0,2013-08-28 07:02:35 +0200,Improved the title,528,13646
44,3c8c180a,FAIL,57,NO,0,NO,0,2013-08-28 07:05:17 +0200,Cleaned up output,528,13644
45,bb8b2394,FAIL,60,NO,0,NO,0,2013-08-28 07:05:22 +0200,Fixed title,528,13644
46,ae9c39c5,FAIL,56,NO,0,NO,0,2013-08-28 07:06:46 +0200,Fixed titles,528,13644
47,c5da7780,FAIL,55,NO,0,NO,0,2013-08-28 07:07:54 +0200,Slightly more indicative title,528,13644
48,62075af4,FAIL,58,NO,0,NO,0,2013-08-28 07:08:21 +0200,Slightly more indicative title,528,13644
49,382b8308,FAIL,60,NO,0,NO,0,2013-08-28 07:10:52 +0200,Slightly more indicative titles,528,13644
50,bcb23b6a,FAIL,62,NO,0,NO,0,2013-08-28 07:12:21 +0200,Removed <name>,528,13644
51,2926b4c9,FAIL,60,NO,0,NO,0,2013-08-28 07:26:19 +0200,Cleaned up title,528,13644
52,ecbcfc8a,FAIL,61,NO,0,NO,0,2013-08-28 07:26:58 +0200,Fixing title,528,13644
53,fa301882,FAIL,63,NO,0,NO,0,2013-08-28 07:27:05 +0200,Adding binaryType attribute,528,13644
54,541b5388,FAIL,60,NO,0,NO,0,2013-08-28 07:28:28 +0200,Slightly more intuitive titles,528,13644
55,6b333edb,FAIL,66,NO,0,NO,0,2013-08-28 07:30:13 +0200,Slightly more indicative titles and better display of results,528,13644
56,9a20fb6c,FAIL,62,NO,0,NO,0,2013-08-28 10:51:19 +0300,Making set final,528,13644
57,89a9f49a,FAIL,59,NO,0,NO,0,2013-08-28 12:19:01 +0300,Slightly more indicative titles,528,13644
58,26ac4561,FAIL,58,NO,0,NO,0,2013-08-28 12:20:30 +0300,Slightly more indicative titles Adding NetBeans configuration files,528,13644
59,9473526b,FAIL,64,NO,0,NO,0,2013-08-28 12:25:22 +0300,Made the decorator slightly more meaningful,528,13643
60,1ecb1721,FAIL,66,NO,0,NO,0,2013-08-28 12:25:29 +0300,Slightly more indicative titles Adding NetBeans configuration files,528,13643
61,b8c7f281,FAIL,67,NO,0,NO,0,2013-08-28 12:27:21 +0300,Slightly more indicative headers Adding NetBeans configuration files,528,13643
62,ea6a2fcf,FAIL,63,NO,0,NO,0,2013-08-28 12:30:01 +0300,More explanatory headers Adding NetBeans configuration files,528,13643
63,77e3ea19,FAIL,58,NO,0,NO,0,2013-08-28 12:30:09 +0300,More explanatory headers,528,13643
64,11e407ed,FAIL,61,NO,0,NO,0,2013-08-28 12:32:37 +0300,More explanatory headers Adding NetBeans configuration files,528,13643
65,12549613,FAIL,60,NO,0,NO,0,2013-08-28 12:49:05 +0300,Better explanatory headers Adding NetBeans configuration files,528,13643
66,e84ff410,FAIL,60,NO,0,NO,0,2013-08-28 12:49:50 +0300,Better explanatory headers,528,13643
67,f8807bc0,FAIL,61,NO,0,NO,0,2013-08-28 12:50:58 +0300,Better explanatory headers,528,13643
68,286280bb,FAIL,58,NO,0,NO,0,2013-08-28 12:52:12 +0300,Better explanatory headers,528,13643
69,0f7d399c,FAIL,60,NO,0,NO,0,2013-08-28 12:59:00 +0300,Splitting the sample in three different ways to acquire BeanManager,530,13735
70,77d18c88,FAIL,65,NO,0,NO,0,2013-08-28 14:53:35 +0300,Using more meaningful titles,530,13733
71,3060ceba,FAIL,63,NO,0,NO,0,2013-08-28 15:00:05 +0300,- Using more meaningful titles - Adding NetBeans configuration file,530,13737
72,1f1119c0,FAIL,64,NO,0,NO,0,2013-08-28 15:00:49 +0300,Using more meaningful titles,530,13737
73,559b5e72,FAIL,64,NO,0,NO,0,2013-08-28 15:05:29 +0300,Fixed some output statements,530,13740
74,042d5442,FAIL,57,NO,0,NO,0,2013-08-28 15:06:03 +0300,Cleaned up imports and made titles more appropriate,530,13738
75,15281f77,FAIL,59,NO,0,NO,0,2013-08-28 15:06:13 +0300,Using more meaningful titles,530,13739
76,eb38e72f,FAIL,58,NO,0,NO,0,2013-08-28 15:07:11 +0300,Using more meaningful titles,530,13739
77,fb88f589,FAIL,54,NO,0,NO,0,2013-08-28 15:10:21 +0300,Aligning the title with other projects,530,13739
78,68d583bf,FAIL,61,NO,0,NO,0,2013-08-28 15:11:51 +0300,Aligning the title with other projects and adding meaningful prompts,530,13739
79,1fdc3ba2,FAIL,62,NO,0,NO,0,2013-08-28 15:13:03 +0300,Simplifying @ServerEndpoint,530,13739
80,87a1d587,FAIL,55,NO,0,NO,0,2013-08-28 15:14:29 +0300,Adding more meaningful titles,530,13739
81,8732accc,FAIL,58,NO,0,NO,0,2013-08-28 15:16:35 +0300,Improving the title,530,13739
82,6b5ad043,FAIL,61,NO,0,NO,0,2013-08-28 15:17:06 +0300,Improving the title,530,13739
83,4a9617e7,FAIL,59,NO,0,NO,0,2013-08-28 15:18:24 +0300,Improving the title,530,13739
