error,count
"Index: 1, Size: 1",4
,1415
com.github.javaparser.ast.type.UnknownType,1
com.sun.proxy.$Proxy4 cannot be cast to me.tomassetti.symbolsolver.model.declarations.ValueDeclaration,1
me.tomassetti.symbolsolver.model.javassist.JavassistClassDeclaration cannot be cast to me.tomassetti.symbolsolver.model.declarations.ValueDeclaration,1
Find parameters of ReflectionClassDeclaration{clazz=java.util.function.Predicate} in ( t)-&gt;t.isEmpty(),2
me.tomassetti.symbolsolver.model.javaparser.contexts.MethodCallExprContext,1
com.github.javaparser.ast.body.TypeDeclaration,28
We should find how to discriminate between these candidates,1
src/test/resources/junit-4.8.1.jar (No such file or directory),395
Method cannot be resolved overloaded,2
"Unexpected exception, expected&lt;me.tomassetti.symbolsolver.model.declarations.AmbiguityException&gt; but was&lt;java.lang.StackOverflowError&gt;",2
"Unexpected exception, expected&lt;me.tomassetti.symbolsolver.model.declarations.MethodAmbiguityException&gt; but was&lt;java.lang.NullPointerException&gt;",2
Method &#x27;add&#x27; cannot be resolved in context commentsInsideChild.add(c) (line: 44) me.tomassetti.symbolsolver.model.javaparser.contexts.MethodCallExprContext@fb7ee24f,1
"Method &#x27;accept&#x27; cannot be resolved in context n1.accept(this, n2) (line: 12) me.tomassetti.symbolsolver.resolution.javaparser.contexts.MethodCallExprContext@4b5423e",9
"Method &#x27;accept&#x27; cannot be resolved in context javadocComment.accept(this, arg) (line: 35) me.tomassetti.symbolsolver.resolution.javaparser.contexts.MethodCallExprContext@321a340",3
