id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,7b2741cf,FAIL,0,NO,0,NO,0,2011-10-30 14:35:35 +0100,* Start out clean,0,0
1,2d4decaf,FAIL,0,NO,0,NO,0,2011-10-30 14:35:59 +0100,* Version 1.0.6,105,6382
2,c8994f77,FAIL,0,NO,0,NO,0,2011-10-30 14:36:34 +0100,* Version 1.0.7,105,6395
3,5e5a850b,FAIL,0,NO,0,NO,0,2011-10-30 14:37:38 +0100,Version 1.0.8,107,7187
4,43e6f7bf,SUCCESS,21,FAIL,7,NO,0,2011-10-30 14:40:57 +0100,"* Add latest code from ""mavenized"" branch.",107,7187
5,9eef622a,SUCCESS,14,SUCCESS,6,SUCCESS,9,2011-10-30 15:24:04 +0100,* Fix the build,107,7104
6,6f070b8d,SUCCESS,10,SUCCESS,6,SUCCESS,5,2011-10-30 18:23:58 +0100,"* Apply ""comments patch"": http://code.google.com/p/javaparser/issues/detail?id=9#c19",107,7201
7,d3db3f06,SUCCESS,9,SUCCESS,7,SUCCESS,6,2011-10-30 18:32:33 +0100,"* http://code.google.com/p/javaparser/issues/detail?id=9#c23: Here are the corresponding changes for using Shelby's solution with the VoidVisitorAdapter. Alternatively, users can extend & override every public visit() method of the VoidVisitorAdapter class to also accept() the node's comment.",107,7284
8,25d7620e,SUCCESS,10,FAIL,6,NO,0,2011-10-30 19:03:49 +0100,* Change resource loading in tests,106,7262
9,1926cd51,FAIL,4,NO,0,NO,0,2011-10-30 19:08:53 +0100,* More resource loading changes,106,7266
10,d1ef188a,FAIL,11,NO,0,NO,0,2011-10-30 19:29:19 +0100,* Put jj file in generate-sources cycle.,106,7266
11,b4d9ca5e,FAIL,7,NO,0,NO,0,2011-10-30 19:48:15 +0100,* Changed Julio's name to UTF-8 * Remove all generated files from src/main/java,105,7173
12,c0cdbdc4,FAIL,7,NO,0,NO,0,2011-10-30 19:49:11 +0100,* Remove ant stuff,105,7173
13,5202f0f5,FAIL,9,NO,0,NO,0,2011-10-30 19:55:48 +0100,* Remove some warnings,105,7173
14,40dc8d37,SUCCESS,14,SUCCESS,7,SUCCESS,8,2011-10-31 21:55:38 +0100,* Remove lots of non-utf8 characters from source * Add Reader support to JavaParser,105,7107
