id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b7a5826,FAIL,0,NO,0,NO,0,2012-06-25 12:29:15 -0700,first commit,0,0
1,6e273e7,FAIL,0,NO,0,NO,0,2012-08-06 16:45:32 -0400,first commit,0,0
2,68abe86,FAIL,0,NO,0,NO,0,2012-12-10 21:39:03 +0000,Initial commit,0,0
3,34550b1,FAIL,0,NO,0,NO,0,2012-12-10 20:56:01 -0500,Generate Java class for message with native types,1,292
4,3f224dd,FAIL,0,NO,0,NO,0,2012-12-11 01:59:03 +0000,Merge pull request #5 from android/alexander/command-line-tool,1,292
5,e20c87d,FAIL,0,NO,0,NO,0,2012-12-11 12:58:33 -0500,Process multiple .proto files in a round.,1,296
6,1158267,FAIL,0,NO,0,NO,0,2012-12-11 18:04:13 +0000,Merge pull request #6 from android/jwilson/directories,1,296
7,b1c51f1,FAIL,0,NO,0,NO,0,2012-12-11 13:41:23 -0500,Support nested types.,1,296
8,4d8567c,FAIL,0,NO,0,NO,0,2012-12-11 19:25:01 +0000,Merge pull request #7 from android/jwilson/directories,1,296
9,c6683d8,FAIL,0,NO,0,NO,0,2012-12-11 15:17:11 -0500,Use `@SerializedName` when a Java keyword is used for a field name.,1,302
10,f591e73,FAIL,0,NO,0,NO,0,2012-12-11 20:20:29 +0000,Merge pull request #8 from android/jwilson/directories,1,302
11,b0029de,FAIL,0,NO,0,NO,0,2012-12-11 16:13:21 -0500,Emit comments extracted from the source .proto.,1,318
12,ec4abe3,FAIL,0,NO,0,NO,0,2012-12-11 21:16:38 +0000,Merge pull request #9 from android/jwilson/directories,1,318
13,50b2ef1,FAIL,0,NO,0,NO,0,2012-12-17 19:08:23 -0500,"Generate builders, equals(), hashCode() and toString().",1,327
14,74f970d,FAIL,0,NO,0,NO,0,2012-12-18 00:26:15 +0000,Merge pull request #13 from android/jwilson/builders,1,327
15,9b4d2d8,SUCCESS,25,SUCCESS,6,SUCCESS,7,2013-01-31 10:40:35 -0800,"Re-add README, pom, etc.",1,327
16,9384024,SUCCESS,7,SUCCESS,6,SUCCESS,8,2013-01-31 11:06:40 -0800,Merge in Dagger's changes. Add test class.,3,612
17,d5fad96,SUCCESS,5,SUCCESS,6,SUCCESS,6,2013-01-31 21:57:37 +0000,Merge pull request #1 from jw/jw/dagger-merge,3,612
18,316a6ce,SUCCESS,5,SUCCESS,6,SUCCESS,8,2013-01-31 14:01:36 -0800,Package name change. Tiny test tweak.,3,611
19,c5b6b36,SUCCESS,5,SUCCESS,6,SUCCESS,10,2013-01-31 14:02:50 -0800,License tweaks.,3,611
20,e8cd8f4,SUCCESS,5,SUCCESS,6,SUCCESS,6,2013-01-31 14:06:17 -0800,Rename to JavaSourceWriter.,3,612
21,aed50f7,SUCCESS,6,SUCCESS,5,SUCCESS,7,2013-01-31 15:00:52 -0800,Make all methods fluent. Add simple example in README.,3,631
22,d228e89,SUCCESS,5,SUCCESS,6,SUCCESS,6,2013-01-31 23:50:04 +0000,Merge pull request #2 from jw/jw/fluent-and-docs,3,631
23,6ec8762,SUCCESS,6,SUCCESS,5,SUCCESS,6,2013-01-31 16:56:19 -0800,Allow end-of-line comments to take format args.,3,631
24,734c93e,SUCCESS,6,SUCCESS,7,SUCCESS,7,2013-01-31 18:22:46 -0800,A few changes:,3,700
25,1b5bd19,SUCCESS,6,SUCCESS,6,SUCCESS,7,2013-02-01 09:20:56 -0800,Package adds a newline now.,3,631
26,cab48e3,SUCCESS,7,SUCCESS,7,SUCCESS,6,2013-02-01 09:32:24 -0800,Merge branch 'jw/enums',3,700
27,fc8f965,SUCCESS,7,SUCCESS,6,SUCCESS,8,2013-02-01 09:34:23 -0800,Bump to v1.0.0.,3,700
28,5659e78,SUCCESS,6,SUCCESS,7,SUCCESS,9,2013-02-02 17:18:31 -0500,[maven-release-plugin] prepare release javawriter-1.0.0,3,700
29,1f713bf,SUCCESS,8,SUCCESS,7,SUCCESS,9,2013-02-02 17:18:36 -0500,[maven-release-plugin] prepare for next development iteration,3,700
30,a8dc7c6,SUCCESS,8,SUCCESS,7,SUCCESS,9,2013-02-03 11:48:57 -0800,Expose 'compressType' API. Track Dagger changes.,3,700
31,db7bf90,SUCCESS,9,SUCCESS,7,SUCCESS,7,2013-02-03 13:53:01 -0800,Merge pull request #1 from square/jw/compress,3,700
32,bdd604b,SUCCESS,6,SUCCESS,7,SUCCESS,8,2013-02-03 14:27:53 -0800,Bump version to 1.0.1,3,700
33,979eb1c,SUCCESS,7,SUCCESS,7,SUCCESS,8,2013-02-03 14:30:29 -0800,[maven-release-plugin] prepare release javawriter-1.0.1,3,700
34,cc394b4,SUCCESS,7,SUCCESS,6,SUCCESS,9,2013-02-03 14:30:35 -0800,[maven-release-plugin] prepare for next development iteration,3,700
35,d8cf5d4,SUCCESS,7,SUCCESS,7,SUCCESS,8,2013-02-04 12:25:47 -0800,StringBuffer -> StringBuilder.,3,700
36,05345aa,SUCCESS,8,SUCCESS,7,SUCCESS,7,2013-02-04 12:30:58 -0800,Merge pull request #2 from square/jw/builder,3,700
37,07bf461,SUCCESS,7,SUCCESS,7,SUCCESS,9,2013-02-10 16:55:49 +0100,"Add JavaWriter.type(Class,String...) helper method to build generic types.",3,737
38,28ebd9f,SUCCESS,8,SUCCESS,8,SUCCESS,8,2013-02-10 16:57:01 +0100,"Rewrite emitAnnotation(Class,...) to use JavaWriter#type()",3,737
