error,count
Connection refused (Connection refused),30611
,2170
Please connect Jedis before using it.,639
201&gt;200,106
200&gt;200,380
202&gt;200,15
204&gt;200,10
203&gt;200,14
207&gt;200,2
Could not connect to redis-server,219
206&gt;200,1
205&gt;200,2
208&gt;200,1
[B cannot be cast to java.lang.String,13
java.net.ConnectException: Connection refused (Connection refused),125915
"Unexpected exception, expected&lt;java.util.NoSuchElementException&gt; but was&lt;java.net.ConnectException&gt;",22
Could not get a resource from the pool,3842
no reachable node in cluster,9
"Unexpected exception, expected&lt;redis.clients.jedis.exceptions.JedisClusterDifferentConnectionsException&gt; but was&lt;redis.clients.jedis.exceptions.JedisConnectionException&gt;",1
