id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,7e6ed0af,SUCCESS,21,SUCCESS,4,FAIL,9,2010-06-11 02:57:11 -0300,Protocol implementation,4,236
1,0f3217ff,SUCCESS,5,SUCCESS,5,SUCCESS,5,2010-06-11 09:53:26 -0300,Small refactoring to separate commands from connection,4,199
2,be06049f,SUCCESS,4,SUCCESS,5,SUCCESS,5,2010-06-11 10:17:37 -0300,Added license file,4,199
3,bba8407f,SUCCESS,5,SUCCESS,5,FAIL,4,2010-06-11 10:18:33 -0300,Oh damn! forgot to add these files,6,252
4,421d0414,SUCCESS,6,SUCCESS,6,FAIL,4,2010-06-11 10:18:56 -0300,Added readme file,6,252
5,829e6d98,SUCCESS,5,SUCCESS,5,FAIL,9,2010-06-11 10:20:16 -0300,Fixed readme file,6,252
6,55f640c8,SUCCESS,4,SUCCESS,5,FAIL,4,2010-06-11 14:24:28 -0300,Fixed a small typo,6,252
7,4ccb12cd,SUCCESS,5,SUCCESS,6,FAIL,4,2010-06-11 21:41:46 -0300,Small refactoring to make command definitions even smaller,6,258
8,def3f38d,SUCCESS,5,SUCCESS,5,FAIL,6,2010-06-12 00:29:46 -0300,Added commands operating on all kind of values,9,521
9,de444d0c,SUCCESS,6,SUCCESS,5,FAIL,5,2010-06-13 00:15:42 -0300,Added commands operating on strings,9,663
10,14dc0399,SUCCESS,5,SUCCESS,5,FAIL,6,2010-06-13 00:17:05 -0300,Increased version,9,663
11,fdf40d8f,SUCCESS,6,SUCCESS,6,FAIL,5,2010-06-13 02:11:24 -0300,Added hash commands,10,847
12,0920223e,SUCCESS,6,SUCCESS,6,FAIL,7,2010-06-13 02:13:24 -0300,Readme show now the download section instead of a specific download,10,847
13,dc07d70e,SUCCESS,6,SUCCESS,6,FAIL,6,2010-06-15 23:28:19 -0300,Check jedis is connected before executing commands,11,860
14,034315ed,SUCCESS,5,SUCCESS,5,FAIL,7,2010-06-16 17:37:35 -0300,Implemented first List commands,12,930
15,8815dbb7,SUCCESS,7,SUCCESS,7,FAIL,6,2010-06-22 13:48:59 -0300,Implemented list commands,12,1046
16,a70037ec,SUCCESS,9,FAIL,6,NO,0,2010-06-22 23:08:58 -0300,Added some set commands,13,1081
