id,commit,n_test,n_success,n_failures,n_errors,n_skipped,n_days
0,7e6ed0af,10,8,0,2,0,4037
1,0f3217ff,8,8,0,0,0,4037
2,be06049f,8,8,0,0,0,4037
3,bba8407f,10,8,0,2,0,4037
4,421d0414,10,8,0,2,0,4037
5,829e6d98,10,8,0,2,0,4037
6,55f640c8,10,8,0,2,0,4037
7,4ccb12cd,10,8,0,2,0,4037
8,def3f38d,47,9,0,38,1,4036
9,de444d0c,79,9,0,70,1,4035
10,14dc0399,79,9,0,70,1,4035
11,fdf40d8f,103,9,0,94,1,4035
12,0920223e,103,9,0,94,1,4035
13,dc07d70e,104,10,0,94,1,4033
14,034315ed,114,10,0,104,1,4032
15,8815dbb7,128,10,0,118,1,4026
16,a70037ec,0,0,0,0,0,4026
17,ddb60915,132,10,0,122,1,4024
18,2c8583d2,156,10,0,146,1,4023
19,cc26791c,0,0,0,0,0,4019
20,81cc2cec,182,10,0,172,1,4013
21,20acb5bc,182,10,0,172,1,4011
22,ce1ebdd0,184,10,0,174,1,4011
23,4d078d74,186,10,0,176,1,4011
24,d48ab8de,0,0,0,0,0,3993
25,3dd7ca6f,0,0,0,0,0,3993
26,ef5518e5,0,0,0,0,0,3984
27,350865c8,0,0,0,0,0,3984
28,dea8c12d,0,0,0,0,0,3984
29,21312654,0,0,0,0,0,3984
30,b4862828,0,0,0,0,0,3984
31,de107a89,0,0,0,0,0,3984
32,f53c7a1b,0,0,0,0,0,3983
33,b58ae069,107,10,0,97,0,3983
34,1df23415,107,10,0,97,0,3983
35,c4e5d0b8,107,10,0,97,0,3983
36,3af260f9,107,10,0,97,0,3983
37,01da8062,107,10,0,97,0,3982
38,56795974,108,10,0,98,0,3982
39,02c68146,108,10,0,98,0,3982
40,f629a576,108,10,0,98,0,3980
41,4c5e8d9f,0,0,0,0,0,3980
42,2a1ca391,112,10,0,102,0,3980
43,5f5a4f44,112,10,0,102,0,3980
44,a842e64f,112,10,0,102,0,3980
45,22797464,113,10,0,103,0,3980
46,111eb114,115,10,0,105,0,3980
47,bb543288,116,10,0,106,0,3980
48,84f4c450,117,10,0,107,0,3980
49,4a769791,121,10,0,111,0,3980
50,86f3cffe,122,10,0,112,0,3979
51,6d92097c,123,10,0,113,0,3979
52,bf3094f0,124,10,0,114,0,3979
53,bb5fe63b,125,10,0,115,0,3979
54,5cc2d887,125,10,0,115,0,3979
55,0453ffcd,126,10,0,116,0,3979
56,f0a426a7,127,10,0,117,0,3979
57,50405b4d,127,10,0,117,0,3979
