id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,4298106f,FAIL,0,NO,0,NO,0,2012-05-08 12:22:19 +0000,"Structure for multi-module, single trunk.",0,0
1,d6e35ffa,FAIL,0,NO,0,NO,0,2012-05-09 08:18:25 +0000,Code re-organisation,72,9007
2,4ea826ea,FAIL,0,NO,0,NO,0,2012-05-09 08:22:57 +0000,Code reorganisation,1310,96263
3,6741782a,FAIL,0,NO,0,NO,0,2012-05-09 08:23:57 +0000,Code re-organisation,2768,170627
4,feb3f1e2,FAIL,0,NO,0,NO,0,2012-05-09 08:25:38 +0000,Code re-organisation,2773,170767
5,8ddacdbf,FAIL,0,NO,0,NO,0,2012-05-09 08:25:48 +0000,Code re-organisation,2864,176301
6,067957f0,FAIL,0,NO,0,NO,0,2012-05-09 08:28:09 +0000,Code re-organisation,2903,178597
7,bb3dd7f8,FAIL,0,NO,0,NO,0,2012-05-09 08:28:19 +0000,Code re-organisation,3334,195387
8,0dd42b17,FAIL,0,NO,0,NO,0,2012-05-09 08:28:31 +0000,Code re-organisation,3760,221205
9,6e72834f,FAIL,0,NO,0,NO,0,2012-05-09 08:28:42 +0000,Code re-organisation,3760,221205
10,e6fe21e2,FAIL,0,NO,0,NO,0,2012-05-09 08:28:54 +0000,Code re-organisation,3760,221205
11,b9a0cce6,FAIL,0,NO,0,NO,0,2012-05-09 09:37:52 +0000,Set svn:ignore to include .metadata (Eclipse workspace directory),3760,221205
12,6d571882,FAIL,0,NO,0,NO,0,2012-05-09 11:12:49 +0000,Update POMs,3760,221205
13,0ff2b643,FAIL,0,NO,0,NO,0,2012-05-09 11:32:56 +0000,Fix up .project files,3760,221205
14,878f2180,FAIL,0,NO,0,NO,0,2012-05-09 12:54:36 +0000,Bug fix: don't add GROUP BY vars into subquery vars - they are already there (and masked) by projection.,3760,221203
15,de77fc0c,FAIL,0,NO,0,NO,0,2012-05-10 18:34:40 +0000,Bug fix : was failing to sync() complex arrangements of graphs.,3760,221215
16,388d7a65,FAIL,0,NO,0,NO,0,2012-05-11 16:39:46 +0000,"Bug fix / clearup: Parsing Ntriples with ""--nocheck"" was still doing some checking.",3760,221208
17,cf932682,FAIL,0,NO,0,NO,0,2012-05-11 18:58:14 +0000,Removed DISCLAIMER,3760,221208
18,70dbef90,FAIL,0,NO,0,NO,0,2012-05-13 14:40:05 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
19,01bb89cc,FAIL,0,NO,0,NO,0,2012-05-13 14:41:00 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
20,3e85f190,FAIL,0,NO,0,NO,0,2012-05-13 14:50:17 +0000,Add Apache snapshiot repo (needed for snapshot parent),3760,221208
21,92f00177,FAIL,0,NO,0,NO,0,2012-05-13 14:52:24 +0000,Add Apache snapshot repo (needed for snapshot parent),3760,221208
22,a3f703e3,FAIL,0,NO,0,NO,0,2012-05-13 14:58:35 +0000,Use java RT TextFormatter,3760,221208
23,60586ced,FAIL,0,NO,0,NO,0,2012-05-13 15:01:20 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
24,1b558761,FAIL,0,NO,0,NO,0,2012-05-13 15:09:54 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
25,addba444,FAIL,0,NO,0,NO,0,2012-05-13 15:11:12 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
26,6af2861f,FAIL,0,NO,0,NO,0,2012-05-13 15:20:25 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
27,31087404,FAIL,0,NO,0,NO,0,2012-05-13 15:22:19 +0000,Overzealous cleaning up,3760,221208
28,4d2933d8,FAIL,0,NO,0,NO,0,2012-05-13 15:23:42 +0000,git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1337918 13f79535-47bb-0310-9956-ffa450edef68,3760,221208
29,bd3e71b4,FAIL,0,NO,0,NO,0,2012-05-13 15:24:43 +0000,Remove 'incubating' from version; Use jena-parent,3760,221208
30,63cd7e14,FAIL,0,NO,0,NO,0,2012-05-13 15:30:54 +0000,Over zealous cleaning up,3760,221208
31,e66befd2,FAIL,0,NO,0,NO,0,2012-05-13 15:35:12 +0000,git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1337924 13f79535-47bb-0310-9956-ffa450edef68,3760,221208
32,8c5c3aa6,FAIL,25,NO,0,NO,0,2012-05-14 08:17:35 +0000,Master POM (minimal),3760,221208
33,0ccbd702,FAIL,13,NO,0,NO,0,2012-05-14 08:18:07 +0000,Update dependency versions; move Xerces dependency out of parent into core,3760,221208
34,af6f59ca,FAIL,9,NO,0,NO,0,2012-05-14 15:08:33 +0000,Changes to align with upcoming SPARQL 1.1 change: BINDINGS -> VALUES and now allowed inline in patterns.,3760,221219
35,6dd05d70,FAIL,10,NO,0,NO,0,2012-05-14 20:17:19 +0000,Over zealous updates,3760,221219
36,17185aee,FAIL,11,NO,0,NO,0,2012-05-14 20:20:49 +0000,Tidy up POMs,3760,221219
37,32a47f6a,FAIL,12,NO,0,NO,0,2012-05-14 22:30:47 +0000,Fixes for link problems discovered by the link checker,3760,221219
38,9494794a,FAIL,11,NO,0,NO,0,2012-05-15 13:49:29 +0000,"Remove RDQL parser driver, there being no RDQL now",3760,221219
39,ca0de837,FAIL,12,NO,0,NO,0,2012-05-15 16:00:32 +0000,Formatting error in production of HTML for SPARQL grammar.,3760,221219
40,e8eb0ec7,FAIL,12,NO,0,NO,0,2012-05-15 18:18:37 +0000,Fix property paths in complex expressions inside RDF lists.,3760,221219
41,6f23613c,FAIL,11,NO,0,NO,0,2012-05-17 09:17:59 +0000,git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1339525 13f79535-47bb-0310-9956-ffa450edef68,3760,221219
42,6a4d09a9,FAIL,11,NO,0,NO,0,2012-05-17 16:05:58 +0000,Delete unused development testing code.,3759,221174
43,d5744fbf,FAIL,12,NO,0,NO,0,2012-05-17 17:33:16 +0000,sec excutable bit,3759,221174
44,7b65044a,FAIL,11,NO,0,NO,0,2012-05-18 01:34:15 +0000,Extended IteratorResourceClosing to work with both org.openjena.atlas.lib.Closeable and java.io.Closeable resources.,3759,221182
45,6fc04a73,FAIL,11,NO,0,NO,0,2012-05-18 01:43:01 +0000,Added execDescribeTriples() to QueryExecution for streaming DESCRIBE queries.,3759,221203
46,81cb4c0e,FAIL,12,NO,0,NO,0,2012-05-18 02:46:02 +0000,Added utility methods to convert iterators of Triples to Statements and vice-versa.,3759,221220
47,3da12d93,FAIL,12,NO,0,NO,0,2012-05-18 17:09:47 +0000,"Once warned about an open query iterator, remove from the tracker to avoid rewarning later, sometimes.",3759,221221
48,d97a94b3,FAIL,11,NO,0,NO,0,2012-05-20 15:07:57 +0000,Add a constant for a per-database config file.,3759,221222
49,77681964,FAIL,12,NO,0,NO,0,2012-05-21 08:13:00 +0000,[maven-release-plugin] prepare release jena-2.7.X,3759,221222
50,bef8ff84,FAIL,11,NO,0,NO,0,2012-05-21 08:13:15 +0000,[maven-release-plugin] prepare for next development iteration,3759,221222
51,fdae9f55,FAIL,11,NO,0,NO,0,2012-05-21 08:13:44 +0000,[maven-release-plugin] rollback the release of jena-2.7.X,3759,221222
52,e9534e77,FAIL,11,NO,0,NO,0,2012-05-21 13:58:55 +0000,If SPARQL changes ... (no match case for STRBEFORE and STRAFTER),3759,221222
53,9498fbf9,FAIL,12,NO,0,NO,0,2012-05-21 14:45:19 +0000,Version number (tweaks for module build and testing),3759,221222
54,f4592e88,FAIL,12,NO,0,NO,0,2012-05-21 14:50:01 +0000,Reset test,3759,221222
55,fee49364,FAIL,11,NO,0,NO,0,2012-05-21 19:54:29 +0000,"de ""incubator""",3759,221222
56,535ead36,FAIL,11,NO,0,NO,0,2012-05-21 23:44:57 +0000,Use UpdateRequest.iterator() in favor of .getOperations().,3759,221222
57,9f0e2dfe,FAIL,12,NO,0,NO,0,2012-05-22 09:31:44 +0000,Fix quad filter example for transaction datasets.,3759,221221
58,5e003a61,FAIL,11,NO,0,NO,0,2012-05-22 13:08:24 +0000,Start function library to access TDB internals. Align quad filter example to new library.,3760,221250
59,0d4998e9,FAIL,11,NO,0,NO,0,2012-05-22 13:11:28 +0000,"Remove URI arg from removeFromPrefixMap(String graphName, String prefix, String uri)",3760,221261
60,d301f1b3,FAIL,11,NO,0,NO,0,2012-05-22 13:12:07 +0000,Align TDB to ARQ internal change.,3760,221261
61,4055a382,FAIL,12,NO,0,NO,0,2012-05-22 15:39:37 +0000,javadoc,3760,221261
62,7effa8e8,FAIL,12,NO,0,NO,0,2012-05-23 11:09:40 +0000,"Fixed problems with examples, wrong PREFIX and textMatch instead of search. Thanks Md Mizanur Rahoman.",3760,221261
63,f989d106,FAIL,12,NO,0,NO,0,2012-05-23 11:26:14 +0000,Upgraded dependencies. LARQ 1.0.1-SNAPSHOT now depends on ARQ 2.9.1-SNAPSHOT and TDB 0.9.1-SNAPSHOT.,3760,221261
64,db12814b,FAIL,12,NO,0,NO,0,2012-05-23 20:01:38 +0000,JENA-248 Read all bytes after SERVICE request and close the connection.,3760,221268
65,39b66a4e,FAIL,12,NO,0,NO,0,2012-05-23 20:10:00 +0000,Fit STRBEFORE and STRAFTER to latest SPARQL 1.1,3760,221272
66,02e5022a,FAIL,11,NO,0,NO,0,2012-05-23 20:16:14 +0000,git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1342016 13f79535-47bb-0310-9956-ffa450edef68,3760,221272
67,afcbb251,FAIL,12,NO,0,NO,0,2012-05-23 20:36:25 +0000,git-svn-id: https://svn.apache.org/repos/asf/jena/trunk@1342035 13f79535-47bb-0310-9956-ffa450edef68,3760,221272
