id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,a05da7f,FAIL,0,NO,0,NO,0,2012-09-12 00:27:38 +0800,first commit,115,4751
1,d85b175,FAIL,0,NO,0,NO,0,2012-09-12 01:24:44 +0800,update,115,4751
2,125c4b0,FAIL,0,NO,0,NO,0,2012-09-12 13:09:17 +0800,change dir,115,4751
3,a036e3e,FAIL,0,NO,0,NO,0,2012-09-12 13:19:59 +0800,add eclipse conf,115,4751
4,0bdf9e2,FAIL,0,NO,0,NO,0,2012-09-12 16:38:17 +0800,add README.rst,115,4751
5,aa0cadb,FAIL,0,NO,0,NO,0,2012-09-12 16:43:48 +0800,"update README.rst ,delete README.md",115,4751
6,4bf9a7f,FAIL,0,NO,0,NO,0,2012-09-12 16:44:54 +0800,delete README.md,115,4751
7,d336a93,FAIL,0,NO,0,NO,0,2012-09-12 02:11:05 -0700,Merge pull request #1 from zhoulei-kid/readme,115,4751
8,c18371b,FAIL,0,NO,0,NO,0,2012-09-16 18:26:03 +0800,improve and refactory,115,4757
9,a10db08,FAIL,0,NO,0,NO,0,2012-09-19 14:46:28 +0800,add volatile,115,4757
10,e3838d7,FAIL,0,NO,0,NO,0,2012-10-24 00:19:15 +0800,JFinal 1.1.4 Release,118,4859
11,59efdb4,FAIL,0,NO,0,NO,0,2012-10-25 00:44:36 +0800,Improve IMapFactory and TableInfo,118,4861
12,be4d93b,FAIL,0,NO,0,NO,0,2012-11-05 20:55:13 +0800,JFinal 1.1.5 Release :),118,4908
13,94f4cbf,FAIL,0,NO,0,NO,0,2012-12-06 10:56:40 +0800,JFinal 1.1.6 release :),122,4919
14,7489d0a,FAIL,0,NO,0,NO,0,2012-12-11 13:48:27 +0800,change qq group number,122,4919
15,08f70c8,FAIL,0,NO,0,NO,0,2012-12-11 13:49:36 +0800,add qq group number,122,4919
16,1d202d8,FAIL,0,NO,0,NO,0,2013-01-07 13:37:19 +0800,Update src/com/jfinal/plugin/activerecord/dialect/PostgreSqlDialect.java,122,4921
17,3e3c771,FAIL,0,NO,0,NO,0,2013-01-07 05:34:38 -0800,Merge pull request #16 from davepkxxx/patch-1,122,4921
18,5b96571,FAIL,0,NO,0,NO,0,2013-01-07 21:40:18 +0800,no change,122,4921
19,0f9b0ef,FAIL,0,NO,0,NO,0,2013-01-07 21:41:27 +0800,Merge branch 'master' of https://github.com/jfinal/jfinal.git,122,4921
20,6cc8038,FAIL,0,NO,0,NO,0,2013-01-26 15:59:57 +0800,JFinal 1.2 release :),123,5079
21,b643cc9,FAIL,0,NO,0,NO,0,2013-01-26 17:45:54 +0800,JFinal 1.2 release :),123,5079
22,18d95fd,FAIL,0,NO,0,NO,0,2013-01-27 22:48:50 +0800,JFinal 1.2 release :),123,5079
23,cf36682,FAIL,0,NO,0,NO,0,2013-03-17 19:20:47 +0800,JFinal 1.3 Release :),124,5112
24,8f81855,FAIL,0,NO,0,NO,0,2013-04-13 03:52:48 +0800,修改JavaDoc的错误,122,4919
25,e8d3647,FAIL,0,NO,0,NO,0,2013-04-13 04:16:45 -0700,Merge pull request #20 from davepkxxx/master,124,5112
26,9139a7a,FAIL,0,NO,0,NO,0,2013-05-01 18:31:12 +0800,JFinal 1.4 Release :),125,5189
27,be8115d,FAIL,0,NO,0,NO,0,2013-05-01 19:15:01 +0800,JFinal 1.4 Release :),125,5189
28,3f41be9,FAIL,0,NO,0,NO,0,2013-05-04 18:12:47 +0800,JFinal 1.4 Release :),125,5189
29,fbe105b,FAIL,31,NO,0,NO,0,2013-09-04 23:01:04 +0800,maven support,125,5189
30,883dd1b,FAIL,15,NO,0,NO,0,2013-09-08 23:21:27 +0800,[maven-release-plugin] prepare release jfinal-1.4.0,125,5189
31,c0993cd,FAIL,7,NO,0,NO,0,2013-09-08 23:21:40 +0800,[maven-release-plugin] prepare for next development iteration,125,5189
32,223f5fc,FAIL,7,NO,0,NO,0,2013-09-09 00:12:47 +0800,change version,125,5189
33,28ba499,FAIL,7,NO,0,NO,0,2013-09-09 00:21:22 +0800,[maven-release-plugin] prepare release jfinal-1.4,125,5189
34,f3438df,FAIL,8,NO,0,NO,0,2013-09-09 00:21:34 +0800,[maven-release-plugin] prepare for next development iteration,125,5189
35,cda9fe9,FAIL,8,NO,0,NO,0,2013-09-28 23:12:23 +0800,prepare jfinal 1.5,125,5180
36,ff47757,FAIL,7,NO,0,NO,0,2013-09-28 23:21:44 +0800,Merge branch 'master' of https://github.com/jfinal/jfinal.git,125,5180
37,9e4d8b4,FAIL,8,NO,0,NO,0,2013-10-08 18:24:14 +0800,JFinal 1.5 release :),121,5198
38,15a0b1a,FAIL,10,NO,0,NO,0,2013-10-08 19:28:16 +0800,JFinal 1.5 release :),123,5256
39,741e46b,FAIL,7,NO,0,NO,0,2013-10-08 19:52:28 +0800,JFinal 1.5 release :),123,5256
40,7055986,FAIL,8,NO,0,NO,0,2013-10-08 20:40:19 +0800,JFinal 1.5 release :),123,5255
41,5f4ae00,FAIL,7,NO,0,NO,0,2013-10-09 23:45:13 +0800,[maven-release-plugin] prepare release jfinal-1.5,123,5255
42,1d21d31,FAIL,8,NO,0,NO,0,2013-10-09 23:45:35 +0800,[maven-release-plugin] prepare for next development iteration,123,5255
43,918087b,FAIL,8,NO,0,NO,0,2013-10-31 01:13:07 +0800,jfinal 1.5,123,5255
44,b38afdd,FAIL,9,NO,0,NO,0,2013-10-31 01:14:31 +0800,jfinal 1.5,123,5255
45,0578892,FAIL,8,NO,0,NO,0,2013-11-02 18:21:43 +0800,ignore classes under WEB-INF,123,5255
46,908c13b,FAIL,8,NO,0,NO,0,2014-03-08 22:48:34 +0800,JFinal 1.5 update,123,5255
47,b7a4a09,FAIL,7,NO,0,NO,0,2014-03-26 23:42:52 +0800,JFinal 1.6 release :),126,5418
48,633a5d2,FAIL,10,NO,0,NO,0,2014-03-26 23:51:32 +0800,JFinal 1.6 release :),126,5418
49,3b39efb,FAIL,8,NO,0,NO,0,2014-03-27 12:58:52 +0800,JFinal 1.6 release :),126,5418
50,5b80148,FAIL,9,NO,0,NO,0,2014-03-27 23:50:59 +0800,JFinal 1.6 release :),126,5418
51,cdba572,FAIL,9,NO,0,NO,0,2014-03-29 23:04:43 +0800,jfinal 1.6 release :),126,5426
52,adb52b1,FAIL,9,NO,0,NO,0,2014-03-31 22:09:30 +0800,JFinal 1.6 release :),126,5426
53,8e22a29,FAIL,9,NO,0,NO,0,2014-04-01 09:52:18 +0800,[maven-release-plugin] prepare release jfinal-1.6,126,5426
54,d801a65,FAIL,8,NO,0,NO,0,2014-04-01 10:42:33 +0800,JFinal 1.6 release :),126,5426
55,9448e62,FAIL,8,NO,0,NO,0,2014-04-01 10:45:06 +0800,[maven-release-plugin] prepare release jfinal-1.6,126,5426
56,18e83f5,FAIL,10,NO,0,NO,0,2014-04-01 14:02:06 +0800,[maven-release-plugin] prepare release jfinal-1.6,126,5426
57,32bcf6f,FAIL,9,NO,0,NO,0,2014-04-01 15:20:15 +0800,JFinal 1.6 release :),126,5426
58,a665a1b,FAIL,9,NO,0,NO,0,2014-04-01 18:21:55 +0800,[maven-release-plugin] prepare release jfinal-1.6,126,5426
59,9e73bb6,FAIL,12,NO,0,NO,0,2014-04-01 18:22:05 +0800,[maven-release-plugin] prepare for next development iteration,126,5426
60,790b39c,FAIL,9,NO,0,NO,0,2014-04-02 20:09:39 +0800,add jar ignore,126,5426
61,8f4dd41,FAIL,10,NO,0,NO,0,2014-04-09 21:43:19 +0800,Convert to eclipse maven project,126,5426
62,958f2f7,FAIL,8,NO,0,NO,0,2014-04-09 21:45:02 +0800,prepare for 1.8-SNAPSHOT,126,5426
63,0784552,FAIL,11,NO,0,NO,0,2014-04-09 22:13:59 +0800,prepare for jfinal-1.8-SNAPSHOT,126,5433
64,e280296,FAIL,11,NO,0,NO,0,2014-04-09 22:22:28 +0800,prepare for jfinal-1.8-SNAPSHOT,126,5435
65,613c5ac,FAIL,9,NO,0,NO,0,2014-04-14 19:23:26 +0800,prepare jfinal 1.8,126,5435
66,d96c410,FAIL,9,NO,0,NO,0,2014-04-14 20:20:27 +0800,prepare jfinal 1.8,126,5435
67,02d5067,FAIL,9,NO,0,NO,0,2014-04-16 17:15:31 +0800,prepare jfinal 1.8,126,5433
68,cdda8af,FAIL,10,NO,0,NO,0,2014-04-16 18:43:53 +0800,Update ModelBuilder.java,126,5433
69,7f43d5a,FAIL,11,NO,0,NO,0,2014-05-23 10:58:53 +0800,JFinal 1.8 release :),128,5498
70,53e2734,FAIL,9,NO,0,NO,0,2014-05-23 11:07:05 +0800,JFinal 1.8 release :),128,5498
71,ed17ecc,FAIL,10,NO,0,NO,0,2014-05-25 09:00:49 +0800,[maven-release-plugin] prepare release jfinal-1.8,128,5498
72,c4533b3,FAIL,10,NO,0,NO,0,2014-05-25 09:01:01 +0800,[maven-release-plugin] prepare for next development iteration,128,5498
73,ba2ddd7,FAIL,10,NO,0,NO,0,2014-05-25 09:19:52 +0800,[maven-release-plugin] prepare release jfinal-1.8,128,5498
74,ecd8ad2,FAIL,10,NO,0,NO,0,2014-05-25 09:51:20 +0800,JFinal 1.8 release :),128,5498
75,b254cbd,FAIL,10,NO,0,NO,0,2014-05-25 09:54:23 +0800,[maven-release-plugin] prepare release jfinal-1.8,128,5498
76,e7821e1,FAIL,10,NO,0,NO,0,2014-05-25 09:54:35 +0800,[maven-release-plugin] prepare for next development iteration,128,5498
77,c7aaef9,FAIL,9,NO,0,NO,0,2014-08-15 09:12:40 +0800,Merge pull request #1 from jfinal/master,128,5498
78,76bf10c,FAIL,15,NO,0,NO,0,2014-11-06 23:07:25 +0800,jfinal 1.9 release ^_^,138,5881
79,dd35f27,FAIL,12,NO,0,NO,0,2014-11-07 09:39:35 +0800,jfinal 1.9 release ^_^,138,5884
80,6e01d1f,FAIL,11,NO,0,NO,0,2014-11-07 22:59:58 +0800,jfinal 1.9 release ^_^,138,5885
81,928fdc9,FAIL,10,NO,0,NO,0,2014-11-08 10:50:40 +0800,jfinal 1.9 release ^_^,138,5880
82,1c9cb17,FAIL,11,NO,0,NO,0,2014-11-08 21:04:55 +0800,jfinal 1.9 release ^_^,138,5882
83,b233114,FAIL,10,NO,0,NO,0,2014-11-08 21:56:29 +0800,[maven-release-plugin] prepare release jfinal-1.9,138,5882
84,15927f5,FAIL,12,NO,0,NO,0,2014-11-08 22:01:31 +0800,jfinal 1.9 release ^_^,138,5882
85,6a3c85f,FAIL,12,NO,0,NO,0,2014-11-09 08:41:09 +0800,[maven-release-plugin] prepare release jfinal-1.9,138,5882
86,13a9a98,FAIL,11,NO,0,NO,0,2014-11-09 08:50:36 +0800,jfinal 1.9 release ^_^,138,5882
87,c04a827,FAIL,11,NO,0,NO,0,2014-11-09 08:55:14 +0800,[maven-release-plugin] prepare release jfinal-1.9,138,5882
88,0c09ed0,FAIL,11,NO,0,NO,0,2014-11-09 08:55:24 +0800,[maven-release-plugin] prepare for next development iteration,138,5882
89,b451a2c,FAIL,11,NO,0,NO,0,2014-11-13 18:52:35 +0800,Merge pull request #2 from jfinal/master,138,5882
90,095bccc,FAIL,12,NO,0,NO,0,2015-04-13 14:46:18 +0800,Update ActionReporter.java,138,5884
91,d12287d,FAIL,11,NO,0,NO,0,2015-04-13 21:49:33 +0800,Merge pull request #57 from SnailKnows/patch-4,138,5884
92,2d90526,FAIL,10,NO,0,NO,0,2015-06-03 10:35:17 +0800,Merge pull request #3 from jfinal/master,138,5884
93,b29ce2a,FAIL,12,NO,0,NO,0,2015-06-06 20:24:41 +0800,jfinal 2.0 release ^_^,138,5884
94,e59f2f8,FAIL,11,NO,0,NO,0,2015-06-06 20:25:44 +0800,jfinal 2.0 release ^_^,138,5884
95,1f06ed8,FAIL,11,NO,0,NO,0,2015-06-06 20:26:30 +0800,jfinal 2.0 release ^_^,135,5819
96,881baed,SUCCESS,16,SUCCESS,6,SUCCESS,9,2015-06-18 16:57:47 +0800,JFinal 2.0 release ^_^,141,6343
97,825e481,SUCCESS,13,SUCCESS,6,SUCCESS,5,2015-06-21 21:16:43 +0800,[maven-release-plugin] prepare release jfinal-2.0,141,6343
98,03c8d14,SUCCESS,13,SUCCESS,6,SUCCESS,6,2015-06-21 21:22:42 +0800,JFinal 2.0 release ^_^,141,6343
99,3fba741,SUCCESS,13,SUCCESS,5,SUCCESS,5,2015-06-21 21:30:55 +0800,[maven-release-plugin] prepare release jfinal-2.0,141,6343
100,c377193,SUCCESS,11,SUCCESS,6,SUCCESS,5,2015-06-21 21:37:33 +0800,JFinal 2.0 release ^_^,141,6343
101,c31f144,SUCCESS,13,SUCCESS,5,SUCCESS,6,2015-06-21 21:42:25 +0800,[maven-release-plugin] prepare release jfinal-2.0,141,6343
102,73761b3,SUCCESS,16,SUCCESS,5,SUCCESS,9,2015-06-21 21:42:36 +0800,[maven-release-plugin] prepare for next development iteration,141,6343
103,6588121,SUCCESS,15,SUCCESS,6,SUCCESS,8,2015-06-22 20:03:58 +0800,JFinal 2.0 release ^_^,141,6343
104,ccb6916,SUCCESS,13,SUCCESS,6,SUCCESS,8,2015-06-22 20:10:37 +0800,JFinal 2.0 release ^_^,141,6343
105,fe8521f,SUCCESS,15,SUCCESS,7,SUCCESS,6,2015-06-22 20:28:54 +0800,[maven-release-plugin] prepare release jfinal-2.0,141,6343
106,611af84,SUCCESS,14,SUCCESS,5,SUCCESS,7,2015-06-22 20:29:06 +0800,[maven-release-plugin] prepare for next development iteration,141,6343
107,0dfd678,SUCCESS,14,SUCCESS,6,SUCCESS,7,2015-07-16 10:11:25 +0800,修改 Cache.expireAt(...) 方法上的注释,141,6343
108,990bc15,SUCCESS,15,SUCCESS,6,SUCCESS,5,2015-07-26 10:43:29 +0800,controllerkey change to controllerKey,141,6343
109,fe573ae,SUCCESS,12,SUCCESS,6,SUCCESS,6,2015-07-26 10:49:56 +0800,添加 .idea 的 gitignore,141,6343
110,d59b35f,SUCCESS,14,SUCCESS,5,SUCCESS,6,2015-07-26 13:39:22 +0800,修改 action 笔误,141,6343
111,8afe82c,SUCCESS,12,SUCCESS,5,SUCCESS,5,2015-08-07 11:46:11 +0800,"TableBuilder 添加 // unsigned bigint put(""java.math.BigInteger"", java.math.BigInteger.class);",141,6344
112,a967842,SUCCESS,12,SUCCESS,5,SUCCESS,5,2015-08-17 19:32:45 +0800,Merge pull request #4 from jfinal/master,141,6344
