id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,1a6964c8,FAIL,0,NO,0,NO,0,2009-09-29 16:47:03 -0700,Initial JGit contribution to eclipse.org,453,41382
1,baba6a3c,FAIL,0,NO,0,NO,0,2009-09-29 17:00:29 -0700,Utility to graft old JGit history onto repository,453,41382
2,5f7b89ca,FAIL,0,NO,0,NO,0,2009-09-29 18:03:31 -0700,Mark our one Eclipse plugin as in incubation status,453,41382
3,4cfc7baf,FAIL,0,NO,0,NO,0,2009-10-01 14:12:50 -0700,Cleanup MANIFEST.MF in JGit,453,41382
4,96690904,FAIL,0,NO,0,NO,0,2009-09-29 16:03:40 +0200,Include description for missing bundle prereqs,453,41390
5,36b0dcf6,FAIL,0,NO,0,NO,0,2009-09-20 09:34:37 -0400,Make it possible to clear a PlotCommitList,453,41395
6,6828372f,FAIL,0,NO,0,NO,0,2009-10-02 09:27:42 -0700,Document protected members of RevObjectList,453,41395
7,e300e2be,FAIL,0,NO,0,NO,0,2009-10-02 09:42:44 -0700,Update SUBMITTING_PATCHES to point to Contributor Guide,453,41395
8,31603c06,FAIL,0,NO,0,NO,0,2009-10-02 09:47:04 -0700,Fix tabs-to-spaces in SUBMITTING_PATCHES,453,41395
9,f4964358,FAIL,0,NO,0,NO,0,2009-10-02 09:50:48 -0700,Fix SUBMITTING_PATCHES to follow the Eclipse IP process,453,41395
10,f5871e16,FAIL,0,NO,0,NO,0,2009-10-02 09:54:31 -0700,Remove TODO file and move to bugzilla,453,41395
11,ffc8b429,FAIL,0,NO,0,NO,0,2009-10-01 16:13:09 +0200,Add support for logAllRefUpdates configuration parameter,454,41439
12,72073498,FAIL,0,NO,0,NO,0,2009-10-05 10:06:24 -0400,Merge change I908e4c77,454,41452
13,50288b18,FAIL,0,NO,0,NO,0,2009-10-05 11:45:56 -0700,Mark the next version as 0.6,453,41395
14,3fc3be3c,FAIL,0,NO,0,NO,0,2009-10-05 15:13:57 -0400,Merge change I11dc6200,454,41452
15,add24f2a,FAIL,0,NO,0,NO,0,2009-10-05 11:43:01 -0700,Standardize the source code formatter for Eclipse,454,41452
16,1640812b,FAIL,0,NO,0,NO,0,2009-10-02 19:01:04 -0700,Remove useless test005_todopack test,454,41432
17,3ce8c91e,FAIL,0,NO,0,NO,0,2009-10-02 18:54:20 -0700,Move setupReflog test function to only test that cares,454,41435
18,8d5510d5,FAIL,0,NO,0,NO,0,2009-10-03 15:43:34 -0700,Move AmazonS3 command line utility to jgit-pgm,455,41460
19,41e4b2fe,FAIL,0,NO,0,NO,0,2009-10-03 15:53:24 -0700,Move HttpSupport's configureHttpProxy to jgit-pgm,455,41459
20,956b1240,FAIL,0,NO,0,NO,0,2009-10-02 12:18:15 +0300,Add org.eclipse.jgit-feature,454,41452
21,9b48eb94,FAIL,0,NO,0,NO,0,2009-10-05 14:17:16 -0700,Mark JGit plugin as 0.6,454,41452
22,6e1571d5,FAIL,0,NO,0,NO,0,2009-10-05 17:29:56 -0400,"Merge changes I282ee1c6,I5700ca48,Ic243544a,Ia2cce34d,I2fd81be2",455,41459
23,9c056fca,FAIL,0,NO,0,NO,0,2009-09-03 12:46:31 +0200,Add set to IntList,455,41481
24,d8a3b4eb,FAIL,0,NO,0,NO,0,2009-09-03 12:46:41 +0200,Add Myers' algorithm to generate diff scripts,456,41720
25,1a03c864,FAIL,0,NO,0,NO,0,2009-09-03 12:46:51 +0200,Add a test class for Myers' diff algorithm,457,41761
26,e34865b8,FAIL,0,NO,0,NO,0,2009-09-03 12:47:01 +0200,Prepare RawText for diff-index and diff-files,457,41774
27,a3aa43ec,FAIL,0,NO,0,NO,0,2009-09-03 12:47:08 +0200,"Add the ""jgit diff"" command",458,41847
28,6549af45,FAIL,0,NO,0,NO,0,2009-10-06 11:16:31 +0200,Fix some warnings regarding unnecessary imports and accessing static methods,458,41842
29,aa08a022,FAIL,0,NO,0,NO,0,2009-10-07 23:45:31 +0200,Remove a duplicate test from T0003_Basic,455,41451
30,982515cf,FAIL,0,NO,0,NO,0,2009-10-08 20:12:08 +0400,Make the default encoding when reading commits UTF-8,455,41450
31,b3e4ac26,FAIL,0,NO,0,NO,0,2009-10-06 16:21:39 +0200,Fixed MyersDiff to be able to handle more than 100k,459,41893
32,4c3f90cf,FAIL,0,NO,0,NO,0,2009-10-08 18:45:20 -0400,Merge change Iacb9082e into cq-diff,459,41888
33,2484ad6f,FAIL,0,NO,0,NO,0,2009-10-09 16:18:59 +0200,"Add javadoc comments, remove unused code, shift comments to correct place",459,41872
34,3e83a9e1,FAIL,0,NO,0,NO,0,2009-10-12 22:25:05 +0200,Fix classpath to use jsch and args4j from orbit,455,41450
35,1a41a89e,FAIL,0,NO,0,NO,0,2009-10-13 15:53:55 -0500,Refactor org.eclipse.jgit.test to be a bundle,455,41450
36,5208e50b,FAIL,0,NO,0,NO,0,2009-10-15 09:41:21 +0100,Add gitignore to constants,455,41451
37,85066045,FAIL,0,NO,0,NO,0,2009-10-20 00:53:57 +0200,Use org.eclipse.egit branding plugin,455,41451
38,f3d75800,FAIL,0,NO,0,NO,0,2009-10-28 13:57:32 +0100,Correcting explanation of EDL,455,41451
39,4d91645e,FAIL,0,NO,0,NO,0,2009-10-19 09:48:00 +0100,Remove trailing whitespace at end of line,455,41451
40,fad60bdd,FAIL,0,NO,0,NO,0,2009-10-31 14:53:29 -0700,Eclipse IDE: Automatically remove trailing whitespace on save,455,41451
41,d4e7b706,FAIL,0,NO,0,NO,0,2009-10-24 11:48:04 +0200,Move pure IO utility functions to a utility class of its own.,456,41460
