id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,2b2b9cf5,SUCCESS,30,SUCCESS,18,SUCCESS,11,2010-12-10 12:04:35 +0000,"initial import of jsonschema2pojo core, cli, maven",25,1018
1,d3ef9e67,SUCCESS,5,SUCCESS,8,SUCCESS,9,2010-12-10 12:33:12 +0000,renamed maven plugin project (convention),25,1018
2,069b5449,SUCCESS,7,SUCCESS,8,SUCCESS,12,2010-12-10 13:59:42 +0000,added javadoc & sources plugins,25,1018
3,dfec3ef9,SUCCESS,6,SUCCESS,7,SUCCESS,9,2010-12-10 14:47:44 +0000,added javadocs,25,1018
4,2562c7e5,SUCCESS,9,SUCCESS,8,SUCCESS,9,2010-12-12 22:26:30 +0000,added source path changes during plugin execution,25,1021
5,67e0b811,SUCCESS,7,SUCCESS,8,SUCCESS,8,2010-12-12 22:55:09 +0000,added targetPackage configuration property to plugin,25,1022
6,532e4fcf,SUCCESS,8,SUCCESS,9,SUCCESS,9,2010-12-12 23:16:30 +0000,added gpg plugin for artifact signing,25,1022
7,df232e70,SUCCESS,8,SUCCESS,10,SUCCESS,10,2010-12-13 10:49:08 +0000,fixed maven plugin failure message,25,1023
8,f8f72534,SUCCESS,10,SUCCESS,9,SUCCESS,10,2010-12-13 19:44:39 +0000,added sonatype parent to pom,25,1023
9,13fdbafa,SUCCESS,8,SUCCESS,10,SUCCESS,12,2010-12-13 19:50:42 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.0,25,1023
10,050aabfd,SUCCESS,9,SUCCESS,11,SUCCESS,12,2010-12-13 19:50:45 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.0,25,1023
11,9a080756,SUCCESS,10,SUCCESS,9,SUCCESS,10,2010-12-13 19:50:47 +0000,[maven-release-plugin] prepare for next development iteration,25,1023
12,93001559,SUCCESS,8,SUCCESS,10,SUCCESS,11,2010-12-14 13:03:22 +0000,"updated scripts to remove reference to target/, it's only useful/relevant in dev",25,1028
13,36fd1794,SUCCESS,9,SUCCESS,10,SUCCESS,11,2010-12-14 14:56:23 +0000,removed submodule apidocs from source control and added aggregate javadocs,25,1028
14,55541938,SUCCESS,10,SUCCESS,11,SUCCESS,10,2010-12-14 15:32:23 +0000,merge release changes,25,1028
15,d520e3c6,SUCCESS,8,SUCCESS,11,SUCCESS,10,2010-12-15 13:36:04 +0000,fixed javadoc generation applying workaround for MNG-2184 and renamed scripts,25,1028
16,fc7b1408,SUCCESS,9,SUCCESS,12,SUCCESS,13,2010-12-15 22:05:00 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.1,25,1028
17,a017de47,SUCCESS,9,SUCCESS,11,SUCCESS,13,2010-12-15 22:05:02 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.1,25,1028
18,413a9545,SUCCESS,10,SUCCESS,12,SUCCESS,12,2010-12-15 22:05:03 +0000,[maven-release-plugin] prepare for next development iteration,25,1028
19,2e9dd454,SUCCESS,9,SUCCESS,11,SUCCESS,12,2010-12-19 19:14:26 +0000,Added always-on builders without breaking code conventions,25,1046
20,3bc0994e,SUCCESS,10,SUCCESS,11,SUCCESS,12,2010-12-19 20:43:26 +0000,Added cli and maven parameter to control the use of builder-methods,25,1126
21,6822eb00,SUCCESS,10,SUCCESS,11,SUCCESS,13,2010-12-19 20:43:42 +0000,apidocs to support the previous commit,25,1126
22,6d2573c0,SUCCESS,9,SUCCESS,11,SUCCESS,13,2010-12-19 20:47:40 +0000,removed left-over debugging code,25,1125
23,97f6eded,SUCCESS,10,SUCCESS,10,SUCCESS,14,2010-12-20 22:17:50 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.2,25,1125
24,e539d2d5,SUCCESS,10,SUCCESS,11,SUCCESS,12,2010-12-20 22:17:53 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.2,25,1125
25,db260224,SUCCESS,10,SUCCESS,10,SUCCESS,13,2010-12-20 22:17:55 +0000,[maven-release-plugin] prepare for next development iteration,25,1125
26,e3ed6785,SUCCESS,10,SUCCESS,13,FAIL,9,2010-12-22 23:18:08 +0000,"added support for additionalProperties rule, added java.io.Serializable to generated types",27,1283
27,b6411cbb,SUCCESS,15,SUCCESS,12,SUCCESS,14,2010-12-23 00:02:45 +0000,"added support for additionalProperties rule, added java.io.Serializable to generated types",27,1284
28,40f65f70,SUCCESS,10,SUCCESS,13,SUCCESS,13,2010-12-23 00:04:07 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.3,27,1284
29,6b7420d7,SUCCESS,11,SUCCESS,13,SUCCESS,13,2010-12-23 00:04:09 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.3,27,1284
30,dc7b51c4,SUCCESS,12,SUCCESS,14,SUCCESS,15,2010-12-23 00:04:11 +0000,[maven-release-plugin] prepare for next development iteration,27,1284
31,b80e8db6,SUCCESS,23,SUCCESS,14,SUCCESS,15,2011-01-07 11:13:40 +0000,[issue 8] added support for non-complex type as schema root element,27,1395
32,55d396a8,SUCCESS,12,SUCCESS,12,SUCCESS,12,2011-01-07 11:15:36 +0000,adding copies of LICENSE to indididual modules - allows maven-license-plugin configuration to work for both parent builds and module builds,27,1395
33,1107bd68,SUCCESS,9,SUCCESS,11,SUCCESS,13,2011-01-07 17:47:40 +0000,added support for utc-millisec format,29,1448
34,59df1bc1,SUCCESS,13,SUCCESS,13,SUCCESS,13,2011-01-08 17:22:26 +0000,switched back to explicit jackson version due to mvn assembly bug,29,1448
35,0c9ebe54,SUCCESS,13,SUCCESS,11,SUCCESS,13,2011-01-08 17:25:58 +0000,switched back to explicit junit version due to mvn assembly bug,29,1448
36,91b1d619,SUCCESS,9,SUCCESS,11,SUCCESS,14,2011-01-08 17:27:55 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.4,29,1448
37,00a5b5a5,SUCCESS,8,SUCCESS,11,SUCCESS,12,2011-01-08 17:27:56 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.4,29,1448
38,215bf7a8,SUCCESS,9,SUCCESS,11,SUCCESS,13,2011-01-08 17:27:58 +0000,[maven-release-plugin] prepare for next development iteration,29,1448
39,6e8fd478,SUCCESS,10,SUCCESS,12,SUCCESS,14,2011-01-10 09:53:14 +0000,added license headers for FormatRule source files,29,1448
40,f295c72a,SUCCESS,11,SUCCESS,13,SUCCESS,13,2011-01-10 09:55:35 +0000,[issue 6] removing head apidocs from source control,29,1448
41,6814e8c6,SUCCESS,12,SUCCESS,13,SUCCESS,13,2011-01-12 15:19:02 +0000,[issue 9] fixed jackson annotation usage for correct enum deserialization,29,1506
42,17289d7a,SUCCESS,11,SUCCESS,13,SUCCESS,15,2011-01-13 17:04:26 +0000,[issue 7] switched from using 'id' to 'javaType' when specifying target class name,29,1506
43,7b2cde58,SUCCESS,10,SUCCESS,14,SUCCESS,18,2011-01-17 13:54:42 +0000,[maven-release-plugin] prepare release jsonschema2pojo-0.1.5,29,1506
44,3d640455,SUCCESS,13,SUCCESS,15,SUCCESS,14,2011-01-17 13:54:45 +0000,[maven-release-plugin]  copy for tag jsonschema2pojo-0.1.5,29,1506
45,769809b7,SUCCESS,12,SUCCESS,15,SUCCESS,15,2011-01-17 13:54:47 +0000,[maven-release-plugin] prepare for next development iteration,29,1506
