id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b25eb522,FAIL,0,NO,0,NO,0,2010-01-17 11:26:51 +1100,Init,0,0
1,2dcdabed,FAIL,0,NO,0,NO,0,2010-01-17 17:28:19 +1100,Site,0,0
2,442b55c6,FAIL,0,NO,0,NO,0,2010-01-17 18:33:57 +1100,Work,0,0
3,b0dd8d31,FAIL,0,NO,0,NO,0,2010-01-19 09:42:55 +1100,Suds: inherit meta from parent dir,0,0
4,4cb0f831,FAIL,0,NO,0,NO,0,2010-01-21 13:05:10 +1100,ignore,0,0
5,b9c78848,FAIL,0,NO,0,NO,0,2011-06-23 11:30:25 +1000,Merge,0,0
6,3c1ae1fb,FAIL,0,NO,0,NO,0,2011-06-23 11:37:15 +1000,Updated readme,0,0
7,ffb7ae00,FAIL,0,NO,0,NO,0,2009-12-19 12:32:21 +1100,Project init.,0,0
8,0a5128fa,FAIL,0,NO,0,NO,0,2009-12-19 12:46:46 +1100,readme update,0,0
9,e23559f9,SUCCESS,23,SUCCESS,4,SUCCESS,8,2009-12-19 17:47:15 +1100,"Initial implementation of TokenStream, to pull tokens from HTML for parsing.",5,10
10,2bc42058,SUCCESS,7,SUCCESS,5,SUCCESS,7,2009-12-19 17:55:04 +1100,Initial implementation of TokenStream.,5,172
11,548ce134,SUCCESS,6,SUCCESS,4,SUCCESS,4,2009-12-21 18:51:58 +1100,Initial implementation of Tag.,7,392
12,a657d090,SUCCESS,6,SUCCESS,5,SUCCESS,5,2009-12-21 23:39:22 +1100,Draft implementation of Parser.,18,618
13,80ca2f79,SUCCESS,5,SUCCESS,5,SUCCESS,8,2009-12-21 23:43:58 +1100,"Stack, not Queue, so  use getLast()",18,618
14,97f29aa3,SUCCESS,5,SUCCESS,5,SUCCESS,4,2009-12-22 17:27:44 +1100,"Ignore tag ""html"" in parse tree as created by doc",18,621
15,a29e8b53,SUCCESS,5,SUCCESS,5,SUCCESS,5,2009-12-22 19:44:48 +1100,Initial implementation of AttributeParser.,20,741
16,c0fa8c39,SUCCESS,5,SUCCESS,4,SUCCESS,6,2009-12-22 23:44:56 +1100,URL in readme,20,741
17,4cbae5ad,SUCCESS,8,SUCCESS,4,SUCCESS,5,2009-12-23 19:34:45 +1100,Updated TokenStream to deal with < or > within attributes.,20,768
18,c95216aa,SUCCESS,5,SUCCESS,4,SUCCESS,4,2009-12-26 17:36:11 +1100,Implemented comment handling.,20,825
19,b04c5412,SUCCESS,5,SUCCESS,6,SUCCESS,5,2009-12-26 18:07:09 +1100,"Element child(int) method, attr(key) method",20,839
20,04744368,SUCCESS,6,SUCCESS,5,SUCCESS,5,2009-12-26 18:16:59 +1100,Set parent on add Child,20,842
21,d6da0b02,SUCCESS,7,SUCCESS,6,SUCCESS,5,2009-12-26 18:20:22 +1100,Complain if moving elements in tree (to implement),20,845
22,9db51cf7,SUCCESS,6,FAIL,5,NO,0,2009-12-26 19:01:39 +1100,Implemented getElementsByTagName,21,879
23,c84469e7,SUCCESS,5,FAIL,5,NO,0,2009-12-26 19:03:40 +1100,Test zero return,21,881
24,f5b1a2ab,SUCCESS,7,FAIL,6,NO,0,2009-12-26 19:31:32 +1100,Implemented Element.getElementById,21,907
25,e65b503c,SUCCESS,6,FAIL,5,NO,0,2009-12-26 22:29:42 +1100,Implemented text(),21,930
