id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,903ca94,FAIL,22,NO,0,NO,0,2013-09-03 12:37:24 +0800,add source code and readme,342,17142
1,f2e27cf,FAIL,4,NO,0,NO,0,2013-09-03 12:46:19 +0800,Add test document,342,17142
2,ae146ec,FAIL,8,NO,0,NO,0,2013-09-03 13:01:05 +0800,add LICENSE and change readme,342,17142
3,eaea79c,FAIL,4,NO,0,NO,0,2013-09-03 14:13:13 +0800,fix some gammar error of README,342,17142
4,82ade16,FAIL,3,NO,0,NO,0,2013-09-03 14:42:02 +0800,review readme,342,17142
5,bc38011,FAIL,4,NO,0,NO,0,2013-09-06 09:53:36 +0800,add contributors,342,17142
6,2d48620,FAIL,3,NO,0,NO,0,2013-09-06 09:55:30 +0800,transfer to UTF8,342,17142
7,daf6297,FAIL,3,NO,0,NO,0,2013-09-27 08:40:11 +0800,"Add ""Getting help""",342,17142
8,60dfbfa,FAIL,8,NO,0,NO,0,2013-09-30 16:32:15 +0800,Add repository for maven Add touch $JSTORM_HOME/RELEASE in deploy,342,17142
9,a2898ff,FAIL,4,NO,0,NO,0,2013-09-30 17:22:27 +0800,Add release package,342,17142
10,69def5c,FAIL,15,NO,0,NO,0,2013-12-26 17:51:16 +0800,JStorm 0.9.0 RELEASE,639,30692
11,10c8251,FAIL,3,NO,0,NO,0,2013-12-26 18:03:03 +0800,README format,639,30692
12,188e2f9,FAIL,3,NO,0,NO,0,2013-12-27 17:42:52 +0800,some bug fixed,639,30713
13,a9cbd0e,FAIL,5,NO,0,NO,0,2013-12-30 20:16:19 +0800,logback -> log4j,639,30700
14,46a16a1,FAIL,5,NO,0,NO,0,2013-12-30 20:30:00 +0800,修改README,639,30700
15,9b6b33d,FAIL,3,NO,0,NO,0,2013-12-31 11:00:29 +0800,"logback->log4j ,some bug fixed",639,30700
16,1d9d11e,FAIL,3,NO,0,NO,0,2013-12-31 11:29:35 +0800,example修改,636,30532
17,730d0d9,FAIL,3,NO,0,NO,0,2013-12-31 11:30:58 +0800,Merge branch '0.9.0',636,30544
18,a1b7933,FAIL,3,NO,0,NO,0,2013-12-31 11:40:10 +0800,example bug fixed,636,30532
19,16d0886,FAIL,2,NO,0,NO,0,2013-12-31 11:41:22 +0800,example bug fixed,636,30532
20,14bd454,FAIL,3,NO,0,NO,0,2013-12-31 11:42:25 +0800,example pom fixed,636,30532
21,628e219,FAIL,3,NO,0,NO,0,2014-01-02 09:17:16 +0800,update download link,639,30700
22,bd37c91,FAIL,2,NO,0,NO,0,2014-01-02 09:17:37 +0800,Merge branch 'master' of https://github.com/alibaba/jstorm,636,30532
23,9de2f3c,FAIL,3,NO,0,NO,0,2014-01-02 09:40:29 +0800,update download readme,636,30532
24,2fa19ee,FAIL,8,NO,0,NO,0,2014-01-02 18:06:33 +0800,Change LinkedList to BlockDeque,636,30530
25,e6ea218,FAIL,3,NO,0,NO,0,2014-01-02 18:09:51 +0800,port 0.9.0 change to master,636,30530
26,0e32f79,FAIL,3,NO,0,NO,0,2014-01-03 10:22:16 +0800,default yaml some change,636,30532
27,512fcef,FAIL,4,NO,0,NO,0,2014-01-03 10:23:03 +0800,Merge branch '0.9.0' of https://github.com/alibaba/jstorm into 0.9.0,636,30530
28,881db79,FAIL,4,NO,0,NO,0,2014-01-03 10:24:33 +0800,Merge branch '0.9.0',636,30530
29,461e0e9,FAIL,4,NO,0,NO,0,2014-01-03 10:26:08 +0800,Merge branch 'master' of https://github.com/alibaba/jstorm,636,30530
30,f510d44,FAIL,4,NO,0,NO,0,2014-01-06 11:47:23 +0800,fix example emit data to wrong stream,636,30548
31,059a2ed,FAIL,3,NO,0,NO,0,2014-01-06 11:49:11 +0800,"port master ""example emit wrong stream"" change",636,30548
32,6a7df83,FAIL,4,NO,0,NO,0,2014-01-06 11:49:35 +0800,Merge branch '0.9.0' of https://github.com/alibaba/jstorm into 0.9.0,636,30548
33,6d1fcb4,FAIL,3,NO,0,NO,0,2014-01-24 11:25:19 +0800,LICENSE fixed,636,30548
34,6cb8e5d,FAIL,5,NO,0,NO,0,2014-01-24 11:34:29 +0800,0.9.1RELEASE,640,33148
35,f0f7b6c,FAIL,4,NO,0,NO,0,2014-01-24 12:22:24 +0800,JStorm 0.9.1 RELEASE,640,33148
36,8d7f00a,FAIL,4,NO,0,NO,0,2014-01-24 15:04:40 +0800,changelist 0.9.0,636,30548
37,66e8fc0,FAIL,4,NO,0,NO,0,2014-01-24 15:05:47 +0800,changehistory 0.9.0,640,33148
38,f643071,FAIL,5,NO,0,NO,0,2014-01-24 15:07:42 +0800,Merge branch 'master' of https://github.com/alibaba/jstorm,640,33148
39,4f3e8cd,FAIL,3,NO,0,NO,0,2014-01-24 15:15:17 +0800,changehistory,640,33148
40,673bbb7,FAIL,4,NO,0,NO,0,2014-01-24 16:33:40 +0800,getInteger() bug fixed,640,33150
41,6589ab5,FAIL,4,NO,0,NO,0,2014-01-24 16:37:11 +0800,Merge branch 'master' into 0.9.1,640,33150
42,6195d13,FAIL,4,NO,0,NO,0,2014-01-24 18:04:47 +0800,"增加gclog,worker gc 设置bug fixed",640,33152
43,dcf1f5d,FAIL,4,NO,0,NO,0,2014-01-24 23:19:06 +0800,1. add change history 2. update README 3. refine gc parameter,639,33137
44,8137136,FAIL,4,NO,0,NO,0,2014-03-19 09:39:03 +0800,Add hire,639,33137
45,be28e3b,FAIL,4,NO,0,NO,0,2014-03-19 10:33:23 +0800,修改照片url,639,33137
46,32b4bce,FAIL,5,NO,0,NO,0,2014-04-01 14:32:16 +0800,add 0.9.2-rc download link,639,33137
47,eb55e33,FAIL,6,NO,0,NO,0,2014-04-08 14:59:11 +0800,jstorm 0.9.2 release,669,34881
48,e4ade05,FAIL,4,NO,0,NO,0,2014-05-10 10:50:40 +0800,0.9.3 release,675,36014
49,1df8b1c,FAIL,4,NO,0,NO,0,2014-05-10 11:08:34 +0800,remove start.sh/stop.sh from assembly script,675,36014
50,f85dd69,FAIL,4,NO,0,NO,0,2014-05-10 11:22:35 +0800,mv script aloha to jstorm,675,36014
51,97abe5e,FAIL,5,NO,0,NO,0,2014-05-15 10:32:40 +0800,release 0.9.3.1 rc,675,35995
52,30052a2,FAIL,4,NO,0,NO,0,2014-05-31 08:59:31 +0800,release 0.9.3.1,675,36094
53,874187a,FAIL,7,NO,0,NO,0,2014-07-24 18:53:56 +0800,release 0.9.4,675,36870
54,7176c0d,FAIL,4,NO,0,NO,0,2014-07-29 11:45:05 +0800,file add,678,37049
55,947cd79,FAIL,4,NO,0,NO,0,2014-07-29 12:32:13 +0800,Add some missing files for 0.9.4,705,38467
56,62f17ba,FAIL,5,NO,0,NO,0,2014-07-29 12:33:27 +0800,Merge branch 'master' of github.com:alibaba/jstorm,705,38467
