id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,b6a06934,FAIL,0,NO,0,NO,0,2000-12-03 14:36:14 +0000,Initial revision,60,2971
1,aac9e722,FAIL,0,NO,0,NO,0,2000-12-03 15:39:24 +0000,removed JDK 1.2 dependency in BaseTestRunner,60,2971
2,f36edb5d,FAIL,0,NO,0,NO,0,2000-12-09 22:34:15 +0000,remove the old license file,60,2971
3,de48375b,FAIL,0,NO,0,NO,0,2000-12-09 23:29:51 +0000,handle missing icons in junit swing test runner more gracefully,60,2985
4,bc3741be,FAIL,0,NO,0,NO,0,2000-12-11 22:17:12 +0000,fixed resources,60,2989
5,f268f458,FAIL,0,NO,0,NO,0,2000-12-11 22:20:03 +0000,*** empty log message ***,60,2997
6,4b1869eb,FAIL,0,NO,0,NO,0,2001-01-09 23:39:50 +0000,JUnit 3.5 candidate,77,3560
7,a8ec4efa,FAIL,0,NO,0,NO,0,2001-01-10 23:23:52 +0000,fixes for JDK 1.1.7 compatibility,78,3591
8,fbb9b839,FAIL,0,NO,0,NO,0,2001-01-17 00:02:18 +0000,Added missing invokeLater calls for the Swing TestRunner Changed the default test collector to the simple test collector.,78,3591
9,4cf0c7d9,FAIL,0,NO,0,NO,0,2001-01-17 00:06:23 +0000,added missing invokeLaters in the swing test runner. changed the default test collector to the simple one.,78,3599
10,b77b7224,FAIL,0,NO,0,NO,0,2001-01-18 00:01:08 +0000,updgrade build.xml to ant2.0,78,3599
11,1e752dcb,FAIL,0,NO,0,NO,0,2001-01-18 00:22:49 +0000,fixed wrong comment,78,3599
12,bfc94ee7,FAIL,0,NO,0,NO,0,2001-04-01 21:22:15 +0000,"Add a checkbox to UI test runner so that user can switch between the standard and loading testcase class loader. [ #229753 ] assertEquals on NaN and Infinity does not work correctly [ #229287 ] Class Name too long ""SimpleClassPathTestCollector"" [ #229609 ] Stack Filtering missing in textui.TesRunner [ #229753 ] assertEquals on NaN and Infinity does not work correctly. [ #229870 ] Clicking on ... after tests failed gives NPE [ #229974 ] Incorrect icon shown for first element in Swing GUI [ #230581 ] swingui.TestTreeModel: results of decorated testcases... [ #230971 ] Make junit.extensions.TestDecorator.getTest() public [ #231569 ] DocBug: JUnit Test Infected: Programmers Love Writing Tests [ #232645 ] BaseTestRunner.getTest loses exception information [ #233094 ] TestSuite masks exceptions [ #410967 ] No icon provided for first test [ #230745 ] ClassPathTestCollector sometimes lists classes in duplicate",79,3716
