id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,6f96ecd,FAIL,0,NO,0,NO,0,2014-02-20 18:17:11 -0800,Initial commit of a mostly empty repo for examples for the Learning Spark book,0,0
1,02aada5,FAIL,0,NO,0,NO,0,2014-03-06 11:34:21 -0800,Add first examples and a license and fix build,1,19
2,e1072d6,FAIL,0,NO,0,NO,0,2014-03-06 13:05:35 -0800,Better indentation,1,20
3,628f976,FAIL,0,NO,0,NO,0,2014-03-06 16:02:51 -0800,Fix basicmap indentation,1,20
4,c27f780,FAIL,0,NO,0,NO,0,2014-03-06 16:03:12 -0800,"Add a few more examples (sum, map and filter)",3,62
5,658a08c,FAIL,0,NO,0,NO,0,2014-03-06 16:03:32 -0800,And add the scala ones too,3,62
6,11f8779,FAIL,0,NO,0,NO,0,2014-03-06 16:12:36 -0800,Change basic sum scala example to match java one more closely,3,62
7,1d3719b,FAIL,0,NO,0,NO,0,2014-03-08 15:41:34 -0800,Add a simple basicmap python example,3,62
8,515b4ec,FAIL,0,NO,0,NO,0,2014-03-09 21:46:15 -0700,Add an example to remove outliers,3,62
9,a95842b,FAIL,0,NO,0,NO,0,2014-03-12 15:06:26 -0700,Fix description,3,62
10,40b801d,FAIL,0,NO,0,NO,0,2014-03-12 16:38:50 -0700,Add removeoutliers for java and basicavg for scala and java,5,114
11,08ceb13,FAIL,0,NO,0,NO,0,2014-03-13 11:47:37 -0700,More python examples,5,114
12,7396849,FAIL,0,NO,0,NO,0,2014-03-13 12:17:25 -0700,Add BasicSum python example,5,114
13,5ec3883,FAIL,0,NO,0,NO,0,2014-03-13 12:40:13 -0700,Fix BasicSum test,5,114
14,56319a8,FAIL,0,NO,0,NO,0,2014-03-13 12:40:26 -0700,Add a basic avg example,5,114
15,58f105e,FAIL,0,NO,0,NO,0,2014-03-13 13:43:49 -0700,Finish the basic average Java example,5,131
16,42d7ca3,FAIL,0,NO,0,NO,0,2014-03-13 17:55:28 -0700,Show how map to double works :),6,152
17,22bff1a,FAIL,0,NO,0,NO,0,2014-03-17 11:36:27 -0700,Things are more fun when they do stuff (add some stuff so the remove outliers code actually has an outlier to remove in the example),6,152
18,e8e8a07,FAIL,0,NO,0,NO,0,2014-03-17 11:36:46 -0700,Add RemoveOutliers python example,6,152
19,db86925,FAIL,0,NO,0,NO,0,2014-03-24 17:03:49 -0700,RemoveOutleirs python and start of basic join csv example (todo holden: finish),7,178
