id,commit,n_test,n_success,n_failures,n_errors,n_skipped,n_days
0,6f96ecd,0,0,0,0,0,2687
1,02aada5,0,0,0,0,0,2673
2,e1072d6,0,0,0,0,0,2673
3,628f976,0,0,0,0,0,2673
4,c27f780,0,0,0,0,0,2673
5,658a08c,0,0,0,0,0,2673
6,11f8779,0,0,0,0,0,2673
7,1d3719b,0,0,0,0,0,2671
8,515b4ec,0,0,0,0,0,2670
9,a95842b,0,0,0,0,0,2667
10,40b801d,0,0,0,0,0,2667
11,08ceb13,0,0,0,0,0,2666
12,7396849,0,0,0,0,0,2666
13,5ec3883,0,0,0,0,0,2666
14,56319a8,0,0,0,0,0,2666
15,58f105e,0,0,0,0,0,2666
16,42d7ca3,0,0,0,0,0,2666
17,22bff1a,0,0,0,0,0,2662
18,e8e8a07,0,0,0,0,0,2662
19,db86925,0,0,0,0,0,2655
20,cd89ba5,0,0,0,0,0,2654
21,0d6be09,0,0,0,0,0,2646
22,c271a44,0,0,0,0,0,2646
23,9ddb609,0,0,0,0,0,2637
24,8d7402a,0,0,0,0,0,2634
25,6fb8ed1,0,0,0,0,0,2634
26,6e12a7f,0,0,0,0,0,2634
27,8da5b00,0,0,0,0,0,2634
28,796e479,0,0,0,0,0,2634
29,cd7ba03,0,0,0,0,0,2629
30,6337c41,0,0,0,0,0,2628
31,3227172,0,0,0,0,0,2628
32,1dcb41b,0,0,0,0,0,2627
33,78cb914,0,0,0,0,0,2621
34,7a245e2,0,0,0,0,0,2621
35,a7230e5,0,0,0,0,0,2620
36,f6b6294,0,0,0,0,0,2620
37,a34e481,0,0,0,0,0,2620
38,516d99f,0,0,0,0,0,2620
39,3495ecd,0,0,0,0,0,2618
40,886664f,0,0,0,0,0,2618
41,8894242,0,0,0,0,0,2618
42,29e89af,0,0,0,0,0,2617
43,e99700f,0,0,0,0,0,2617
44,9c15d6f,0,0,0,0,0,2617
45,d7f07df,0,0,0,0,0,2613
46,c32afb2,0,0,0,0,0,2609
47,fef585c,0,0,0,0,0,2609
48,09b56c3,0,0,0,0,0,2609
49,4f9c02d,0,0,0,0,0,2606
50,7f4fec4,0,0,0,0,0,2606
51,ce8a86b,0,0,0,0,0,2605
52,e3a108e,0,0,0,0,0,2605
53,caef446,0,0,0,0,0,2605
54,f5ed274,0,0,0,0,0,2602
55,59f3e3d,0,0,0,0,0,2602
56,f3ecc1a,0,0,0,0,0,2601
57,aea0e03,0,0,0,0,0,2601
58,4bb1413,0,0,0,0,0,2601
59,c3e06ef,0,0,0,0,0,2598
