id,commit,build,build_exec_time,test_build,test_build_exec_time,test,test_exec_time,date,comment,files,loc
0,69c97c51,FAIL,0,NO,0,NO,0,2010-03-06 16:00:45 +0000,Initial directory structure.,0,0
1,98d32c6f,FAIL,0,NO,0,NO,0,2010-03-06 16:05:53 +0000,,59,6098
2,94cf7a86,FAIL,0,NO,0,NO,0,2010-03-07 11:15:07 +0000,,0,0
3,15bc0082,FAIL,0,NO,0,NO,0,2010-03-07 11:16:31 +0000,,58,6048
4,5312baaf,FAIL,0,NO,0,NO,0,2010-03-07 11:16:36 +0000,,58,6048
5,c9097796,FAIL,0,NO,0,NO,0,2010-03-07 11:16:41 +0000,,58,6048
6,95776a73,FAIL,0,NO,0,NO,0,2010-03-07 11:16:47 +0000,,58,6048
7,689d3df2,FAIL,0,NO,0,NO,0,2010-03-07 11:16:52 +0000,,58,6048
8,02d85657,FAIL,0,NO,0,NO,0,2010-03-07 11:17:17 +0000,,58,6048
9,e982caf4,FAIL,0,NO,0,NO,0,2010-03-07 11:17:55 +0000,,58,6048
10,b9097081,FAIL,0,NO,0,NO,0,2010-03-07 11:30:00 +0000,,58,6048
11,5ae01b17,FAIL,0,NO,0,NO,0,2010-03-07 13:58:06 +0000,,58,6048
12,31fcc9f3,FAIL,0,NO,0,NO,0,2010-03-07 14:01:13 +0000,,58,6064
13,caceff9c,FAIL,0,NO,0,NO,0,2010-03-07 14:12:23 +0000,,58,6064
14,e18378fa,FAIL,0,NO,0,NO,0,2010-03-07 15:14:55 +0000,,58,6060
15,346da8b8,FAIL,0,NO,0,NO,0,2010-03-07 15:21:59 +0000,,58,6060
16,90be18c9,FAIL,0,NO,0,NO,0,2010-03-07 15:23:11 +0000,,58,6060
17,b262e8c9,FAIL,0,NO,0,NO,0,2010-03-07 15:24:09 +0000,,58,6060
18,bca34cc3,FAIL,0,NO,0,NO,0,2010-03-07 15:25:01 +0000,,58,6060
19,4551d4f3,FAIL,0,NO,0,NO,0,2010-03-07 16:09:30 +0000,,58,6060
